日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2018-01-01,81,良,88,47,93,55,49,2.0,22,唐山,2018,01
2018-01-02,96,良,198,68,129,65,71,3.38,15,唐山,2018,01
2018-01-03,56,良,164,27,63,41,24,0.98,35,唐山,2018,01
2018-01-04,64,良,245,37,76,56,35,1.62,20,唐山,2018,01
2018-01-05,74,良,215,51,89,61,31,1.37,21,唐山,2018,01
2018-01-06,86,良,213,59,105,75,50,2.41,17,唐山,2018,01
2018-01-07,116,轻度污染,286,87,134,88,45,2.3,16,唐山,2018,01
2018-01-08,66,良,189,26,81,27,16,0.64,55,唐山,2018,01
2018-01-09,51,良,121,21,55,26,13,0.61,51,唐山,2018,01
2018-01-10,35,优,21,18,33,18,14,0.5,54,唐山,2018,01
2018-01-11,45,优,89,24,45,33,18,0.78,36,唐山,2018,01
2018-01-12,105,轻度污染,307,78,118,69,34,1.56,20,唐山,2018,01
2018-01-13,166,中度污染,331,126,184,87,47,2.42,14,唐山,2018,01
2018-01-14,146,轻度污染,299,110,164,87,41,2.1,19,唐山,2018,01
2018-01-15,67,良,80,36,82,52,32,1.65,33,唐山,2018,01
2018-01-16,79,良,120,50,104,61,39,1.92,23,唐山,2018,01
2018-01-17,132,轻度污染,225,91,190,85,41,2.67,11,唐山,2018,01
2018-01-18,123,轻度污染,204,90,153,87,56,2.99,18,唐山,2018,01
2018-01-19,148,轻度污染,232,110,181,94,48,2.59,19,唐山,2018,01
2018-01-20,98,良,166,56,131,60,49,2.22,29,唐山,2018,01
2018-01-21,72,良,135,42,92,58,61,2.57,21,唐山,2018,01
2018-01-22,67,良,150,45,79,47,35,1.82,32,唐山,2018,01
2018-01-23,45,优,54,26,45,29,17,0.74,49,唐山,2018,01
2018-01-24,74,良,252,50,85,63,29,1.76,28,唐山,2018,01
2018-01-25,76,良,289,51,98,65,45,2.23,26,唐山,2018,01
2018-01-26,94,良,319,69,116,70,56,2.93,21,唐山,2018,01
2018-01-27,106,轻度污染,309,79,111,80,39,1.84,21,唐山,2018,01
2018-01-28,85,良,267,48,94,48,21,1.13,42,唐山,2018,01
2018-01-29,68,良,171,23,84,35,12,0.73,48,唐山,2018,01
2018-01-30,58,良,85,33,66,50,20,0.97,37,唐山,2018,01
2018-01-31,63,良,98,32,75,55,25,1.13,34,唐山,2018,01
2018-02-01,107,轻度污染,284,71,155,79,39,2.01,20,唐山,2018,02
2018-02-02,58,良,82,28,66,35,18,0.9,49,唐山,2018,02
2018-02-03,42,优,27,20,42,31,17,0.76,52,唐山,2018,02
2018-02-04,60,良,105,40,70,54,28,1.54,30,唐山,2018,02
2018-02-05,50,优,56,27,53,38,22,1.39,48,唐山,2018,02
2018-02-06,58,良,96,35,63,51,25,1.25,36,唐山,2018,02
2018-02-07,102,轻度污染,267,76,111,62,48,3.47,16,唐山,2018,02
2018-02-08,94,良,198,69,102,62,29,1.7,28,唐山,2018,02
2018-02-09,123,轻度污染,211,80,138,54,26,1.82,39,唐山,2018,02
2018-02-10,55,良,52,20,60,26,12,0.74,61,唐山,2018,02
2018-02-11,57,良,76,19,62,20,11,0.64,65,唐山,2018,02
2018-02-12,66,良,144,28,79,33,15,0.84,53,唐山,2018,02
2018-02-13,131,轻度污染,347,99,152,76,53,2.35,33,唐山,2018,02
2018-02-14,95,良,251,66,98,44,28,1.56,55,唐山,2018,02
2018-02-15,103,轻度污染,270,77,112,50,35,1.99,48,唐山,2018,02
2018-02-16,104,轻度污染,149,73,107,32,33,1.4,63,唐山,2018,02
2018-02-17,73,良,141,51,85,40,44,2.29,51,唐山,2018,02
2018-02-18,127,轻度污染,317,95,137,57,75,3.2,39,唐山,2018,02
2018-02-19,185,中度污染,349,140,188,62,73,3.29,41,唐山,2018,02
2018-02-20,127,轻度污染,332,95,136,61,59,2.99,49,唐山,2018,02
2018-02-21,131,轻度污染,329,99,149,62,63,2.93,42,唐山,2018,02
2018-02-22,89,良,264,64,103,54,25,1.47,46,唐山,2018,02
2018-02-23,156,中度污染,359,99,201,63,74,4.42,42,唐山,2018,02
2018-02-24,57,良,162,32,63,39,41,1.76,50,唐山,2018,02
2018-02-25,73,良,211,52,80,52,26,1.14,46,唐山,2018,02
2018-02-26,184,中度污染,355,141,205,77,56,3.12,23,唐山,2018,02
2018-02-27,178,中度污染,335,136,197,59,56,3.29,42,唐山,2018,02
2018-02-28,167,中度污染,329,126,208,76,52,3.05,34,唐山,2018,02
2018-03-01,59,良,145,21,66,25,12,0.63,76,唐山,2018,03
2018-03-02,92,良,293,62,116,52,36,1.35,55,唐山,2018,03
2018-03-03,188,中度污染,352,145,203,69,42,2.11,11,唐山,2018,03
2018-03-04,194,中度污染,362,85,261,52,48,2.0,30,唐山,2018,03
2018-03-05,76,良,321,46,97,49,34,1.75,52,唐山,2018,03
2018-03-06,75,良,300,46,97,46,37,1.61,54,唐山,2018,03
2018-03-07,87,良,313,62,100,58,37,1.94,37,唐山,2018,03
2018-03-08,70,良,244,49,83,51,29,1.67,48,唐山,2018,03
2018-03-09,92,良,276,67,114,72,34,1.9,39,唐山,2018,03
2018-03-10,120,轻度污染,310,87,164,63,48,2.72,57,唐山,2018,03
2018-03-11,101,轻度污染,263,75,129,70,41,2.53,46,唐山,2018,03
2018-03-12,209,重度污染,351,166,253,107,62,4.53,29,唐山,2018,03
2018-03-13,399,严重污染,363,350,482,139,59,5.98,47,唐山,2018,03
2018-03-14,200,中度污染,351,155,218,72,57,3.03,71,唐山,2018,03
2018-03-15,95,良,259,50,130,38,24,1.31,71,唐山,2018,03
2018-03-16,64,良,237,40,76,47,17,1.07,56,唐山,2018,03
2018-03-17,84,良,300,57,96,74,21,1.65,29,唐山,2018,03
2018-03-18,132,轻度污染,335,100,127,55,9,1.33,51,唐山,2018,03
2018-03-19,108,轻度污染,300,72,110,51,19,1.38,60,唐山,2018,03
2018-03-20,55,良,171,28,59,37,19,1.01,70,唐山,2018,03
2018-03-21,78,良,296,54,99,63,21,1.19,52,唐山,2018,03
2018-03-22,116,轻度污染,338,87,146,89,34,1.81,47,唐山,2018,03
2018-03-23,235,重度污染,362,184,270,105,68,2.86,46,唐山,2018,03
2018-03-24,215,重度污染,364,169,255,104,70,3.47,75,唐山,2018,03
2018-03-25,150,轻度污染,346,112,177,95,26,1.39,91,唐山,2018,03
2018-03-26,151,中度污染,343,114,182,71,27,1.39,110,唐山,2018,03
2018-03-27,151,中度污染,350,114,196,76,31,1.53,70,唐山,2018,03
2018-03-28,284,重度污染,354,92,453,64,45,2.08,51,唐山,2018,03
2018-03-29,94,良,255,39,136,50,31,1.65,64,唐山,2018,03
2018-03-30,97,良,285,62,134,72,56,2.38,52,唐山,2018,03
2018-03-31,177,中度污染,361,134,225,102,71,3.68,56,唐山,2018,03
2018-04-01,222,重度污染,362,171,261,77,79,3.08,96,唐山,2018,04
2018-04-02,242,重度污染,359,172,301,72,69,3.12,103,唐山,2018,04
2018-04-03,110,轻度污染,276,29,162,38,18,1.15,63,唐山,2018,04
2018-04-04,53,良,90,31,53,45,25,1.31,47,唐山,2018,04
2018-04-05,78,良,265,56,72,43,11,1.14,39,唐山,2018,04
2018-04-05,78,良,265,56,72,43,11,1.14,39,唐山,2018,04
2018-04-06,99,良,284,40,132,31,13,0.58,69,唐山,2018,04
2018-04-07,55,良,62,22,54,33,16,0.77,75,唐山,2018,04
2018-04-08,75,良,169,48,95,64,37,1.89,62,唐山,2018,04
2018-04-09,108,轻度污染,315,77,158,79,86,3.06,61,唐山,2018,04
2018-04-10,107,轻度污染,266,61,155,58,45,2.41,57,唐山,2018,04
2018-04-11,65,良,126,30,77,43,19,0.51,73,唐山,2018,04
2018-04-12,88,良,287,38,125,43,41,1.15,67,唐山,2018,04
2018-04-13,66,良,279,44,78,61,44,1.85,43,唐山,2018,04
2018-04-14,78,良,265,27,104,30,12,0.59,77,唐山,2018,04
2018-04-15,71,良,200,25,88,41,21,0.69,78,唐山,2018,04
2018-04-16,106,轻度污染,261,54,159,60,36,1.47,90,唐山,2018,04
2018-04-17,123,轻度污染,313,65,194,65,32,1.33,97,唐山,2018,04
2018-04-18,136,轻度污染,347,79,218,68,33,1.2,114,唐山,2018,04
2018-04-19,167,中度污染,360,117,266,76,48,2.15,101,唐山,2018,04
2018-04-20,154,中度污染,356,100,194,64,69,2.43,141,唐山,2018,04
2018-04-21,90,良,331,66,110,68,58,2.76,32,唐山,2018,04
2018-04-22,45,优,99,27,43,48,21,1.19,64,唐山,2018,04
2018-04-23,57,良,226,30,63,58,19,1.02,65,唐山,2018,04
2018-04-24,70,良,283,33,77,59,25,0.83,74,唐山,2018,04
2018-04-25,73,良,216,42,80,61,28,0.74,94,唐山,2018,04
2018-04-26,109,轻度污染,334,75,140,59,24,1.24,115,唐山,2018,04
2018-04-27,148,轻度污染,361,49,232,63,39,1.55,67,唐山,2018,04
2018-04-28,131,轻度污染,338,90,169,78,35,1.47,124,唐山,2018,04
2018-04-29,107,轻度污染,280,63,123,53,24,1.27,139,唐山,2018,04
2018-04-30,64,良,155,33,76,40,34,1.41,70,唐山,2018,04
2018-05-01,94,良,290,56,128,65,59,2.77,53,唐山,2018,05
2018-05-02,67,良,229,37,64,32,14,0.87,75,唐山,2018,05
2018-05-03,56,良,102,19,50,36,17,0.85,83,唐山,2018,05
2018-05-04,80,良,251,48,104,55,24,1.28,111,唐山,2018,05
2018-05-05,174,中度污染,358,61,263,50,28,1.41,97,唐山,2018,05
2018-05-06,117,轻度污染,356,53,183,59,32,1.35,91,唐山,2018,05
2018-05-07,89,良,318,42,124,43,27,1.26,101,唐山,2018,05
2018-05-08,94,良,318,52,135,76,57,2.41,58,唐山,2018,05
2018-05-09,91,良,284,44,108,65,27,1.45,98,唐山,2018,05
2018-05-10,113,轻度污染,352,63,131,60,31,1.5,141,唐山,2018,05
2018-05-11,107,轻度污染,355,75,139,64,39,2.2,77,唐山,2018,05
2018-05-12,110,轻度污染,336,81,120,49,31,1.51,90,唐山,2018,05
2018-05-13,103,轻度污染,316,62,110,54,30,1.76,110,唐山,2018,05
2018-05-14,141,轻度污染,360,87,172,62,43,2.09,117,唐山,2018,05
2018-05-15,102,轻度污染,331,69,141,65,44,2.3,85,唐山,2018,05
2018-05-16,107,轻度污染,331,78,135,63,93,4.04,50,唐山,2018,05
2018-05-17,73,良,286,37,92,54,40,1.45,65,唐山,2018,05
2018-05-18,75,良,271,34,86,52,32,1.45,94,唐山,2018,05
2018-05-19,90,良,347,40,99,59,33,1.71,94,唐山,2018,05
2018-05-20,64,良,297,43,75,51,55,2.23,45,唐山,2018,05
2018-05-21,67,良,305,45,74,51,43,1.86,64,唐山,2018,05
2018-05-22,126,轻度污染,349,48,167,34,13,0.51,77,唐山,2018,05
2018-05-23,147,轻度污染,359,54,208,38,22,1.13,110,唐山,2018,05
2018-05-24,119,轻度污染,349,51,145,43,22,1.07,148,唐山,2018,05
2018-05-25,109,轻度污染,324,55,122,32,19,1.05,149,唐山,2018,05
2018-05-26,144,轻度污染,312,75,172,47,21,1.23,147,唐山,2018,05
2018-05-27,124,轻度污染,339,53,180,40,26,0.69,97,唐山,2018,05
2018-05-28,110,轻度污染,308,42,162,53,27,1.38,72,唐山,2018,05
2018-05-29,85,良,232,47,111,53,27,1.46,82,唐山,2018,05
2018-05-30,94,良,291,44,106,63,67,2.66,110,唐山,2018,05
2018-05-31,112,轻度污染,336,59,124,70,55,2.66,109,唐山,2018,05
2018-06-01,130,轻度污染,353,68,128,69,26,1.34,142,唐山,2018,06
2018-06-02,131,轻度污染,349,48,99,51,31,1.46,189,唐山,2018,06
2018-06-03,100,良,277,55,134,52,27,1.3,121,唐山,2018,06
2018-06-04,111,轻度污染,332,49,117,55,32,1.85,130,唐山,2018,06
