日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2018-01-01,131,轻度污染,245,97,158,78,55,1.75,15,沧州,2018,01
2018-01-02,69,良,125,48,75,48,28,0.84,17,沧州,2018,01
2018-01-03,57,良,170,33,59,40,22,0.75,31,沧州,2018,01
2018-01-04,64,良,240,40,71,53,32,1.18,15,沧州,2018,01
2018-01-05,108,轻度污染,314,81,119,60,56,1.85,19,沧州,2018,01
2018-01-06,150,轻度污染,324,114,149,82,65,2.39,15,沧州,2018,01
2018-01-07,124,轻度污染,300,93,124,60,53,1.91,31,沧州,2018,01
2018-01-08,102,轻度污染,284,57,119,33,26,0.96,42,沧州,2018,01
2018-01-09,69,良,264,34,85,28,26,0.74,40,沧州,2018,01
2018-01-10,46,优,97,24,47,26,20,0.49,46,沧州,2018,01
2018-01-11,49,优,114,25,50,26,24,0.53,43,沧州,2018,01
2018-01-12,75,良,215,51,89,45,33,0.86,34,沧州,2018,01
2018-01-13,120,轻度污染,269,90,135,57,36,1.05,36,沧州,2018,01
2018-01-14,173,中度污染,322,136,185,72,46,1.57,25,沧州,2018,01
2018-01-15,199,中度污染,322,159,219,88,45,2.23,10,沧州,2018,01
2018-01-16,97,良,152,56,135,63,35,1.3,19,沧州,2018,01
2018-01-17,160,中度污染,273,121,213,86,64,2.53,6,沧州,2018,01
2018-01-18,189,中度污染,308,146,240,93,62,2.61,11,沧州,2018,01
2018-01-19,324,严重污染,366,275,390,117,71,3.52,13,沧州,2018,01
2018-01-20,312,严重污染,362,280,371,101,63,3.53,18,沧州,2018,01
2018-01-21,53,良,71,28,55,32,20,0.48,42,沧州,2018,01
2018-01-22,60,良,116,41,62,37,26,0.58,39,沧州,2018,01
2018-01-23,53,良,102,32,53,35,23,0.49,46,沧州,2018,01
2018-01-24,76,良,261,54,77,57,38,1.02,29,沧州,2018,01
2018-01-25,71,良,268,50,73,57,38,1.09,30,沧州,2018,01
2018-01-26,69,良,261,49,68,47,42,0.67,37,沧州,2018,01
2018-01-27,102,轻度污染,301,76,100,52,44,0.96,37,沧州,2018,01
2018-01-28,85,良,265,53,86,38,23,0.74,47,沧州,2018,01
2018-01-29,137,轻度污染,304,97,146,52,32,1.24,35,沧州,2018,01
2018-01-30,101,轻度污染,229,74,116,66,49,1.28,29,沧州,2018,01
2018-01-31,75,良,161,40,88,53,31,0.84,37,沧州,2018,01
2018-02-01,108,轻度污染,289,80,129,74,62,1.5,25,沧州,2018,02
2018-02-02,61,良,98,28,70,25,21,0.4,56,沧州,2018,02
2018-02-03,54,良,84,35,56,48,34,0.78,38,沧州,2018,02
2018-02-04,55,良,58,36,56,51,33,0.72,36,沧州,2018,02
2018-02-05,58,良,102,37,63,44,29,0.86,37,沧州,2018,02
2018-02-06,61,良,111,39,68,51,38,1.01,34,沧州,2018,02
2018-02-07,90,良,209,59,104,49,39,1.09,35,沧州,2018,02
2018-02-08,90,良,179,61,103,50,38,1.23,37,沧州,2018,02
2018-02-09,132,轻度污染,240,76,193,46,34,1.15,46,沧州,2018,02
2018-02-10,60,良,75,31,70,30,26,0.7,54,沧州,2018,02
2018-02-11,66,良,109,35,79,32,33,0.86,50,沧州,2018,02
2018-02-12,70,良,161,33,88,23,27,0.75,61,沧州,2018,02
2018-02-13,86,良,236,59,116,32,40,1.02,64,沧州,2018,02
2018-02-14,97,良,261,67,119,40,37,1.18,56,沧州,2018,02
2018-02-15,84,良,208,60,90,29,49,0.96,69,沧州,2018,02
2018-02-16,213,重度污染,328,172,224,29,64,1.31,79,沧州,2018,02
2018-02-17,234,重度污染,354,188,250,50,72,2.29,41,沧州,2018,02
2018-02-18,234,重度污染,352,184,240,57,61,2.35,43,沧州,2018,02
2018-02-19,146,轻度污染,342,111,146,34,24,0.98,38,沧州,2018,02
2018-02-20,109,轻度污染,315,79,110,32,30,1.06,66,沧州,2018,02
2018-02-21,120,轻度污染,319,89,126,32,40,1.21,81,沧州,2018,02
2018-02-22,159,中度污染,360,119,162,45,33,1.43,48,沧州,2018,02
2018-02-23,162,中度污染,361,120,186,54,49,1.54,66,沧州,2018,02
2018-02-24,50,优,121,25,53,18,21,0.33,74,沧州,2018,02
2018-02-25,75,良,224,52,82,44,34,0.87,59,沧州,2018,02
