日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2019-01-01,41,优,73,25,40,19,12,0.68,41,张家口,2019,01
2019-01-02,55,良,127,37,63,30,19,0.83,35,张家口,2019,01
2019-01-03,74,良,143,51,88,31,20,1.01,35,张家口,2019,01
2019-01-04,35,优,56,16,27,13,11,0.48,58,张家口,2019,01
2019-01-05,48,优,114,28,53,28,16,0.76,39,张家口,2019,01
2019-01-06,67,良,154,39,83,36,22,0.97,27,张家口,2019,01
2019-01-07,37,优,48,18,34,15,11,0.57,51,张家口,2019,01
2019-01-08,36,优,72,17,31,15,10,0.57,56,张家口,2019,01
2019-01-09,51,良,143,26,58,31,16,0.8,36,张家口,2019,01
2019-01-10,95,良,254,68,115,40,22,1.26,32,张家口,2019,01
2019-01-11,107,轻度污染,229,79,130,43,21,1.32,37,张家口,2019,01
2019-01-12,89,良,198,63,116,35,19,1.04,44,张家口,2019,01
2019-01-13,50,优,87,24,55,24,14,0.64,46,张家口,2019,01
2019-01-14,69,良,109,20,90,13,11,0.47,56,张家口,2019,01
2019-01-15,46,优,76,16,45,10,10,0.41,60,张家口,2019,01
2019-01-16,43,优,82,22,45,22,16,0.67,41,张家口,2019,01
2019-01-17,52,良,88,28,57,26,18,0.78,41,张家口,2019,01
2019-01-18,50,优,58,25,55,18,14,0.62,46,张家口,2019,01
2019-01-19,33,优,17,13,26,9,11,0.36,64,张家口,2019,01
2019-01-20,41,优,55,17,37,13,12,0.51,62,张家口,2019,01
2019-01-21,54,良,100,24,57,23,15,0.78,48,张家口,2019,01
2019-01-22,56,良,67,23,61,18,15,0.76,50,张家口,2019,01
2019-01-23,53,良,64,30,57,27,16,0.82,51,张家口,2019,01
2019-01-24,52,良,55,27,55,16,11,0.65,60,张家口,2019,01
2019-01-25,35,优,17,15,22,10,10,0.45,68,张家口,2019,01
2019-01-26,46,优,63,26,45,28,15,0.77,45,张家口,2019,01
2019-01-27,72,良,161,29,91,19,12,0.71,56,张家口,2019,01
2019-01-28,44,优,35,23,42,22,14,0.69,56,张家口,2019,01
2019-01-29,67,良,132,33,86,26,19,0.87,53,张家口,2019,01
2019-01-30,55,良,97,17,60,6,7,0.58,72,张家口,2019,01
2019-01-31,38,优,56,18,34,12,12,0.62,60,张家口,2019,01
2019-02-01,81,良,220,36,110,22,17,0.9,51,张家口,2019,02
2019-02-02,84,良,188,38,116,22,21,0.82,57,张家口,2019,02
2019-02-03,115,轻度污染,274,28,171,8,11,0.51,65,张家口,2019,02
2019-02-04,88,良,205,41,123,19,21,0.9,54,张家口,2019,02
2019-02-05,123,轻度污染,202,82,178,19,27,1.0,62,张家口,2019,02
2019-02-06,62,良,132,28,73,7,8,0.58,70,张家口,2019,02
2019-02-07,37,优,67,16,24,4,8,0.44,73,张家口,2019,02
2019-02-08,46,优,200,19,43,9,12,0.64,70,张家口,2019,02
2019-02-09,46,优,156,25,42,9,15,0.61,62,张家口,2019,02
2019-02-10,47,优,155,27,48,16,18,0.83,54,张家口,2019,02
2019-02-11,44,优,115,23,34,9,9,0.67,67,张家口,2019,02
2019-02-12,50,优,140,31,48,11,9,0.7,70,张家口,2019,02
2019-02-13,45,优,128,22,33,13,11,0.68,67,张家口,2019,02
2019-02-14,60,良,211,37,66,13,9,0.75,64,张家口,2019,02
2019-02-15,39,优,112,17,24,6,10,0.42,75,张家口,2019,02
2019-02-16,41,优,115,17,22,8,9,0.54,81,张家口,2019,02
2019-02-17,41,优,115,15,19,9,10,0.54,81,张家口,2019,02
2019-02-18,42,优,134,23,30,23,12,0.76,57,张家口,2019,02
2019-02-19,77,良,208,54,69,22,17,0.9,66,张家口,2019,02
2019-02-20,45,优,84,24,31,10,12,0.65,84,张家口,2019,02
2019-02-21,52,良,113,28,43,23,18,0.8,70,张家口,2019,02
2019-02-22,56,良,123,34,59,27,16,0.76,72,张家口,2019,02
2019-02-23,74,良,177,50,81,30,19,1.01,77,张家口,2019,02
2019-02-24,51,良,110,27,36,11,10,0.68,83,张家口,2019,02
2019-02-25,50,优,105,28,50,24,17,0.93,62,张家口,2019,02
2019-02-26,86,良,226,62,104,32,19,1.17,67,张家口,2019,02
2019-02-27,85,良,247,54,89,24,12,0.99,69,张家口,2019,02
2019-02-28,62,良,146,27,72,16,13,0.77,78,张家口,2019,02
2019-03-01,76,良,181,44,96,28,17,0.97,82,张家口,2019,03
2019-03-02,101,轻度污染,229,74,133,38,20,1.18,96,张家口,2019,03
2019-03-03,112,轻度污染,272,83,130,40,21,1.25,98,张家口,2019,03
2019-03-04,51,良,92,24,55,22,12,0.74,75,张家口,2019,03
2019-03-05,48,优,113,15,43,11,10,0.61,77,张家口,2019,03
2019-03-06,42,优,99,14,21,7,9,0.57,83,张家口,2019,03
2019-03-07,44,优,94,20,39,20,12,0.68,70,张家口,2019,03
2019-03-08,65,良,194,36,81,30,18,0.92,75,张家口,2019,03
2019-03-09,100,良,329,73,123,44,19,1.21,61,张家口,2019,03
2019-03-10,49,优,108,31,46,21,10,0.8,73,张家口,2019,03
2019-03-11,42,优,33,16,40,11,10,0.61,73,张家口,2019,03
2019-03-12,42,优,31,13,35,10,9,0.6,74,张家口,2019,03
2019-03-13,42,优,28,15,35,15,11,0.66,68,张家口,2019,03
2019-03-14,49,优,97,13,54,11,9,0.63,75,张家口,2019,03
2019-03-15,46,优,76,11,40,10,9,0.65,82,张家口,2019,03
2019-03-16,51,良,79,15,44,12,8,0.69,76,张家口,2019,03
2019-03-17,50,优,81,22,52,23,12,0.81,73,张家口,2019,03
2019-03-18,72,良,223,37,91,30,15,0.95,74,张家口,2019,03
2019-03-19,82,良,270,41,112,35,14,0.94,89,张家口,2019,03
2019-03-20,88,良,283,50,125,31,15,0.9,80,张家口,2019,03
2019-03-21,41,优,48,14,24,8,7,0.6,80,张家口,2019,03
2019-03-22,46,优,171,15,49,10,7,0.63,72,张家口,2019,03
2019-03-23,46,优,164,17,43,16,9,0.74,73,张家口,2019,03
2019-03-24,59,良,169,22,66,19,11,0.82,70,张家口,2019,03
2019-03-25,48,优,94,14,41,14,8,0.71,76,张家口,2019,03
2019-03-26,59,良,152,24,70,24,14,0.87,69,张家口,2019,03
2019-03-27,53,良,91,15,55,11,7,0.67,81,张家口,2019,03
2019-03-28,45,优,63,19,29,13,7,0.7,83,张家口,2019,03
2019-03-29,66,良,208,24,77,12,8,0.72,69,张家口,2019,03
2019-03-30,40,优,25,12,24,8,9,0.65,76,张家口,2019,03
2019-03-31,37,优,23,14,29,10,7,0.7,70,张家口,2019,03
2019-04-01,40,优,45,17,33,16,9,0.82,71,张家口,2019,04
2019-04-02,49,优,108,17,37,13,11,0.81,74,张家口,2019,04
2019-04-03,44,优,94,13,42,21,11,0.86,70,张家口,2019,04
2019-04-04,65,良,199,17,76,17,10,0.79,72,张家口,2019,04
2019-04-05,95,良,285,21,134,16,9,0.87,78,张家口,2019,04
2019-04-06,109,轻度污染,315,23,151,15,8,0.87,76,张家口,2019,04
2019-04-07,70,良,205,23,87,20,10,0.9,73,张家口,2019,04
2019-04-08,73,良,227,25,98,18,9,1.07,83,张家口,2019,04
2019-04-09,57,良,274,33,55,20,8,1.21,76,张家口,2019,04
2019-04-10,57,良,250,30,40,15,5,1.01,73,张家口,2019,04
2019-04-11,42,优,111,15,32,16,7,0.78,71,张家口,2019,04
2019-04-12,52,良,138,18,48,18,8,0.9,75,张家口,2019,04
2019-04-13,48,优,103,13,47,11,5,0.83,82,张家口,2019,04
2019-04-14,53,良,147,14,47,17,6,0.85,79,张家口,2019,04
2019-04-15,62,良,189,20,68,23,8,0.91,83,张家口,2019,04
2019-04-16,74,良,267,26,92,22,11,1.0,99,张家口,2019,04
2019-04-17,102,轻度污染,328,46,152,22,16,0.91,121,张家口,2019,04
2019-04-18,98,良,289,21,144,10,7,0.71,91,张家口,2019,04
2019-04-19,103,轻度污染,332,27,153,19,11,1.02,93,张家口,2019,04
2019-04-20,181,中度污染,356,58,367,21,7,1.12,70,张家口,2019,04
2019-04-21,171,中度污染,363,35,250,17,8,0.99,92,张家口,2019,04
2019-04-22,139,轻度污染,355,59,221,33,15,1.38,120,张家口,2019,04
2019-04-23,125,轻度污染,354,80,134,29,13,1.35,136,张家口,2019,04
2019-04-24,58,良,150,31,58,16,6,1.04,66,张家口,2019,04
2019-04-25,39,优,48,15,24,13,8,1.0,79,张家口,2019,04
2019-04-26,48,优,117,17,24,13,5,0.86,91,张家口,2019,04
2019-04-27,45,优,87,20,36,18,8,0.91,81,张家口,2019,04
2019-04-28,55,良,200,37,49,22,9,1.1,76,张家口,2019,04
2019-04-29,106,轻度污染,340,52,137,25,5,1.15,61,张家口,2019,04
2019-04-30,125,轻度污染,350,20,155,6,4,0.77,86,张家口,2019,04
2019-05-01,46,优,86,16,38,18,5,0.86,78,张家口,2019,05
2019-05-02,57,良,121,17,49,18,4,0.87,100,张家口,2019,05
2019-05-03,79,良,272,24,70,18,7,0.96,129,张家口,2019,05
2019-05-04,76,良,247,35,78,24,7,1.13,116,张家口,2019,05
2019-05-05,98,良,317,17,100,4,3,0.72,92,张家口,2019,05
2019-05-06,43,优,116,11,28,9,3,0.76,83,张家口,2019,05
2019-05-07,47,优,128,12,39,17,4,0.86,78,张家口,2019,05
2019-05-08,49,优,134,12,41,12,4,0.82,88,张家口,2019,05
2019-05-09,60,良,183,22,60,17,4,0.92,89,张家口,2019,05
2019-05-10,66,良,181,22,64,14,6,0.94,106,张家口,2019,05
2019-05-11,62,良,114,26,63,15,5,0.93,100,张家口,2019,05
2019-05-12,171,中度污染,320,71,369,13,6,0.91,87,张家口,2019,05
2019-05-13,64,良,164,20,76,16,4,0.86,72,张家口,2019,05
2019-05-14,72,良,197,23,90,20,7,0.93,93,张家口,2019,05
2019-05-15,102,轻度污染,299,41,152,24,11,0.97,99,张家口,2019,05
2019-05-16,107,轻度污染,318,42,162,13,5,0.85,97,张家口,2019,05
2019-05-17,91,良,331,38,128,18,9,0.97,114,张家口,2019,05
2019-05-18,76,良,313,38,83,13,7,1.13,121,张家口,2019,05
2019-05-19,69,良,258,20,79,4,3,0.78,85,张家口,2019,05
2019-05-20,51,良,124,10,44,5,2,0.71,85,张家口,2019,05
2019-05-21,42,优,46,10,30,10,3,0.75,78,张家口,2019,05
2019-05-22,41,优,36,12,31,12,4,0.81,80,张家口,2019,05
2019-05-23,55,良,80,13,47,17,6,0.83,97,张家口,2019,05
2019-05-24,87,良,245,27,85,18,9,1.02,136,张家口,2019,05
2019-05-25,113,轻度污染,329,31,95,15,8,1.02,171,张家口,2019,05
2019-05-26,55,良,210,16,24,5,5,0.78,98,张家口,2019,05
2019-05-27,43,优,119,9,18,6,4,0.71,84,张家口,2019,05
2019-05-28,40,优,103,9,23,9,5,0.76,81,张家口,2019,05
2019-05-29,49,优,149,11,33,15,6,0.78,94,张家口,2019,05
2019-05-30,47,优,129,11,40,8,4,0.7,85,张家口,2019,05
2019-05-31,41,优,95,10,34,14,3,0.74,67,张家口,2019,05
2019-06-01,58,良,175,15,54,16,5,0.81,90,张家口,2019,06
2019-06-02,57,良,143,16,42,15,7,0.75,98,张家口,2019,06
2019-06-03,45,优,82,11,33,11,7,0.67,78,张家口,2019,06
2019-06-04,79,良,255,25,64,18,9,0.37,132,张家口,2019,06
2019-06-05,50,优,170,15,48,17,7,0.3,84,张家口,2019,06
2019-06-06,68,良,310,18,52,13,9,0.33,118,张家口,2019,06
2019-06-07,54,良,179,16,42,9,9,0.25,93,张家口,2019,06
2019-06-08,42,优,122,9,39,7,6,0.17,73,张家口,2019,06
2019-06-09,43,优,143,8,18,6,5,0.21,85,张家口,2019,06
2019-06-10,49,优,169,10,27,10,7,0.2,93,张家口,2019,06
2019-06-11,50,优,180,16,51,17,5,0.21,67,张家口,2019,06
2019-06-14,36,优,146,9,19,12,3,0.29,110,张家口,2019,06
2019-06-15,63,良,280,17,49,13,6,0.45,134,张家口,2019,06
2019-06-17,41,优,180,27,32,17,7,0.55,102,张家口,2019,06
2019-06-18,43,优,225,17,35,19,6,0.45,103,张家口,2019,06
2019-06-19,67,良,325,25,55,20,6,0.49,142,张家口,2019,06
2019-06-20,54,良,311,23,51,20,7,0.45,124,张家口,2019,06
2019-06-25,107,轻度污染,351,36,84,23,9,0.61,173,张家口,2019,06
2019-06-26,140,轻度污染,360,38,85,16,11,0.56,197,张家口,2019,06
2019-06-27,52,良,197,22,44,20,3,0.4,88,张家口,2019,06
2019-06-28,49,优,202,13,26,10,4,0.28,94,张家口,2019,06
2019-06-29,42,优,161,10,17,8,4,0.2,83,张家口,2019,06
2019-06-30,39,优,117,8,18,8,4,0.17,75,张家口,2019,06
2019-07-01,40,优,110,9,27,11,3,0.18,78,张家口,2019,07
2019-07-02,50,优,144,12,31,16,4,0.26,87,张家口,2019,07
2019-07-03,51,良,156,13,37,15,4,0.21,85,张家口,2019,07
2019-07-04,70,良,272,12,47,16,6,0.31,113,张家口,2019,07
2019-07-05,67,良,248,13,27,16,5,0.27,111,张家口,2019,07
2019-07-06,38,优,108,8,12,4,4,0.15,79,张家口,2019,07
2019-07-07,41,优,126,12,27,13,10,0.23,82,张家口,2019,07
2019-07-12,45,优,232,17,38,14,5,0.34,116,张家口,2019,07
2019-07-13,36,优,173,14,34,25,4,0.32,76,张家口,2019,07
2019-07-14,37,优,143,14,29,14,4,0.23,92,张家口,2019,07
2019-07-15,70,良,317,21,54,15,8,0.34,140,张家口,2019,07
2019-07-16,58,良,290,35,53,20,12,0.47,147,张家口,2019,07
2019-07-17,41,优,178,28,31,16,4,0.43,109,张家口,2019,07
2019-07-18,63,良,333,40,54,17,7,0.58,115,张家口,2019,07
2019-07-19,57,良,317,38,52,19,6,0.6,113,张家口,2019,07
2019-07-20,77,良,355,56,72,24,8,0.84,106,张家口,2019,07
2019-07-21,53,良,247,26,49,22,8,0.49,95,张家口,2019,07
2019-07-22,48,优,236,22,49,27,13,0.45,75,张家口,2019,07
2019-07-23,43,优,225,23,35,16,7,0.44,106,张家口,2019,07
2019-07-24,49,优,268,22,51,19,6,0.38,88,张家口,2019,07
2019-07-25,54,良,296,26,60,18,6,0.38,77,张家口,2019,07
2019-07-26,58,良,302,21,51,15,7,0.37,124,张家口,2019,07
