日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2021-01-01,69,良,284,46,84,65,16,1.08,15,廊坊,2021,01
2021-01-02,70,良,178,50,88,56,18,1.62,17,廊坊,2021,01
2021-01-03,36,优,31,20,38,42,9,0.48,31,廊坊,2021,01
2021-01-04,54,良,98,28,62,40,11,0.62,39,廊坊,2021,01
2021-01-05,29,优,29,13,29,24,7,0.27,45,廊坊,2021,01
2021-01-06,107,轻度污染,296,24,149,18,9,0.27,50,廊坊,2021,01
2021-01-07,40,优,90,17,40,18,8,0.29,47,廊坊,2021,01
2021-01-08,41,优,108,18,42,36,8,0.52,36,廊坊,2021,01
2021-01-09,45,优,126,21,48,44,8,0.53,30,廊坊,2021,01
2021-01-10,33,优,30,14,32,26,7,0.36,54,廊坊,2021,01
2021-01-11,53,良,114,22,61,38,7,0.5,32,廊坊,2021,01
2021-01-12,129,轻度污染,297,51,200,43,11,0.74,27,廊坊,2021,01
2021-01-13,162,中度污染,323,56,245,33,8,0.68,47,廊坊,2021,01
2021-01-14,77,良,135,42,103,39,12,1.15,23,廊坊,2021,01
2021-01-15,94,良,180,41,139,25,6,0.53,50,廊坊,2021,01
2021-01-16,31,优,21,15,30,17,5,0.29,63,廊坊,2021,01
2021-01-17,46,优,60,19,49,23,7,0.47,56,廊坊,2021,01
2021-01-18,54,良,87,30,62,40,8,0.72,38,廊坊,2021,01
2021-01-19,52,良,70,30,55,25,8,0.86,43,廊坊,2021,01
2021-01-20,71,良,148,50,86,50,8,1.03,19,廊坊,2021,01
2021-01-21,105,轻度污染,213,78,127,65,11,1.06,22,廊坊,2021,01
2021-01-22,109,轻度污染,218,81,131,66,14,1.4,28,廊坊,2021,01
2021-01-23,66,良,102,44,78,55,11,0.89,36,廊坊,2021,01
2021-01-24,119,轻度污染,207,90,138,80,14,1.37,17,廊坊,2021,01
2021-01-25,163,中度污染,303,124,170,81,11,1.65,11,廊坊,2021,01
2021-01-26,125,轻度污染,276,95,121,67,7,1.52,15,廊坊,2021,01
2021-01-27,112,轻度污染,249,80,139,67,13,1.52,19,廊坊,2021,01
2021-01-28,50,优,103,15,55,16,6,0.21,72,廊坊,2021,01
2021-01-29,55,良,120,29,64,50,11,0.58,23,廊坊,2021,01
2021-01-30,75,良,198,48,100,61,12,0.92,23,廊坊,2021,01
2021-01-31,80,良,196,55,103,43,13,1.22,29,廊坊,2021,01
2021-02-01,57,良,123,30,66,23,7,0.45,59,廊坊,2021,02
2021-02-02,38,优,60,16,39,23,8,0.34,57,廊坊,2021,02
2021-02-03,61,良,158,35,73,43,11,0.72,40,廊坊,2021,02
2021-02-04,62,良,140,34,76,37,13,0.66,51,廊坊,2021,02
2021-02-05,90,良,277,64,122,63,15,1.15,34,廊坊,2021,02
2021-02-06,86,良,270,46,118,50,10,0.72,48,廊坊,2021,02
2021-02-07,54,良,126,30,66,25,11,0.55,57,廊坊,2021,02
2021-02-08,63,良,254,43,72,41,11,0.74,51,廊坊,2021,02
2021-02-09,90,良,297,66,105,40,17,0.98,61,廊坊,2021,02
2021-02-10,124,轻度污染,326,94,139,58,15,1.38,57,廊坊,2021,02
2021-02-11,204,重度污染,358,162,215,41,17,1.44,81,廊坊,2021,02
2021-02-12,268,重度污染,359,219,272,37,19,1.83,71,廊坊,2021,02
2021-02-13,180,中度污染,354,138,176,39,9,1.79,15,廊坊,2021,02
2021-02-14,92,良,321,66,90,23,8,1.03,42,廊坊,2021,02
2021-02-15,37,优,112,17,35,12,7,0.28,79,廊坊,2021,02
2021-02-16,43,优,145,18,44,9,7,0.22,81,廊坊,2021,02
2021-02-17,28,优,53,15,25,14,7,0.26,71,廊坊,2021,02
2021-02-18,54,良,251,35,61,43,11,0.72,46,廊坊,2021,02
2021-02-19,93,良,341,69,112,75,13,1.23,26,廊坊,2021,02
2021-02-20,87,良,321,54,112,61,13,0.99,34,廊坊,2021,02
2021-02-21,119,轻度污染,346,65,183,63,13,0.97,27,廊坊,2021,02
2021-02-22,77,良,266,51,98,30,10,0.57,59,廊坊,2021,02
2021-02-23,52,良,166,24,55,26,9,0.4,52,廊坊,2021,02
2021-02-24,56,良,216,35,62,34,15,0.74,43,廊坊,2021,02
2021-02-25,108,轻度污染,349,81,118,54,12,1.2,37,廊坊,2021,02
2021-02-26,144,轻度污染,343,109,154,51,12,1.31,58,廊坊,2021,02
2021-02-27,118,轻度污染,298,89,116,55,16,1.07,70,廊坊,2021,02
2021-02-28,119,轻度污染,345,89,112,56,10,1.04,33,廊坊,2021,02
2021-03-01,36,优,176,24,30,14,6,0.33,77,廊坊,2021,03
2021-03-02,86,良,345,64,90,29,7,0.85,39,廊坊,2021,03
2021-03-03,130,轻度污染,355,98,133,49,7,1.05,22,廊坊,2021,03
2021-03-04,166,中度污染,362,126,181,63,10,1.73,22,廊坊,2021,03
2021-03-05,122,轻度污染,355,87,134,47,9,1.2,27,廊坊,2021,03
2021-03-06,50,优,216,23,54,30,11,0.67,51,廊坊,2021,03
2021-03-07,64,良,249,43,75,33,9,0.6,47,廊坊,2021,03
2021-03-08,104,轻度污染,313,78,121,57,15,0.94,43,廊坊,2021,03
2021-03-09,176,中度污染,359,135,195,79,13,1.18,41,廊坊,2021,03
2021-03-10,143,轻度污染,349,110,157,62,10,1.01,49,廊坊,2021,03
2021-03-11,96,良,316,72,105,36,10,0.68,69,廊坊,2021,03
2021-03-12,125,轻度污染,345,95,124,41,9,0.81,39,廊坊,2021,03
2021-03-13,115,轻度污染,324,87,112,39,8,1.03,56,廊坊,2021,03
2021-03-14,134,轻度污染,330,100,138,44,9,0.84,54,廊坊,2021,03
2021-03-15,331,严重污染,342,169,759,20,6,0.41,65,廊坊,2021,03
2021-03-16,77,良,194,23,107,23,6,0.28,70,廊坊,2021,03
2021-03-17,156,中度污染,282,45,261,55,12,0.52,29,廊坊,2021,03
2021-03-18,79,良,275,46,102,50,11,0.71,36,廊坊,2021,03
2021-03-19,83,良,276,58,104,35,9,0.64,47,廊坊,2021,03
2021-03-20,76,良,209,32,91,18,6,0.48,57,廊坊,2021,03
2021-03-21,36,优,86,13,35,15,6,0.2,78,廊坊,2021,03
2021-03-22,111,轻度污染,330,25,172,28,8,0.3,56,廊坊,2021,03
2021-03-23,74,良,189,35,98,36,12,0.5,66,廊坊,2021,03
2021-03-24,95,良,297,46,141,39,12,0.5,61,廊坊,2021,03
2021-03-25,93,良,269,60,134,49,16,0.6,83,廊坊,2021,03
2021-03-26,121,轻度污染,337,89,164,67,13,0.78,33,廊坊,2021,03
2021-03-27,159,中度污染,354,121,176,49,8,1.1,46,廊坊,2021,03
2021-03-28,238,重度污染,305,99,481,25,6,0.4,65,廊坊,2021,03
2021-03-29,85,良,214,18,121,25,7,0.2,72,廊坊,2021,03
2021-03-30,139,轻度污染,264,49,229,33,11,0.47,71,廊坊,2021,03
2021-03-31,116,轻度污染,316,55,183,48,11,0.6,70,廊坊,2021,03
2021-04-01,92,良,331,53,134,51,13,0.86,69,廊坊,2021,04
2021-04-02,68,良,313,37,86,58,8,0.46,46,廊坊,2021,04
2021-04-03,56,良,307,32,61,27,5,0.34,61,廊坊,2021,04
2021-04-04,45,优,206,20,46,34,6,0.23,65,廊坊,2021,04
2021-04-05,60,良,281,33,72,25,8,0.36,97,廊坊,2021,04
2021-04-06,58,良,214,33,67,33,7,0.4,89,廊坊,2021,04
2021-04-07,81,良,326,47,107,46,9,0.57,70,廊坊,2021,04
2021-04-08,61,良,266,31,73,45,9,0.46,69,廊坊,2021,04
2021-04-09,66,良,275,39,83,43,11,0.69,73,廊坊,2021,04
2021-04-10,83,良,331,57,112,42,13,0.94,94,廊坊,2021,04
2021-04-11,79,良,336,52,105,32,11,0.62,102,廊坊,2021,04
2021-04-12,77,良,311,46,103,48,8,0.78,36,廊坊,2021,04
2021-04-13,35,优,115,10,35,20,4,0.21,76,廊坊,2021,04
2021-04-14,64,良,308,23,78,27,7,0.35,74,廊坊,2021,04
2021-04-15,157,中度污染,320,63,246,21,8,0.46,86,廊坊,2021,04
2021-04-16,129,轻度污染,281,37,203,20,3,0.22,63,廊坊,2021,04
2021-04-17,41,优,87,12,42,24,4,0.21,68,廊坊,2021,04
2021-04-18,66,良,216,25,81,34,9,0.38,76,廊坊,2021,04
2021-04-19,86,良,342,42,119,33,10,0.52,112,廊坊,2021,04
2021-04-20,86,良,342,43,113,30,12,0.55,121,廊坊,2021,04
2021-04-21,62,良,302,28,74,43,8,0.45,73,廊坊,2021,04
2021-04-22,51,良,201,30,55,30,6,0.49,75,廊坊,2021,04
2021-04-23,46,优,158,26,47,26,5,0.43,75,廊坊,2021,04
2021-04-24,53,良,278,31,59,35,6,0.47,70,廊坊,2021,04
2021-04-25,68,良,337,47,78,31,8,0.58,82,廊坊,2021,04
2021-04-26,59,良,271,35,69,33,10,0.49,81,廊坊,2021,04
2021-04-27,81,良,280,28,112,25,6,0.3,68,廊坊,2021,04
2021-04-28,52,良,171,13,56,21,5,0.21,81,廊坊,2021,04
2021-04-29,64,良,225,21,80,29,6,0.22,71,廊坊,2021,04
2021-04-30,38,优,64,18,39,33,5,0.23,57,廊坊,2021,04
2021-05-01,47,优,116,21,49,29,5,0.25,54,廊坊,2021,05
2021-05-02,41,优,100,15,40,23,7,0.26,73,廊坊,2021,05
2021-05-03,58,良,265,30,66,21,11,0.48,98,廊坊,2021,05
2021-05-04,57,良,235,20,66,16,6,0.28,84,廊坊,2021,05
2021-05-05,61,良,180,18,72,19,7,0.26,93,廊坊,2021,05
2021-05-06,172,中度污染,332,54,292,18,9,0.31,95,廊坊,2021,05
2021-05-07,95,良,232,37,139,11,5,0.22,90,廊坊,2021,05
2021-05-08,111,轻度污染,272,40,157,19,7,0.28,82,廊坊,2021,05
2021-05-09,56,良,224,23,63,39,11,0.43,80,廊坊,2021,05
2021-05-10,46,优,184,17,46,25,8,0.44,95,廊坊,2021,05
2021-05-11,55,良,276,25,55,31,7,0.55,92,廊坊,2021,05
2021-05-12,60,良,282,24,62,35,9,0.51,96,廊坊,2021,05
2021-05-13,64,良,303,42,73,28,8,0.66,87,廊坊,2021,05
2021-05-14,74,良,334,52,89,26,7,0.86,71,廊坊,2021,05
2021-05-15,54,良,346,31,64,17,5,0.48,60,廊坊,2021,05
2021-05-16,27,优,157,11,22,23,4,0.2,74,廊坊,2021,05
2021-05-17,45,优,295,14,43,27,6,0.31,84,廊坊,2021,05
2021-05-18,67,良,341,25,66,25,11,0.5,122,廊坊,2021,05
2021-05-19,64,良,313,27,64,19,11,0.5,131,廊坊,2021,05
2021-05-20,67,良,327,40,81,16,9,0.58,116,廊坊,2021,05
2021-05-21,94,良,358,58,109,21,8,0.7,129,廊坊,2021,05
2021-05-22,83,良,330,36,96,19,9,0.59,144,廊坊,2021,05
2021-05-23,133,轻度污染,346,50,204,15,6,0.25,77,廊坊,2021,05
2021-05-24,68,良,263,25,86,24,5,0.23,63,廊坊,2021,05
2021-05-25,59,良,235,15,70,21,7,0.29,93,廊坊,2021,05
2021-05-26,54,良,272,17,61,28,9,0.47,82,廊坊,2021,05
2021-05-27,54,良,256,18,61,28,7,0.33,72,廊坊,2021,05
2021-05-28,33,优,122,10,27,14,5,0.21,91,廊坊,2021,05
2021-05-29,46,优,207,15,42,26,8,0.34,90,廊坊,2021,05
2021-05-30,47,优,216,18,41,23,9,0.4,100,廊坊,2021,05
2021-05-31,64,良,276,39,79,31,8,0.95,63,廊坊,2021,05
2021-06-01,57,良,276,31,64,26,8,0.74,93,廊坊,2021,06
2021-06-02,70,良,315,40,88,35,8,0.77,74,廊坊,2021,06
2021-06-03,37,优,189,11,36,24,6,0.19,66,廊坊,2021,06
2021-06-04,46,优,246,12,48,21,8,0.24,78,廊坊,2021,06
2021-06-05,44,优,179,12,39,32,8,0.28,71,廊坊,2021,06
2021-06-06,55,良,173,16,55,35,12,0.53,87,廊坊,2021,06
2021-06-07,55,良,188,25,61,25,13,0.87,113,廊坊,2021,06
2021-06-08,64,良,298,35,74,19,9,0.67,118,廊坊,2021,06
2021-06-09,69,良,323,41,88,24,11,1.0,89,廊坊,2021,06
2021-06-10,46,优,271,10,31,19,8,0.34,116,廊坊,2021,06
2021-06-11,60,良,286,16,53,28,9,0.4,118,廊坊,2021,06
2021-06-12,96,良,362,29,85,35,17,0.62,167,廊坊,2021,06
2021-06-13,92,良,359,48,116,26,12,0.96,140,廊坊,2021,06
2021-06-14,47,优,326,28,50,17,9,0.75,82,廊坊,2021,06
2021-06-15,59,良,350,24,51,13,10,0.58,119,廊坊,2021,06
2021-06-16,48,优,340,26,50,25,8,0.6,51,廊坊,2021,06
2021-06-17,43,优,326,18,38,16,8,0.33,80,廊坊,2021,06
2021-06-18,43,优,281,12,43,26,8,0.27,66,廊坊,2021,06
2021-06-19,41,优,236,10,38,33,9,0.25,67,廊坊,2021,06
2021-06-20,42,优,224,11,36,28,9,0.26,82,廊坊,2021,06
2021-06-21,81,良,341,24,77,30,16,0.76,135,廊坊,2021,06
2021-06-22,56,良,250,18,44,21,13,0.58,112,廊坊,2021,06
2021-06-23,47,优,181,21,47,32,10,0.47,74,廊坊,2021,06
2021-06-24,59,良,274,29,63,30,10,0.48,105,廊坊,2021,06
