日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2021-01-01,61,良,236,34,74,46,20,1.43,15,承德,2021,01
2021-01-02,68,良,163,35,86,37,16,1.34,29,承德,2021,01
2021-01-03,46,优,60,24,51,39,22,1.1,25,承德,2021,01
2021-01-04,50,优,78,29,59,28,11,1.04,41,承德,2021,01
2021-01-05,32,优,43,17,32,28,12,0.81,37,承德,2021,01
2021-01-06,50,优,91,18,56,14,8,0.64,56,承德,2021,01
2021-01-07,30,优,40,14,26,11,14,0.6,59,承德,2021,01
2021-01-08,30,优,43,14,26,17,11,0.65,59,承德,2021,01
2021-01-09,29,优,31,15,28,24,11,0.73,46,承德,2021,01
2021-01-10,32,优,26,17,28,28,10,0.74,46,承德,2021,01
2021-01-11,48,优,82,20,52,34,11,0.9,29,承德,2021,01
2021-01-12,84,良,212,36,118,48,20,1.33,20,承德,2021,01
2021-01-13,77,良,166,35,110,39,14,1.16,35,承德,2021,01
2021-01-14,78,良,141,47,105,50,16,1.32,16,承德,2021,01
2021-01-15,75,良,120,35,106,24,8,0.86,53,承德,2021,01
2021-01-16,40,优,39,16,40,21,8,0.63,57,承德,2021,01
2021-01-17,51,良,81,23,56,37,17,1.08,32,承德,2021,01
2021-01-18,51,良,77,26,60,33,12,1.05,37,承德,2021,01
2021-01-19,59,良,100,33,69,39,13,1.22,27,承德,2021,01
2021-01-20,93,良,244,64,127,53,38,2.23,15,承德,2021,01
2021-01-21,120,轻度污染,243,86,176,61,55,2.87,14,承德,2021,01
2021-01-22,79,良,145,49,108,50,16,1.55,27,承德,2021,01
2021-01-23,112,轻度污染,235,80,157,62,37,2.52,14,承德,2021,01
2021-01-24,134,轻度污染,237,101,182,68,27,2.83,17,承德,2021,01
2021-01-25,140,轻度污染,285,106,187,68,23,2.95,14,承德,2021,01
2021-01-26,107,轻度污染,251,72,130,49,19,2.05,30,承德,2021,01
2021-01-27,57,良,106,24,65,44,10,1.1,28,承德,2021,01
2021-01-28,36,优,40,16,37,15,6,0.58,71,承德,2021,01
2021-01-29,48,优,91,21,52,36,10,1.0,30,承德,2021,01
2021-01-30,80,良,226,42,109,51,18,1.85,19,承德,2021,01
2021-01-31,100,良,286,64,145,55,15,2.13,23,承德,2021,01
2021-02-01,55,良,117,30,64,22,7,0.95,59,承德,2021,02
2021-02-02,38,优,58,19,37,25,12,0.86,49,承德,2021,02
2021-02-03,54,良,114,21,66,30,17,1.0,45,承德,2021,02
2021-02-04,48,优,62,23,52,41,16,1.21,32,承德,2021,02
2021-02-05,72,良,193,36,94,47,20,1.57,29,承德,2021,02
2021-02-06,54,良,106,28,65,35,12,1.29,44,承德,2021,02
2021-02-07,31,优,31,17,29,17,6,0.6,66,承德,2021,02
2021-02-08,43,优,111,22,45,33,15,1.12,35,承德,2021,02
