日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2023-01-01,38,优,60,19,38,28,2,0.4,32,北京,2023,01
2023-01-02,22,优,9,10,21,18,2,0.25,46,北京,2023,01
2023-01-03,36,优,59,20,38,32,2,0.43,26,北京,2023,01
2023-01-04,63,良,128,41,70,45,3,0.63,17,北京,2023,01
2023-01-05,106,轻度污染,196,79,118,61,4,0.91,12,北京,2023,01
2023-01-06,103,轻度污染,163,62,115,45,3,0.69,33,北京,2023,01
2023-01-07,66,良,96,19,81,40,2,0.5,21,北京,2023,01
2023-01-08,59,良,75,25,70,32,2,0.47,31,北京,2023,01
2023-01-09,34,优,47,13,35,24,2,0.35,43,北京,2023,01
2023-01-10,60,良,143,37,69,47,3,0.6,18,北京,2023,01
2023-01-11,82,良,172,60,97,57,4,0.79,9,北京,2023,01
2023-01-12,115,轻度污染,214,87,127,58,4,0.88,6,北京,2023,01
2023-01-13,100,良,214,74,91,27,2,0.69,32,北京,2023,01
2023-01-14,21,优,34,2,9,5,2,0.11,66,北京,2023,01
2023-01-15,23,优,59,6,21,9,2,0.2,57,北京,2023,01
2023-01-16,43,优,96,18,43,22,2,0.33,40,北京,2023,01
2023-01-17,80,良,241,26,110,13,2,0.28,51,北京,2023,01
2023-01-18,70,良,163,28,89,24,2,0.37,38,北京,2023,01
2023-01-19,71,良,139,29,100,19,2,0.33,39,北京,2023,01
2023-01-20,40,优,55,9,40,6,2,0.25,54,北京,2023,01
2023-01-21,58,良,77,35,63,23,3,0.48,36,北京,2023,01
2023-01-22,93,良,123,66,114,23,3,0.54,40,北京,2023,01
2023-01-23,59,良,137,37,65,6,2,0.42,56,北京,2023,01
2023-01-24,36,优,73,7,36,5,2,0.2,57,北京,2023,01
2023-01-25,44,优,82,25,46,21,3,0.43,34,北京,2023,01
2023-01-26,46,优,43,21,49,15,2,0.35,43,北京,2023,01
2023-01-27,24,优,5,7,22,7,2,0.22,55,北京,2023,01
2023-01-28,62,良,195,15,74,11,2,0.24,54,北京,2023,01
2023-01-29,64,良,166,21,79,16,2,0.26,51,北京,2023,01
2023-01-30,63,良,124,34,76,37,4,0.52,31,北京,2023,01
2023-01-31,70,良,149,35,92,30,2,0.53,43,北京,2023,01
2023-02-01,30,优,18,8,32,6,2,0.16,63,北京,2023,02
2023-02-02,22,优,3,10,22,19,2,0.26,41,北京,2023,02
2023-02-03,42,优,58,23,44,37,2,0.43,23,北京,2023,02
2023-02-04,48,优,101,28,51,35,3,0.5,36,北京,2023,02
2023-02-05,100,良,211,74,114,54,5,0.82,22,北京,2023,02
2023-02-06,129,轻度污染,251,98,140,46,7,1.07,37,北京,2023,02
2023-02-07,67,良,165,47,76,39,4,0.84,38,北京,2023,02
2023-02-08,34,优,76,20,33,26,2,0.38,48,北京,2023,02
2023-02-09,68,良,228,49,70,43,4,0.65,28,北京,2023,02
2023-02-10,113,轻度污染,296,85,99,37,2,0.75,26,北京,2023,02
2023-02-11,185,中度污染,330,139,181,38,2,1.01,18,北京,2023,02
2023-02-12,108,轻度污染,312,81,100,26,2,0.81,28,北京,2023,02
