日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2023-01-01,113,轻度污染,231,85,133,69,15,1.18,11,石家庄,2023,01
2023-01-02,93,良,220,69,110,61,12,1.08,16,石家庄,2023,01
2023-01-03,118,轻度污染,259,89,135,74,16,1.46,9,石家庄,2023,01
2023-01-04,147,轻度污染,277,111,161,76,16,1.75,12,石家庄,2023,01
2023-01-05,202,重度污染,282,158,214,86,22,2.09,14,石家庄,2023,01
2023-01-06,124,轻度污染,203,71,153,51,11,0.99,38,石家庄,2023,01
2023-01-07,99,良,183,57,143,61,15,0.93,22,石家庄,2023,01
2023-01-08,112,轻度污染,242,78,166,73,18,1.32,13,石家庄,2023,01
2023-01-09,88,良,195,61,117,56,12,0.92,26,石家庄,2023,01
2023-01-10,77,良,198,55,99,57,14,0.94,18,石家庄,2023,01
2023-01-11,122,轻度污染,241,91,146,71,16,1.41,9,石家庄,2023,01
2023-01-12,162,中度污染,265,123,177,68,14,1.45,4,石家庄,2023,01
2023-01-13,163,中度污染,267,123,160,47,9,1.64,15,石家庄,2023,01
2023-01-14,35,优,144,18,35,12,3,0.34,57,石家庄,2023,01
2023-01-15,42,优,202,18,43,18,5,0.45,55,石家庄,2023,01
2023-01-16,55,良,198,28,60,34,14,0.86,40,石家庄,2023,01
2023-01-17,97,良,273,39,143,26,7,0.59,48,石家庄,2023,01
2023-01-18,103,轻度污染,250,39,155,26,10,0.59,49,石家庄,2023,01
2023-01-19,95,良,239,40,139,17,7,0.42,56,石家庄,2023,01
2023-01-20,50,优,111,16,54,8,6,0.37,55,石家庄,2023,01
2023-01-21,77,良,146,50,91,19,12,0.77,43,石家庄,2023,01
2023-01-22,142,轻度污染,204,108,154,28,17,1.06,50,石家庄,2023,01
2023-01-23,118,轻度污染,259,84,135,16,6,0.79,52,石家庄,2023,01
2023-01-24,38,优,85,11,39,5,4,0.29,67,石家庄,2023,01
2023-01-25,58,良,160,35,65,18,13,0.85,45,石家庄,2023,01
2023-01-26,80,良,216,58,102,31,14,1.06,32,石家庄,2023,01
2023-01-27,47,优,81,26,54,20,8,0.54,48,石家庄,2023,01
2023-01-28,42,优,37,13,42,17,8,0.42,56,石家庄,2023,01
