日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2023-01-01,173,中度污染,278,131,173,82,21,1.6,11,衡水,2023,01
2023-01-02,117,轻度污染,258,88,126,70,19,1.37,11,衡水,2023,01
2023-01-03,151,中度污染,284,115,155,80,28,1.38,9,衡水,2023,01
2023-01-04,220,重度污染,310,171,218,88,28,1.7,11,衡水,2023,01
2023-01-05,306,严重污染,315,256,310,84,24,1.83,28,衡水,2023,01
2023-01-06,198,中度污染,290,145,232,51,14,1.26,37,衡水,2023,01
2023-01-07,116,轻度污染,237,73,166,70,22,1.07,25,衡水,2023,01
2023-01-08,131,轻度污染,273,99,189,88,20,1.24,10,衡水,2023,01
2023-01-09,77,良,169,47,97,55,14,0.66,26,衡水,2023,01
2023-01-10,57,良,137,35,63,48,19,0.6,26,衡水,2023,01
2023-01-11,102,轻度污染,202,76,113,61,19,0.84,11,衡水,2023,01
2023-01-12,155,中度污染,259,117,162,67,18,1.44,1,衡水,2023,01
2023-01-13,135,轻度污染,239,101,136,40,10,1.25,14,衡水,2023,01
2023-01-14,31,优,121,6,31,9,5,0.39,58,衡水,2023,01
2023-01-15,38,优,175,16,40,19,8,0.46,50,衡水,2023,01
2023-01-16,76,良,285,53,83,32,14,1.01,35,衡水,2023,01
2023-01-17,101,轻度污染,283,47,146,26,13,0.73,42,衡水,2023,01
2023-01-18,122,轻度污染,291,50,195,25,21,0.81,46,衡水,2023,01
2023-01-19,115,轻度污染,300,57,174,17,14,0.63,51,衡水,2023,01
2023-01-20,45,优,97,12,48,11,9,0.41,51,衡水,2023,01
2023-01-21,122,轻度污染,269,90,159,19,19,0.92,47,衡水,2023,01
2023-01-22,280,重度污染,330,231,301,34,29,1.3,57,衡水,2023,01
2023-01-23,121,轻度污染,264,88,140,14,10,0.8,46,衡水,2023,01
2023-01-24,41,优,113,7,48,7,6,0.38,62,衡水,2023,01
2023-01-25,70,良,250,26,91,11,12,0.56,60,衡水,2023,01
2023-01-26,93,良,267,59,132,26,13,0.85,35,衡水,2023,01
2023-01-27,68,良,189,34,90,18,12,0.51,49,衡水,2023,01
2023-01-28,54,良,113,23,60,21,14,0.6,46,衡水,2023,01
