日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2023-01-01,139,轻度污染,252,105,135,60,11,1.15,11,邢台,2023,01
2023-01-02,128,轻度污染,270,97,129,57,9,1.0,13,邢台,2023,01
2023-01-03,153,中度污染,288,115,144,63,10,1.27,10,邢台,2023,01
2023-01-04,177,中度污染,296,134,163,67,13,1.42,17,邢台,2023,01
2023-01-05,243,重度污染,296,195,229,84,15,1.99,11,邢台,2023,01
2023-01-06,121,轻度污染,193,81,141,48,10,1.2,39,邢台,2023,01
2023-01-07,113,轻度污染,232,73,154,66,10,0.91,15,邢台,2023,01
2023-01-08,118,轻度污染,252,88,167,62,14,1.14,22,邢台,2023,01
2023-01-09,95,良,210,68,118,54,9,0.75,26,邢台,2023,01
2023-01-10,78,良,200,57,87,55,8,0.76,13,邢台,2023,01
2023-01-11,130,轻度污染,254,98,126,61,11,1.28,12,邢台,2023,01
2023-01-12,168,中度污染,268,127,151,64,12,1.28,6,邢台,2023,01
2023-01-13,154,中度污染,254,116,117,29,4,1.13,29,邢台,2023,01
2023-01-14,27,优,86,14,24,4,2,0.3,59,邢台,2023,01
2023-01-15,55,良,263,39,45,24,8,0.96,42,邢台,2023,01
2023-01-16,59,良,223,40,55,36,8,1.11,28,邢台,2023,01
2023-01-17,92,良,266,44,127,32,6,0.98,35,邢台,2023,01
2023-01-18,97,良,238,42,144,24,11,1.1,42,邢台,2023,01
2023-01-19,96,良,243,41,142,15,5,0.53,53,邢台,2023,01
2023-01-20,56,良,137,20,64,9,4,0.38,51,邢台,2023,01
2023-01-21,69,良,118,48,79,16,11,0.83,46,邢台,2023,01
2023-01-22,147,轻度污染,213,112,134,22,15,1.1,63,邢台,2023,01
2023-01-23,136,轻度污染,278,101,132,12,7,0.92,55,邢台,2023,01
2023-01-24,40,优,100,10,39,3,4,0.34,65,邢台,2023,01
2023-01-25,59,良,175,37,66,12,8,0.72,54,邢台,2023,01
2023-01-26,76,良,196,51,93,19,11,1.02,46,邢台,2023,01
2023-01-27,52,良,105,34,61,26,5,0.91,37,邢台,2023,01
2023-01-28,39,优,30,19,39,27,7,0.77,39,邢台,2023,01
2023-01-29,42,优,29,21,43,31,8,0.8,39,邢台,2023,01
2023-01-30,63,良,128,44,61,50,12,1.13,27,邢台,2023,01
2023-01-31,94,良,217,70,80,58,16,1.51,28,邢台,2023,01
2023-02-01,61,良,115,19,82,13,4,0.44,57,邢台,2023,02
2023-02-02,36,优,34,21,36,29,8,0.59,37,邢台,2023,02
2023-02-03,75,良,245,55,80,55,20,1.54,11,邢台,2023,02
2023-02-04,100,良,258,75,97,47,16,1.63,36,邢台,2023,02
2023-02-05,141,轻度污染,286,107,131,42,15,1.44,52,邢台,2023,02
2023-02-06,211,重度污染,319,162,193,39,15,1.36,55,邢台,2023,02
2023-02-07,173,中度污染,292,131,146,40,10,1.07,44,邢台,2023,02
2023-02-08,115,轻度污染,276,86,99,31,10,0.88,55,邢台,2023,02
2023-02-09,118,轻度污染,305,89,73,23,5,0.81,47,邢台,2023,02
2023-02-10,175,中度污染,336,132,124,31,4,1.23,27,邢台,2023,02
2023-02-11,143,轻度污染,313,109,106,32,6,1.18,29,邢台,2023,02
2023-02-12,114,轻度污染,317,85,72,35,4,1.4,11,邢台,2023,02
2023-02-13,70,良,300,51,46,19,4,0.74,50,邢台,2023,02
2023-02-14,64,良,289,46,50,32,7,0.89,39,邢台,2023,02
2023-02-15,72,良,264,52,71,43,7,0.78,27,邢台,2023,02
2023-02-16,117,轻度污染,311,88,114,47,9,1.08,32,邢台,2023,02
2023-02-17,180,中度污染,328,138,166,53,10,1.34,27,邢台,2023,02
2023-02-18,222,重度污染,335,173,213,47,10,1.41,42,邢台,2023,02
2023-02-19,46,优,90,21,50,29,8,0.68,51,邢台,2023,02
2023-02-20,62,良,176,35,74,40,7,0.64,39,邢台,2023,02
2023-02-21,50,优,130,25,54,28,8,0.45,53,邢台,2023,02
2023-02-22,76,良,266,52,93,37,12,0.92,40,邢台,2023,02
2023-02-23,99,良,293,74,96,36,7,0.87,32,邢台,2023,02
2023-02-24,158,中度污染,328,119,149,47,5,0.91,18,邢台,2023,02
2023-02-25,111,轻度污染,302,83,113,42,7,0.91,35,邢台,2023,02
2023-02-26,115,轻度污染,298,87,126,44,10,1.17,45,邢台,2023,02
2023-02-27,95,良,264,71,107,31,8,0.86,61,邢台,2023,02
2023-02-28,130,轻度污染,309,99,145,40,8,1.03,51,邢台,2023,02
2023-03-01,82,良,209,48,97,32,5,0.63,48,邢台,2023,03
2023-03-01,82,良,210,48,97,32,5,0.63,48,邢台,2023,03
2023-03-02,80,良,218,45,107,38,14,0.9,54,邢台,2023,03
2023-03-03,77,良,198,45,101,47,10,0.86,41,邢台,2023,03
2023-03-04,64,良,132,27,78,39,10,0.79,49,邢台,2023,03
2023-03-05,127,轻度污染,309,91,154,50,14,0.98,66,邢台,2023,03
2023-03-06,175,中度污染,331,136,201,46,14,1.25,90,邢台,2023,03
2023-03-07,126,轻度污染,302,95,154,50,17,1.33,83,邢台,2023,03
2023-03-08,125,轻度污染,326,80,173,25,9,0.84,93,邢台,2023,03
2023-03-09,97,良,270,51,138,31,12,1.03,72,邢台,2023,03
2023-03-10,72,良,181,29,95,30,11,0.84,70,邢台,2023,03
2023-03-11,213,重度污染,312,51,340,10,4,0.42,65,邢台,2023,03
2023-03-12,91,良,250,17,132,12,5,0.37,61,邢台,2023,03
2023-03-13,103,轻度污染,307,31,156,30,20,1.1,53,邢台,2023,03
2023-03-14,100,良,292,53,150,41,18,1.07,51,邢台,2023,03
2023-03-15,137,轻度污染,300,30,217,12,4,0.33,60,邢台,2023,03
2023-03-16,97,良,290,36,143,32,9,0.45,33,邢台,2023,03
2023-03-17,52,良,232,35,51,14,5,0.59,53,邢台,2023,03
2023-03-18,75,良,288,55,77,20,6,0.53,56,邢台,2023,03
2023-03-19,93,良,307,69,92,21,8,0.67,55,邢台,2023,03
2023-03-20,93,良,277,69,92,22,9,0.85,60,邢台,2023,03
2023-03-21,102,轻度污染,247,77,100,25,10,0.85,57,邢台,2023,03
2023-03-22,338,严重污染,306,266,1319,26,5,0.58,42,邢台,2023,03
2023-03-23,273,重度污染,283,102,514,20,4,0.32,43,邢台,2023,03
2023-03-24,149,轻度污染,300,59,248,30,6,0.39,41,邢台,2023,03
2023-03-25,122,轻度污染,319,55,194,34,8,0.64,33,邢台,2023,03
2023-03-26,97,良,306,64,144,26,7,0.65,58,邢台,2023,03
2023-03-27,109,轻度污染,320,76,163,34,14,1.1,68,邢台,2023,03
2023-03-28,111,轻度污染,320,70,161,45,11,0.81,66,邢台,2023,03
2023-03-29,84,良,280,48,119,23,13,0.85,98,邢台,2023,03
2023-03-30,84,良,292,59,116,36,13,0.73,99,邢台,2023,03
2023-03-31,68,良,222,45,86,24,10,0.6,88,邢台,2023,03
2023-04-01,69,良,231,48,84,22,10,0.62,93,邢台,2023,04
2023-04-02,82,良,278,57,99,20,10,0.56,98,邢台,2023,04
2023-04-03,93,良,318,68,102,28,6,0.69,58,邢台,2023,04
2023-04-04,39,优,213,24,32,7,4,0.45,86,邢台,2023,04
2023-04-05,33,优,131,14,25,11,4,0.43,90,邢台,2023,04
2023-04-06,48,优,145,22,49,14,5,0.47,66,邢台,2023,04
2023-04-07,49,优,148,15,51,22,4,0.42,56,邢台,2023,04
2023-04-08,53,良,100,26,62,24,7,0.55,71,邢台,2023,04
2023-04-09,92,良,286,53,133,27,14,1.04,80,邢台,2023,04
2023-04-10,102,轻度污染,268,50,155,38,15,1.26,63,邢台,2023,04
2023-04-11,488,严重污染,337,194,803,13,4,0.28,62,邢台,2023,04
2023-04-12,500,严重污染,337,181,745,29,10,0.8,39,邢台,2023,04
2023-04-13,314,严重污染,326,107,445,34,12,1.13,41,邢台,2023,04
2023-04-14,321,严重污染,333,121,483,30,7,0.75,48,邢台,2023,04
2023-04-15,232,重度污染,323,97,332,22,6,0.59,53,邢台,2023,04
2023-04-16,71,良,183,26,91,21,9,0.61,70,邢台,2023,04
2023-04-17,90,良,290,55,130,27,13,0.78,82,邢台,2023,04
2023-04-18,97,良,288,59,143,18,9,0.69,112,邢台,2023,04
2023-04-19,96,良,277,53,142,31,10,0.93,108,邢台,2023,04
2023-04-20,112,轻度污染,259,47,171,9,6,0.53,81,邢台,2023,04
2023-04-21,37,优,72,10,40,5,3,0.25,68,邢台,2023,04
2023-04-22,31,优,83,18,26,8,3,0.67,65,邢台,2023,04
2023-04-23,35,优,159,21,28,9,3,0.49,63,邢台,2023,04
2023-04-24,28,优,105,14,23,9,4,0.58,71,邢台,2023,04
2023-04-25,46,优,187,25,44,18,8,1.02,71,邢台,2023,04
2023-04-26,60,良,269,28,70,16,6,0.55,91,邢台,2023,04
