日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2024-01-01,148,轻度污染,294,111,129,51,3,0.98,19,保定,2024,01
2024-01-02,234,重度污染,337,184,200,62,3,1.68,9,保定,2024,01
2024-01-03,148,轻度污染,309,113,129,59,4,1.32,19,保定,2024,01
2024-01-04,135,轻度污染,328,102,125,75,4,1.16,11,保定,2024,01
2024-01-05,156,中度污染,333,119,139,72,4,1.13,17,保定,2024,01
2024-01-06,51,良,76,30,50,35,2,0.44,32,保定,2024,01
2024-01-07,46,优,83,26,48,43,3,0.46,17,保定,2024,01
2024-01-08,71,良,160,51,78,55,6,0.79,10,保定,2024,01
2024-01-09,73,良,143,52,82,55,6,0.77,14,保定,2024,01
2024-01-10,106,轻度污染,224,79,111,55,7,1.27,15,保定,2024,01
2024-01-11,140,轻度污染,253,106,137,69,6,1.35,14,保定,2024,01
2024-01-12,157,中度污染,253,119,154,76,7,1.37,13,保定,2024,01
2024-01-13,135,轻度污染,228,101,130,68,4,1.14,11,保定,2024,01
2024-01-14,58,良,112,33,59,34,2,0.45,30,保定,2024,01
2024-01-15,59,良,136,37,67,43,5,0.57,25,保定,2024,01
2024-01-16,83,良,228,61,92,49,4,0.76,10,保定,2024,01
2024-01-17,101,轻度污染,255,75,80,28,2,0.6,19,保定,2024,01
2024-01-18,82,良,223,57,75,39,3,0.65,26,保定,2024,01
2024-01-19,53,良,177,31,58,44,5,0.72,21,保定,2024,01
2024-01-20,66,良,237,46,79,44,5,0.91,15,保定,2024,01
2024-01-21,40,优,159,17,43,17,2,0.39,50,保定,2024,01
2024-01-22,33,优,156,11,33,23,2,0.36,43,保定,2024,01
2024-01-23,48,优,231,20,52,39,3,0.53,27,保定,2024,01
2024-01-24,58,良,241,28,67,48,4,0.66,20,保定,2024,01
2024-01-25,71,良,248,46,92,54,7,0.84,18,保定,2024,01
2024-01-26,71,良,183,47,89,54,5,0.83,18,保定,2024,01
2024-01-27,66,良,139,41,79,50,5,0.75,22,保定,2024,01
2024-01-28,82,良,177,59,102,56,6,0.92,18,保定,2024,01
2024-01-29,97,良,184,72,114,55,6,1.07,18,保定,2024,01
2024-01-30,128,轻度污染,230,97,130,41,3,1.1,15,保定,2024,01
2024-01-31,161,中度污染,260,122,156,39,3,1.23,19,保定,2024,01
2024-02-01,58,良,201,35,66,19,4,0.55,48,保定,2024,02
2024-02-02,72,良,235,51,81,26,4,0.67,34,保定,2024,02
2024-02-03,117,轻度污染,285,88,124,37,3,0.82,33,保定,2024,02
2024-02-04,135,轻度污染,301,102,136,41,4,0.98,31,保定,2024,02
2024-02-05,118,轻度污染,280,89,98,14,2,0.8,47,保定,2024,02
2024-02-06,152,中度污染,285,115,129,31,3,1.06,39,保定,2024,02
2024-02-07,112,轻度污染,240,84,101,32,3,0.88,48,保定,2024,02
2024-02-08,157,中度污染,265,119,140,34,4,1.14,56,保定,2024,02
2024-02-09,193,中度污染,276,152,179,29,8,1.15,62,保定,2024,02
2024-02-10,144,轻度污染,145,115,138,15,8,0.6,66,保定,2024,02
2024-02-11,105,轻度污染,193,77,103,17,6,0.72,61,保定,2024,02
2024-02-12,129,轻度污染,289,97,138,30,9,0.95,60,保定,2024,02
2024-02-13,169,中度污染,303,128,178,31,9,1.1,80,保定,2024,02
2024-02-14,153,中度污染,290,116,165,26,8,1.23,65,保定,2024,02
2024-02-15,63,良,266,37,77,10,4,0.53,61,保定,2024,02
2024-02-16,71,良,281,47,87,13,7,0.63,57,保定,2024,02
2024-02-17,90,良,282,66,112,23,6,0.68,47,保定,2024,02
2024-02-18,112,轻度污染,258,84,112,24,7,1.1,31,保定,2024,02
2024-02-19,62,良,181,14,78,6,2,0.27,67,保定,2024,02
2024-02-20,41,优,179,13,43,8,2,0.33,56,保定,2024,02
2024-02-21,36,优,180,21,33,8,3,0.31,58,保定,2024,02
2024-02-22,41,优,218,24,33,13,3,0.44,60,保定,2024,02
2024-02-23,50,优,226,32,50,28,5,0.6,55,保定,2024,02
2024-02-24,63,良,180,45,64,20,6,0.53,72,保定,2024,02
2024-02-25,95,良,208,68,100,30,5,0.56,53,保定,2024,02
2024-02-26,106,轻度污染,277,76,112,37,6,0.8,47,保定,2024,02
2024-02-27,87,良,234,58,107,35,6,0.58,47,保定,2024,02
2024-02-28,99,良,268,72,128,41,6,0.68,36,保定,2024,02
2024-02-29,75,良,239,45,85,28,4,0.55,47,保定,2024,02
2024-03-01,49,优,169,14,53,16,3,0.29,60,保定,2024,03
2024-03-02,90,良,279,38,128,23,5,0.45,52,保定,2024,03
2024-03-03,84,良,278,44,117,32,7,0.63,46,保定,2024,03
2024-03-04,66,良,190,39,82,30,7,0.67,51,保定,2024,03
2024-03-05,78,良,213,57,83,23,4,0.7,55,保定,2024,03
2024-03-06,108,轻度污染,275,81,106,26,4,0.73,53,保定,2024,03
2024-03-07,90,良,239,57,89,26,3,0.56,48,保定,2024,03
2024-03-08,46,优,104,16,50,27,3,0.25,51,保定,2024,03
2024-03-09,79,良,254,53,102,43,11,0.58,45,保定,2024,03
2024-03-10,117,轻度污染,296,88,161,53,9,0.68,39,保定,2024,03
2024-03-11,122,轻度污染,298,86,149,42,7,0.76,52,保定,2024,03
2024-03-12,84,良,244,57,103,25,6,0.45,82,保定,2024,03
2024-03-13,82,良,235,55,109,35,8,0.52,62,保定,2024,03
2024-03-14,113,轻度污染,281,81,147,39,10,0.7,71,保定,2024,03
2024-03-15,105,轻度污染,262,74,135,22,7,0.51,96,保定,2024,03
2024-03-16,89,良,199,56,113,22,5,0.45,85,保定,2024,03
2024-03-17,57,良,110,12,69,11,2,0.28,78,保定,2024,03
2024-03-18,118,轻度污染,291,38,169,26,4,0.36,50,保定,2024,03
2024-03-19,68,良,197,11,87,9,2,0.23,75,保定,2024,03
2024-03-20,72,良,206,17,94,19,3,0.33,63,保定,2024,03
2024-03-21,89,良,262,49,129,42,8,0.49,43,保定,2024,03
2024-03-22,89,良,258,56,129,35,7,0.62,71,保定,2024,03
2024-03-23,92,良,261,57,134,49,6,0.56,63,保定,2024,03
2024-03-24,89,良,302,52,126,32,6,0.65,54,保定,2024,03
2024-03-25,56,良,269,38,58,13,3,0.55,80,保定,2024,03
2024-03-26,79,良,287,58,85,19,6,0.63,69,保定,2024,03
2024-03-27,144,轻度污染,298,110,147,39,5,0.84,22,保定,2024,03
2024-03-28,238,重度污染,291,83,334,22,3,0.38,58,保定,2024,03
2024-03-29,117,轻度污染,281,30,184,16,4,0.29,73,保定,2024,03
2024-03-30,75,良,240,22,100,17,4,0.29,81,保定,2024,03
2024-03-31,89,良,277,52,129,32,8,0.58,79,保定,2024,03
2024-04-01,91,良,266,52,130,32,8,0.82,65,保定,2024,04
2024-04-02,80,良,243,41,110,24,7,0.63,90,保定,2024,04
2024-04-03,75,良,272,44,101,29,6,0.58,77,保定,2024,04
2024-04-04,58,良,227,34,65,17,5,0.46,82,保定,2024,04
2024-04-05,84,良,291,61,104,23,7,0.61,76,保定,2024,04
2024-04-06,101,轻度污染,297,74,132,27,9,0.71,92,保定,2024,04
2024-04-07,97,良,292,64,121,31,6,0.64,75,保定,2024,04
2024-04-08,120,轻度污染,300,65,169,29,6,0.59,69,保定,2024,04
2024-04-09,49,优,159,20,52,15,4,0.39,82,保定,2024,04
2024-04-10,75,良,248,53,96,36,5,0.5,44,保定,2024,04
2024-04-11,105,轻度污染,286,77,135,24,6,0.63,93,保定,2024,04
2024-04-12,70,良,244,40,87,13,6,0.46,85,保定,2024,04
2024-04-13,69,良,250,47,81,12,3,0.36,89,保定,2024,04
2024-04-14,58,良,224,38,65,14,3,0.31,61,保定,2024,04
2024-04-15,131,轻度污染,275,68,203,24,2,0.27,52,保定,2024,04
2024-04-16,95,良,274,41,140,30,3,0.27,68,保定,2024,04
2024-04-17,96,良,285,51,140,36,8,0.42,104,保定,2024,04
2024-04-18,109,轻度污染,303,68,162,27,6,0.56,117,保定,2024,04
2024-04-19,93,良,279,38,135,23,5,0.42,76,保定,2024,04
2024-04-20,66,良,213,25,82,26,4,0.36,77,保定,2024,04
2024-04-21,93,良,270,59,123,31,5,0.56,119,保定,2024,04
2024-04-22,94,良,274,66,130,24,7,0.55,123,保定,2024,04
2024-04-23,71,良,232,31,89,9,2,0.22,86,保定,2024,04
2024-04-24,65,良,198,25,80,25,5,0.35,80,保定,2024,04
2024-04-25,96,良,293,41,143,23,6,0.44,104,保定,2024,04
2024-04-26,95,良,297,48,139,20,5,0.49,106,保定,2024,04
2024-04-27,105,轻度污染,290,72,146,21,4,0.65,91,保定,2024,04
2024-04-28,50,优,195,17,53,14,2,0.35,70,保定,2024,04
2024-04-29,38,优,126,19,38,20,2,0.28,38,保定,2024,04
2024-04-30,48,优,223,17,50,17,2,0.2,57,保定,2024,04
2024-05-01,59,良,292,22,68,23,3,0.3,73,保定,2024,05
2024-05-02,67,良,296,34,79,18,6,0.35,115,保定,2024,05
2024-05-03,69,良,286,37,83,20,5,0.34,117,保定,2024,05
2024-05-04,74,良,289,47,96,37,5,0.41,88,保定,2024,05
2024-05-05,56,良,237,38,59,12,3,0.36,82,保定,2024,05
2024-05-06,67,良,262,39,74,15,2,0.34,90,保定,2024,05
2024-05-07,74,良,269,39,96,27,3,0.31,103,保定,2024,05
2024-05-08,83,良,294,42,108,31,6,0.42,110,保定,2024,05
2024-05-09,79,良,289,34,101,17,7,0.38,122,保定,2024,05
2024-05-10,85,良,278,34,105,12,6,0.4,118,保定,2024,05
2024-05-11,140,轻度污染,270,38,191,9,2,0.13,91,保定,2024,05
2024-05-12,54,良,180,20,63,22,2,0.18,81,保定,2024,05
2024-05-13,76,良,225,31,96,22,5,0.38,111,保定,2024,05
2024-05-14,98,良,288,37,145,11,4,0.3,108,保定,2024,05
2024-05-15,48,优,114,12,51,6,2,0.15,96,保定,2024,05
2024-05-16,61,良,200,25,67,18,6,0.39,101,保定,2024,05
2024-05-17,90,良,288,37,98,24,5,0.34,138,保定,2024,05
2024-05-18,93,良,284,48,104,19,6,0.53,164,保定,2024,05
2024-05-19,65,良,239,44,76,9,4,0.56,111,保定,2024,05
2024-05-20,42,优,189,23,42,9,2,0.42,89,保定,2024,05
2024-05-21,50,优,217,28,52,15,3,0.24,100,保定,2024,05
2024-05-22,76,良,282,44,86,19,4,0.45,123,保定,2024,05
2024-05-23,81,良,283,38,96,11,5,0.42,129,保定,2024,05
2024-05-24,41,优,145,19,42,14,2,0.43,55,保定,2024,05
2024-05-25,27,优,46,16,25,11,2,0.39,52,保定,2024,05
2024-05-26,40,优,195,18,35,12,2,0.31,71,保定,2024,05
2024-05-27,47,优,241,16,46,21,2,0.21,77,保定,2024,05
2024-05-28,74,良,288,30,72,28,5,0.35,114,保定,2024,05
2024-05-29,69,良,281,26,85,13,5,0.31,138,保定,2024,05
2024-05-30,66,良,279,23,74,17,3,0.27,114,保定,2024,05
2024-05-31,42,优,182,13,39,14,2,0.16,88,保定,2024,05
2024-06-01,57,良,258,15,49,13,3,0.25,121,保定,2024,06
2024-06-02,63,良,265,24,62,17,5,0.43,116,保定,2024,06
2024-06-03,58,良,240,17,45,16,2,0.27,113,保定,2024,06
2024-06-04,74,良,287,33,79,27,5,0.41,116,保定,2024,06
