日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2024-01-01,91,良,173,67,109,46,5,0.75,30,天津,2024,01
2024-01-02,196,中度污染,325,151,204,75,6,1.27,12,天津,2024,01
2024-01-03,55,良,140,38,57,44,4,0.57,34,天津,2024,01
2024-01-04,157,中度污染,333,120,163,76,7,1.18,16,天津,2024,01
2024-01-05,47,优,74,28,57,52,5,0.58,30,天津,2024,01
2024-01-06,36,优,36,20,40,36,4,0.41,33,天津,2024,01
2024-01-07,25,优,15,11,25,30,4,0.43,33,天津,2024,01
2024-01-08,74,良,169,50,86,58,9,0.9,15,天津,2024,01
2024-01-09,72,良,139,48,80,55,9,0.91,16,天津,2024,01
2024-01-10,73,良,159,51,84,52,7,0.8,24,天津,2024,01
2024-01-11,133,轻度污染,242,100,152,67,7,1.09,14,天津,2024,01
2024-01-12,153,中度污染,250,116,172,78,9,1.5,12,天津,2024,01
2024-01-13,66,良,109,42,71,50,7,0.89,22,天津,2024,01
2024-01-14,35,优,36,13,34,27,4,0.38,49,天津,2024,01
2024-01-15,59,良,137,33,67,55,6,0.62,24,天津,2024,01
2024-01-16,71,良,192,51,85,55,6,0.73,17,天津,2024,01
2024-01-17,88,良,221,65,82,44,4,0.69,16,天津,2024,01
2024-01-18,62,良,170,41,61,50,7,0.86,21,天津,2024,01
2024-01-19,47,优,146,21,49,43,8,0.74,27,天津,2024,01
2024-01-20,44,优,141,19,47,33,8,0.78,35,天津,2024,01
2024-01-21,32,优,98,11,33,14,3,0.43,56,天津,2024,01
2024-01-22,22,优,48,6,18,12,3,0.38,58,天津,2024,01
2024-01-23,27,优,52,8,25,18,3,0.38,54,天津,2024,01
2024-01-24,31,优,37,12,32,25,3,0.39,51,天津,2024,01
2024-01-25,48,优,95,26,54,47,5,0.48,32,天津,2024,01
2024-01-26,39,优,36,15,43,30,4,0.38,48,天津,2024,01
2024-01-27,59,良,106,35,71,47,7,0.65,32,天津,2024,01
2024-01-28,76,良,148,55,97,61,7,0.7,23,天津,2024,01
2024-01-29,107,轻度污染,215,80,127,60,8,1.14,22,天津,2024,01
2024-01-30,125,轻度污染,225,94,151,49,7,1.38,17,天津,2024,01
2024-01-31,124,轻度污染,239,92,137,41,6,1.16,28,天津,2024,01
2024-02-01,42,优,138,19,43,30,8,0.7,40,天津,2024,02
2024-02-02,66,良,223,44,76,43,7,0.75,26,天津,2024,02
2024-02-03,97,良,262,72,110,54,11,1.23,24,天津,2024,02
2024-02-04,69,良,209,49,77,45,11,1.17,33,天津,2024,02
2024-02-05,114,轻度污染,277,86,120,39,8,1.09,40,天津,2024,02
2024-02-06,108,轻度污染,237,81,102,36,4,0.86,43,天津,2024,02
2024-02-07,43,优,90,29,45,22,4,0.58,67,天津,2024,02
2024-02-08,69,良,126,51,70,29,5,0.95,59,天津,2024,02
2024-02-09,217,重度污染,294,172,215,36,14,1.35,64,天津,2024,02
2024-02-10,74,良,49,53,75,12,10,0.56,79,天津,2024,02
2024-02-11,123,轻度污染,239,93,125,23,11,0.7,69,天津,2024,02
2024-02-12,183,中度污染,304,141,207,38,12,1.02,62,天津,2024,02
2024-02-13,200,中度污染,306,154,223,50,10,1.28,52,天津,2024,02
2024-02-14,137,轻度污染,287,100,149,36,10,1.09,49,天津,2024,02
2024-02-15,43,优,132,17,43,17,4,0.36,62,天津,2024,02
2024-02-16,67,良,266,42,84,18,7,0.56,64,天津,2024,02
2024-02-17,73,良,261,52,85,30,8,0.73,60,天津,2024,02
2024-02-18,89,良,241,66,90,38,6,1.2,21,天津,2024,02
2024-02-19,27,优,23,7,26,8,3,0.29,70,天津,2024,02
2024-02-20,42,优,182,12,42,13,6,0.51,58,天津,2024,02
2024-02-21,36,优,183,10,36,13,4,0.45,60,天津,2024,02
2024-02-22,32,优,137,14,31,23,5,0.5,51,天津,2024,02
2024-02-23,44,优,187,20,44,33,8,0.76,44,天津,2024,02
2024-02-24,78,良,224,56,86,36,10,0.7,54,天津,2024,02
2024-02-25,101,轻度污染,225,73,110,33,8,0.8,52,天津,2024,02
2024-02-26,81,良,201,50,84,37,8,0.76,49,天津,2024,02
2024-02-27,64,良,149,29,78,39,8,0.5,51,天津,2024,02
2024-02-28,91,良,249,65,120,51,10,1.0,34,天津,2024,02
2024-02-29,47,优,119,27,51,20,4,0.44,60,天津,2024,02
2024-03-01,35,优,83,10,34,18,3,0.32,65,天津,2024,03
2024-03-02,94,良,287,55,128,32,5,0.63,47,天津,2024,03
2024-03-03,68,良,215,37,87,36,8,0.96,49,天津,2024,03
2024-03-04,64,良,183,40,78,38,8,0.84,49,天津,2024,03
2024-03-05,70,良,197,48,88,30,8,0.7,65,天津,2024,03
2024-03-06,91,良,252,67,103,44,6,0.75,41,天津,2024,03
2024-03-07,84,良,218,59,94,40,5,0.63,50,天津,2024,03
2024-03-08,28,优,13,8,23,24,4,0.3,63,天津,2024,03
2024-03-09,64,良,160,37,78,48,7,0.56,47,天津,2024,03
2024-03-10,108,轻度污染,281,81,134,45,9,0.73,63,天津,2024,03
2024-03-11,149,轻度污染,306,113,187,62,11,1.07,52,天津,2024,03
2024-03-12,107,轻度污染,295,79,128,34,7,0.69,82,天津,2024,03
2024-03-13,89,良,256,66,115,50,8,0.59,74,天津,2024,03
2024-03-14,121,轻度污染,289,91,159,50,9,0.72,75,天津,2024,03
2024-03-15,94,良,247,70,119,29,8,0.56,100,天津,2024,03
2024-03-16,133,轻度污染,257,84,157,41,7,0.65,67,天津,2024,03
2024-03-17,59,良,123,12,72,18,4,0.3,81,天津,2024,03
2024-03-18,92,良,266,50,129,42,10,0.56,56,天津,2024,03
2024-03-19,112,轻度污染,291,17,148,12,3,0.23,78,天津,2024,03
2024-03-20,59,良,121,18,68,28,4,0.34,65,天津,2024,03
2024-03-21,78,良,214,46,106,46,10,0.64,60,天津,2024,03
2024-03-22,69,良,198,41,88,34,6,0.73,71,天津,2024,03
2024-03-23,98,良,275,71,135,67,12,1.1,52,天津,2024,03
2024-03-24,67,良,271,36,81,36,8,0.83,48,天津,2024,03
2024-03-25,72,良,300,50,75,41,5,0.83,30,天津,2024,03
2024-03-26,80,良,289,59,78,34,5,0.8,57,天津,2024,03
2024-03-27,96,良,280,71,104,40,7,0.73,53,天津,2024,03
2024-03-28,215,重度污染,279,63,354,24,4,0.38,70,天津,2024,03
2024-03-29,127,轻度污染,285,39,203,27,5,0.33,71,天津,2024,03
2024-03-30,79,良,248,27,109,34,5,0.4,64,天津,2024,03
2024-03-31,84,良,253,43,118,43,11,0.88,61,天津,2024,03
2024-04-01,72,良,217,36,95,31,9,0.78,81,天津,2024,04
2024-04-02,66,良,206,37,81,28,9,0.65,81,天津,2024,04
2024-04-03,59,良,211,30,68,36,9,0.68,57,天津,2024,04
2024-04-04,50,优,164,21,56,32,7,0.45,57,天津,2024,04
2024-04-05,69,良,262,44,86,34,9,0.5,83,天津,2024,04
2024-04-06,86,良,283,63,110,28,9,0.57,105,天津,2024,04
2024-04-07,85,良,279,56,104,38,8,0.62,77,天津,2024,04
2024-04-08,86,良,284,34,120,38,8,0.6,67,天津,2024,04
2024-04-09,55,良,188,19,61,29,9,0.65,65,天津,2024,04
2024-04-10,76,良,249,55,88,53,8,0.65,55,天津,2024,04
2024-04-11,145,轻度污染,304,110,169,57,9,0.89,88,天津,2024,04
2024-04-12,74,良,258,49,84,27,8,0.66,101,天津,2024,04
2024-04-13,78,良,277,54,92,29,8,0.71,111,天津,2024,04
2024-04-14,53,良,193,31,58,30,7,0.69,50,天津,2024,04
2024-04-15,108,轻度污染,258,48,158,22,4,0.49,63,天津,2024,04
2024-04-16,60,良,173,16,71,28,4,0.28,77,天津,2024,04
2024-04-17,82,良,254,40,112,46,9,0.55,95,天津,2024,04
2024-04-18,99,良,294,57,148,35,10,0.75,122,天津,2024,04
2024-04-19,70,良,228,15,90,28,8,0.46,74,天津,2024,04
2024-04-20,66,良,212,37,81,28,9,0.65,92,天津,2024,04
2024-04-21,75,良,231,47,99,36,9,0.78,87,天津,2024,04
2024-04-22,82,良,249,58,102,33,9,0.74,113,天津,2024,04
2024-04-23,34,优,83,16,26,17,4,0.48,71,天津,2024,04
2024-04-24,50,优,145,26,58,41,7,0.6,65,天津,2024,04
2024-04-25,92,良,284,43,134,30,7,0.58,112,天津,2024,04
2024-04-26,94,良,295,50,130,36,8,0.7,127,天津,2024,04
2024-04-27,80,良,278,51,102,32,9,0.85,83,天津,2024,04
2024-04-28,41,优,142,10,41,18,7,0.44,81,天津,2024,04
2024-04-29,43,优,168,22,44,29,6,0.62,40,天津,2024,04
2024-04-30,43,优,189,23,38,33,5,0.4,52,天津,2024,04
