日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2026-01-01,37,优,114,18,37,23,8,0.55,38,秦皇岛,2026,01
2026-01-02,48,优,169,25,48,37,10,0.74,26,秦皇岛,2026,01
2026-01-03,59,良,158,39,68,46,12,1.03,23,秦皇岛,2026,01
2026-01-04,64,良,176,45,78,49,10,1.03,19,秦皇岛,2026,01
2026-01-05,71,良,232,52,89,54,12,1.38,20,秦皇岛,2026,01
2026-01-06,56,良,194,29,61,40,14,0.84,35,秦皇岛,2026,01
2026-01-07,34,优,29,14,29,22,6,0.36,52,秦皇岛,2026,01
2026-01-08,56,良,168,27,61,35,10,0.55,34,秦皇岛,2026,01
2026-01-09,89,良,280,66,122,54,17,1.11,23,秦皇岛,2026,01
2026-01-10,47,优,74,17,47,18,7,0.3,54,秦皇岛,2026,01
2026-01-11,30,优,14,12,24,12,7,0.3,52,秦皇岛,2026,01
2026-01-12,63,良,137,32,76,41,17,0.89,27,秦皇岛,2026,01
2026-01-13,30,优,17,14,30,18,8,0.33,55,秦皇岛,2026,01
2026-01-14,58,良,87,37,67,44,10,0.82,25,秦皇岛,2026,01
2026-01-15,84,良,178,62,105,36,17,1.1,27,秦皇岛,2026,01
