日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2026-01-01,58,良,249,41,55,33,7,0.58,35,邯郸,2026,01
2026-01-02,106,轻度污染,310,80,97,39,8,0.9,35,邯郸,2026,01
2026-01-03,189,中度污染,338,142,142,40,8,1.24,33,邯郸,2026,01
2026-01-04,243,重度污染,338,193,190,52,7,1.37,19,邯郸,2026,01
2026-01-05,233,重度污染,335,183,188,52,9,1.49,38,邯郸,2026,01
2026-01-06,74,良,257,54,65,30,8,0.79,46,邯郸,2026,01
2026-01-07,52,良,198,32,53,38,6,0.63,40,邯郸,2026,01
2026-01-08,66,良,245,48,71,37,7,0.72,39,邯郸,2026,01
2026-01-09,78,良,238,35,105,22,7,0.6,56,邯郸,2026,01
2026-01-10,64,良,166,20,77,10,2,0.3,71,邯郸,2026,01
2026-01-11,49,优,108,18,49,19,5,0.38,49,邯郸,2026,01
2026-01-12,72,良,203,53,87,41,10,0.98,31,邯郸,2026,01
2026-01-13,119,轻度污染,303,90,127,60,16,1.22,22,邯郸,2026,01
2026-01-14,120,轻度污染,271,91,120,58,15,1.29,17,邯郸,2026,01
2026-01-15,128,轻度污染,297,97,150,47,10,1.19,35,邯郸,2026,01
