城市,日期,小时,AQI,空气质量等级,PM2.5,PM10,SO₂,NO₂,CO,O₃,首要污染物,健康建议,措施建议,采集时间
北京市,2025-12-02,20,19.0,优,7.0,19.0,3.0,11.0,0.3,54.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,11,25.0,优,8.0,25.0,3.0,12.0,0.4,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,02,24.0,优,9.0,24.0,3.0,23.0,0.5,37.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,15,32.0,优,14.0,32.0,3.0,13.0,0.3,56.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-02,22,17.0,优,6.0,17.0,2.0,12.0,0.3,53.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,05,17.0,优,3.0,12.0,3.0,10.0,0.3,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,08,18.0,优,5.0,18.0,2.0,16.0,0.4,44.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,12,27.0,优,10.0,27.0,3.0,11.0,0.4,54.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-02,21,18.0,优,6.0,17.0,3.0,11.0,0.3,55.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-02,23,18.0,优,6.0,18.0,3.0,15.0,0.3,48.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,16,33.0,优,15.0,33.0,3.0,17.0,0.4,53.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,03,18.0,优,6.0,18.0,3.0,16.0,0.4,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,06,17.0,优,4.0,13.0,3.0,10.0,0.4,52.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,09,21.0,优,7.0,21.0,3.0,17.0,0.4,45.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,13,29.0,优,11.0,29.0,3.0,11.0,0.4,56.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,07,16.0,优,4.0,13.0,3.0,10.0,0.4,51.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,00,24.0,优,9.0,24.0,3.0,21.0,0.4,39.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
北京市,2025-12-03,10,21.0,优,7.0,21.0,3.0,13.0,0.4,50.0,,空气质量令人满意，基本无空气污染,各类人群可正常活动,2025-12-03 18:45:49
