城市,日期,小时,AQI,空气质量等级,PM2.5
保定,2015-01-01,,190,中度污染,143
保定,2015-01-02,,226,重度污染,180
保定,2015-01-03,,365,严重污染,305
保定,2015-01-04,,448,严重污染,441
保定,2015-01-05,,326,严重污染,265
保定,2015-01-06,,98,良,64
保定,2015-01-07,,226,重度污染,178
保定,2015-01-08,,380,严重污染,325
保定,2015-01-09,,433,严重污染,417
保定,2015-01-10,,258,重度污染,200
保定,2015-01-11,,180,中度污染,141
保定,2015-01-12,,137,轻度污染,103
保定,2015-01-13,,284,重度污染,234
保定,2015-01-14,,284,重度污染,233
保定,2015-01-15,,365,严重污染,299
保定,2015-01-16,,248,重度污染,154
保定,2015-01-17,,178,中度污染,134
保定,2015-01-18,,223,重度污染,154
保定,2015-01-19,,161,中度污染,121
保定,2015-01-20,,185,中度污染,143
保定,2015-01-21,,148,轻度污染,110
保定,2015-01-22,,217,重度污染,168
保定,2015-01-23,,327,严重污染,280
保定,2015-01-24,,242,重度污染,218
保定,2015-01-25,,163,中度污染,126
保定,2015-01-26,,312,严重污染,241
保定,2015-01-27,,90,良,63
保定,2015-01-28,,219,重度污染,174
保定,2015-01-29,,178,中度污染,140
保定,2015-01-30,,188,中度污染,145
保定,2015-01-31,,233,重度污染,189
保定,2015-02-01,,305,严重污染,256
保定,2015-02-02,,333,严重污染,283
保定,2015-02-03,,312,严重污染,261
保定,2015-02-04,,68,良,33
保定,2015-02-05,,111,轻度污染,79
保定,2015-02-06,,221,重度污染,174
保定,2015-02-07,,118,轻度污染,81
保定,2015-02-08,,87,良,60
保定,2015-02-09,,211,重度污染,164
保定,2015-02-10,,290,重度污染,229
保定,2015-02-11,,221,重度污染,177
保定,2015-02-12,,187,中度污染,144
保定,2015-02-13,,246,重度污染,193
保定,2015-02-14,,293,重度污染,240
保定,2015-02-15,,264,重度污染,206
保定,2015-02-16,,225,重度污染,149
保定,2015-02-17,,147,轻度污染,102
保定,2015-02-18,,222,重度污染,178
保定,2015-02-19,,208,重度污染,161
保定,2015-02-20,,288,重度污染,237
保定,2015-02-21,,296,重度污染,230
保定,2015-02-22,,118,轻度污染,35
保定,2015-02-23,,153,中度污染,100
保定,2015-02-24,,337,严重污染,265
保定,2015-02-25,,180,中度污染,136
保定,2015-02-26,,98,良,68
保定,2015-02-27,,95,良,68
保定,2015-02-28,,197,中度污染,153
保定,2015-03-01,,104,轻度污染,68
保定,2015-03-02,,150,轻度污染,102
保定,2015-03-03,,71,良,33
保定,2015-03-04,,109,轻度污染,74
保定,2015-03-05,,140,轻度污染,106
保定,2015-03-06,,215,重度污染,167
保定,2015-03-07,,254,重度污染,203
保定,2015-03-08,,299,重度污染,244
保定,2015-03-09,,81,良,47
保定,2015-03-10,,101,轻度污染,67
保定,2015-03-11,,145,轻度污染,99
保定,2015-03-12,,148,轻度污染,108
保定,2015-03-13,,164,中度污染,123
保定,2015-03-14,,161,中度污染,119
保定,2015-03-15,,197,中度污染,132
保定,2015-03-16,,316,严重污染,253
保定,2015-03-17,,257,重度污染,194
保定,2015-03-18,,100,良,64
保定,2015-03-19,,179,中度污染,121
保定,2015-03-20,,178,中度污染,92
保定,2015-03-21,,111,轻度污染,39
保定,2015-03-22,,168,中度污染,46
保定,2015-03-23,,107,轻度污染,51
保定,2015-03-24,,140,轻度污染,93
保定,2015-03-25,,174,中度污染,128
保定,2015-03-26,,144,轻度污染,106
保定,2015-03-27,,132,轻度污染,99
保定,2015-03-28,,176,中度污染,79
保定,2015-03-29,,222,重度污染,75
保定,2015-03-30,,198,中度污染,137
保定,2015-03-31,,176,中度污染,136
保定,2015-04-01,,96,良,71
保定,2015-04-02,,78,良,57
保定,2015-04-03,,126,轻度污染,93
保定,2015-04-04,,88,良,63
保定,2015-04-05,,111,轻度污染,69
保定,2015-04-06,,52,良,25
保定,2015-04-07,,77,良,53
保定,2015-04-08,,145,轻度污染,109
保定,2015-04-09,,213,重度污染,165
保定,2015-04-10,,159,中度污染,119
保定,2015-04-11,,174,中度污染,132
保定,2015-04-12,,54,良,18
保定,2015-04-13,,52,良,28
保定,2015-04-14,,107,轻度污染,77
保定,2015-04-15,,194,中度污染,114
保定,2015-04-16,,96,良,29
保定,2015-04-17,,114,轻度污染,70
保定,2015-04-18,,154,中度污染,111
保定,2015-04-19,,99,良,70
保定,2015-04-20,,132,轻度污染,98
保定,2015-04-21,,116,轻度污染,69
保定,2015-04-22,,82,良,42
保定,2015-04-23,,107,轻度污染,75
保定,2015-04-24,,102,轻度污染,50
保定,2015-04-25,,126,轻度污染,91
保定,2015-04-26,,146,轻度污染,106
保定,2015-04-27,,128,轻度污染,94
保定,2015-04-28,,106,轻度污染,78
保定,2015-04-29,,164,中度污染,124
保定,2015-04-30,,159,中度污染,114
保定,2015-05-01,,136,轻度污染,96
保定,2015-05-02,,60,良,37
保定,2015-05-03,,127,轻度污染,84
保定,2015-05-04,,76,良,40
保定,2015-05-05,,115,轻度污染,84
保定,2015-05-06,,81,良,30
保定,2015-05-07,,79,良,48
保定,2015-05-08,,148,轻度污染,112
保定,2015-05-09,,64,良,43
保定,2015-05-10,,51,良,34
保定,2015-05-11,,61,良,33
保定,2015-05-12,,56,良,22
保定,2015-05-13,,89,良,58
保定,2015-05-14,,65,良,22
保定,2015-05-15,,72,良,39
保定,2015-05-16,,118,轻度污染,80
保定,2015-05-17,,124,轻度污染,91
保定,2015-05-18,,75,良,38
保定,2015-05-19,,66,良,25
保定,2015-05-20,,53,良,18
保定,2015-05-21,,90,良,57
保定,2015-05-22,,104,轻度污染,61
保定,2015-05-23,,143,轻度污染,97
保定,2015-05-24,,172,中度污染,115
保定,2015-05-25,,159,中度污染,105
保定,2015-05-26,,138,轻度污染,91
保定,2015-05-27,,154,中度污染,109
保定,2015-05-28,,140,轻度污染,106
保定,2015-05-29,,117,轻度污染,85
保定,2015-05-30,,103,轻度污染,75
保定,2015-05-31,,92,良,56
保定,2015-06-01,,141,轻度污染,100
保定,2015-06-02,,77,良,42
保定,2015-06-03,,92,良,59
保定,2015-06-04,,82,良,54
保定,2015-06-05,,89,良,51
保定,2015-06-06,,88,良,40
保定,2015-06-07,,57,良,29
保定,2015-06-08,,74,良,43
保定,2015-06-09,,105,轻度污染,62
保定,2015-06-10,,120,轻度污染,81
保定,2015-06-11,,65,良,28
保定,2015-06-12,,51,良,14
保定,2015-06-13,,55,良,16
保定,2015-06-14,,100,良,45
保定,2015-06-15,,120,轻度污染,84
保定,2015-06-16,,168,中度污染,109
保定,2015-06-17,,129,轻度污染,78
保定,2015-06-18,,101,轻度污染,49
保定,2015-06-19,,67,良,31
保定,2015-06-20,,72,良,37
保定,2015-06-21,,115,轻度污染,56
