日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2015-01-01,190,中度污染,346,143,244,55,129,4.12,35,保定,2015,01
2015-01-02,226,重度污染,664,180,287,60,152,4.61,35,保定,2015,01
2015-01-03,365,严重污染,361,305,462,92,200,7.18,27,保定,2015,01
2015-01-04,448,严重污染,360,441,665,146,235,7.86,15,保定,2015,01
2015-01-05,326,严重污染,344,265,450,113,149,5.51,18,保定,2015,01
2015-01-06,98,良,265,64,128,42,82,1.67,33,保定,2015,01
2015-01-07,226,重度污染,367,178,282,80,151,3.86,18,保定,2015,01
2015-01-08,380,严重污染,367,325,482,112,221,6.94,15,保定,2015,01
2015-01-09,433,严重污染,367,417,608,123,243,7.41,19,保定,2015,01
2015-01-10,258,重度污染,349,200,339,75,150,4.15,17,保定,2015,01
2015-01-11,180,中度污染,311,141,230,62,130,3.09,19,保定,2015,01
2015-01-12,137,轻度污染,293,103,157,48,110,2.24,22,保定,2015,01
2015-01-13,284,重度污染,366,234,340,79,163,4.74,13,保定,2015,01
2015-01-14,284,重度污染,361,233,351,91,128,4.55,9,保定,2015,01
2015-01-15,365,严重污染,364,299,462,82,97,4.86,10,保定,2015,01
2015-01-16,248,重度污染,348,154,312,65,74,2.73,24,保定,2015,01
2015-01-17,178,中度污染,337,134,222,69,135,3.03,19,保定,2015,01
2015-01-18,223,重度污染,364,154,294,48,107,3.15,33,保定,2015,01
2015-01-19,161,中度污染,340,121,221,61,149,3.5,28,保定,2015,01
2015-01-20,185,中度污染,343,143,247,70,124,4.05,11,保定,2015,01
2015-01-21,148,轻度污染,288,110,182,53,109,3.27,26,保定,2015,01
2015-01-22,217,重度污染,355,168,276,66,136,3.49,17,保定,2015,01
2015-01-23,327,严重污染,364,280,413,96,163,5.41,17,保定,2015,01
2015-01-24,242,重度污染,341,218,342,78,129,4.47,13,保定,2015,01
2015-01-25,163,中度污染,236,126,181,47,75,2.6,13,保定,2015,01
2015-01-26,312,严重污染,358,241,389,55,95,3.76,15,保定,2015,01
2015-01-27,90,良,221,63,98,43,96,2.01,30,保定,2015,01
2015-01-28,219,重度污染,364,174,243,63,121,3.99,19,保定,2015,01
2015-01-29,178,中度污染,358,140,201,50,118,2.73,22,保定,2015,01
2015-01-30,188,中度污染,355,145,216,55,117,3.3,24,保定,2015,01
2015-01-31,233,重度污染,361,189,269,65,143,4.61,23,保定,2015,01
2015-02-01,305,严重污染,362,256,370,74,175,5.99,24,保定,2015,02
2015-02-02,333,严重污染,364,283,403,86,183,5.78,18,保定,2015,02
2015-02-03,312,严重污染,361,261,369,72,139,4.81,21,保定,2015,02
2015-02-04,68,良,112,33,85,32,72,1.22,48,保定,2015,02
2015-02-05,111,轻度污染,261,79,137,47,115,2.16,34,保定,2015,02
2015-02-06,221,重度污染,361,174,277,77,212,3.79,21,保定,2015,02
2015-02-07,118,轻度污染,244,81,140,41,92,2.16,41,保定,2015,02
2015-02-08,87,良,236,60,101,39,86,1.49,43,保定,2015,02
2015-02-09,211,重度污染,360,164,261,69,178,3.28,27,保定,2015,02
2015-02-10,290,重度污染,362,229,369,88,197,5.13,26,保定,2015,02
2015-02-11,221,重度污染,354,177,276,78,129,4.07,32,保定,2015,02
2015-02-12,187,中度污染,322,144,226,70,123,3.26,33,保定,2015,02
2015-02-13,246,重度污染,362,193,309,74,143,3.75,32,保定,2015,02
2015-02-14,293,重度污染,362,240,373,78,172,4.13,50,保定,2015,02
2015-02-15,264,重度污染,350,206,364,70,125,3.97,32,保定,2015,02
2015-02-16,225,重度污染,353,149,306,54,108,3.41,36,保定,2015,02
2015-02-17,147,轻度污染,293,102,195,48,88,2.41,40,保定,2015,02
2015-02-18,222,重度污染,364,178,275,45,102,2.99,50,保定,2015,02
2015-02-19,208,重度污染,331,161,230,38,116,2.04,42,保定,2015,02
2015-02-20,288,重度污染,362,237,307,41,58,3.3,18,保定,2015,02
2015-02-21,296,重度污染,364,230,374,33,65,2.93,32,保定,2015,02
2015-02-22,118,轻度污染,238,35,183,20,43,1.15,59,保定,2015,02
2015-02-23,153,中度污染,345,100,226,43,104,2.26,51,保定,2015,02
2015-02-24,337,严重污染,364,265,442,58,111,4.13,29,保定,2015,02
