日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2016-01-01,192,中度污染,316,153,208,66,68,2.39,19,沧州,2016,01
2016-01-02,344,严重污染,356,295,379,103,81,4.11,8,沧州,2016,01
2016-01-03,184,中度污染,270,146,204,61,40,2.41,21,沧州,2016,01
2016-01-04,115,轻度污染,195,86,129,76,62,2.09,17,沧州,2016,01
2016-01-05,70,良,181,46,74,56,57,1.6,30,沧州,2016,01
2016-01-06,116,轻度污染,285,83,123,74,73,2.77,20,沧州,2016,01
2016-01-07,56,良,130,30,61,45,40,1.02,33,沧州,2016,01
2016-01-08,100,良,249,70,109,62,79,2.02,24,沧州,2016,01
2016-01-09,226,重度污染,332,179,233,94,96,2.63,20,沧州,2016,01
2016-01-10,206,重度污染,311,170,225,74,78,3.18,22,沧州,2016,01
2016-01-11,54,良,144,31,58,47,46,1.22,29,沧州,2016,01
2016-01-12,81,良,251,54,86,53,53,1.59,28,沧州,2016,01
2016-01-13,165,中度污染,352,125,182,84,92,2.7,15,沧州,2016,01
2016-01-14,221,重度污染,352,174,247,102,116,3.92,11,沧州,2016,01
2016-01-15,226,重度污染,347,177,254,106,136,3.56,9,沧州,2016,01
2016-01-16,140,轻度污染,267,107,143,75,53,2.55,14,沧州,2016,01
2016-01-17,100,良,222,74,97,54,53,1.8,25,沧州,2016,01
2016-01-18,90,良,218,59,94,53,47,1.64,27,沧州,2016,01
2016-01-19,75,良,158,49,87,67,65,1.5,22,沧州,2016,01
2016-01-20,84,良,205,60,93,69,82,1.57,18,沧州,2016,01
2016-01-21,91,良,272,67,94,54,63,1.52,11,沧州,2016,01
2016-01-22,55,良,162,31,57,25,24,0.95,39,沧州,2016,01
2016-01-23,44,优,101,23,44,19,21,0.92,36,沧州,2016,01
2016-01-24,45,优,80,22,49,24,19,1.1,27,沧州,2016,01
2016-01-25,68,良,218,48,78,42,31,2.1,14,沧州,2016,01
2016-01-26,58,良,99,39,62,38,29,2.16,21,沧州,2016,01
2016-01-27,56,良,94,34,62,39,33,1.83,21,沧州,2016,01
2016-01-28,90,良,206,66,104,44,31,2.23,11,沧州,2016,01
2016-01-29,48,优,114,29,46,19,15,0.76,39,沧州,2016,01
2016-01-30,56,良,124,36,58,27,21,1.32,21,沧州,2016,01
2016-01-31,66,良,186,42,67,30,27,1.49,34,沧州,2016,01
2016-02-01,169,中度污染,351,128,175,71,81,2.6,30,沧州,2016,02
2016-02-02,127,轻度污染,283,94,133,75,83,2.92,30,沧州,2016,02
2016-02-03,197,中度污染,354,154,213,97,132,5.03,25,沧州,2016,02
2016-02-04,113,轻度污染,254,82,115,62,75,2.85,33,沧州,2016,02
2016-02-05,49,优,88,26,50,30,35,1.19,56,沧州,2016,02
2016-02-06,59,良,129,36,64,33,42,1.35,55,沧州,2016,02
2016-02-07,139,轻度污染,334,105,162,40,79,2.06,56,沧州,2016,02
2016-02-08,128,轻度污染,138,94,154,30,63,1.74,62,沧州,2016,02
2016-02-09,99,良,238,68,97,38,73,2.38,52,沧州,2016,02
2016-02-10,98,良,252,71,119,44,73,1.97,44,沧州,2016,02
2016-02-11,79,良,214,57,95,42,32,1.47,15,沧州,2016,02
