日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2016-01-01,208,重度污染,332,161,212,59,53,1.9,29,衡水,2016,01
2016-01-02,387,严重污染,360,360,448,102,76,3.65,11,衡水,2016,01
2016-01-03,406,严重污染,355,391,515,86,63,4.51,12,衡水,2016,01
2016-01-04,184,中度污染,271,141,181,55,51,2.16,25,衡水,2016,01
2016-01-05,80,良,212,57,82,45,52,1.58,35,衡水,2016,01
2016-01-06,154,中度污染,316,117,154,62,75,2.19,28,衡水,2016,01
2016-01-07,99,良,250,71,105,48,44,1.64,33,衡水,2016,01
2016-01-08,219,重度污染,343,173,224,77,92,2.7,22,衡水,2016,01
2016-01-09,295,重度污染,355,244,296,81,76,2.82,35,衡水,2016,01
2016-01-10,321,严重污染,352,286,348,77,63,3.15,23,衡水,2016,01
2016-01-11,74,良,222,50,82,46,35,1.42,36,衡水,2016,01
2016-01-12,125,轻度污染,329,94,140,60,65,2.09,27,衡水,2016,01
2016-01-13,170,中度污染,354,132,188,70,103,2.77,25,衡水,2016,01
2016-01-14,166,中度污染,322,123,191,72,103,2.57,27,衡水,2016,01
2016-01-15,210,重度污染,340,164,234,89,105,2.99,27,衡水,2016,01
2016-01-16,253,重度污染,349,207,273,79,72,3.06,16,衡水,2016,01
2016-01-17,124,轻度污染,265,93,126,44,29,1.65,37,衡水,2016,01
2016-01-18,159,中度污染,318,120,158,55,35,2.12,33,衡水,2016,01
2016-01-19,113,轻度污染,231,84,129,58,52,1.88,34,衡水,2016,01
2016-01-20,120,轻度污染,314,90,134,68,84,2.22,31,衡水,2016,01
2016-01-21,172,中度污染,346,131,185,72,87,2.32,14,衡水,2016,01
2016-01-22,101,轻度污染,301,58,121,39,31,1.46,39,衡水,2016,01
2016-01-23,70,良,256,37,88,26,18,1.23,53,衡水,2016,01
2016-01-24,65,良,244,37,75,24,29,1.22,56,衡水,2016,01
2016-01-25,119,轻度污染,351,88,133,53,81,2.17,33,衡水,2016,01
2016-01-26,112,轻度污染,317,82,124,59,66,1.96,33,衡水,2016,01
2016-01-27,137,轻度污染,317,103,154,71,77,2.27,37,衡水,2016,01
2016-01-28,218,重度污染,353,168,222,98,103,3.08,15,衡水,2016,01
2016-01-29,94,良,238,66,97,38,33,1.41,36,衡水,2016,01
2016-01-30,70,良,177,49,71,36,34,1.36,39,衡水,2016,01
2016-01-31,182,中度污染,360,138,180,64,58,2.43,22,衡水,2016,01
2016-02-01,145,轻度污染,340,108,143,62,67,2.24,37,衡水,2016,02
2016-02-02,162,中度污染,348,124,166,68,86,2.53,36,衡水,2016,02
2016-02-03,218,重度污染,360,170,219,78,110,3.46,39,衡水,2016,02
2016-02-04,165,中度污染,328,127,170,68,91,2.7,37,衡水,2016,02
2016-02-05,139,轻度污染,318,101,143,55,62,2.15,43,衡水,2016,02
2016-02-06,94,良,291,67,94,33,55,1.71,59,衡水,2016,02
2016-02-07,142,轻度污染,337,104,154,30,72,1.86,66,衡水,2016,02
2016-02-08,185,中度污染,266,144,203,38,93,2.25,65,衡水,2016,02
2016-02-09,143,轻度污染,316,109,152,42,80,1.99,76,衡水,2016,02
2016-02-10,250,重度污染,364,200,257,49,94,3.0,65,衡水,2016,02
2016-02-11,232,重度污染,353,181,232,62,58,3.82,26,衡水,2016,02
2016-02-12,161,中度污染,309,122,174,40,31,3.04,21,衡水,2016,02
2016-02-13,77,良,318,57,64,29,25,1.79,48,衡水,2016,02
2016-02-14,38,优,137,19,33,27,16,1.06,68,衡水,2016,02
2016-02-15,52,良,265,30,52,27,27,1.21,64,衡水,2016,02
2016-02-16,58,良,258,32,60,42,39,1.43,56,衡水,2016,02
2016-02-17,92,良,327,67,93,61,52,1.78,48,衡水,2016,02
2016-02-18,113,轻度污染,326,79,123,68,55,1.85,42,衡水,2016,02
2016-02-19,112,轻度污染,255,78,136,60,35,1.7,42,衡水,2016,02
2016-02-20,51,良,78,33,52,48,27,1.26,53,衡水,2016,02
2016-02-21,98,良,238,69,123,60,42,1.54,47,衡水,2016,02
2016-02-22,234,重度污染,359,187,286,84,71,2.23,28,衡水,2016,02
2016-02-23,71,良,182,47,75,52,34,1.42,54,衡水,2016,02
2016-02-24,73,良,202,50,77,43,47,1.58,52,衡水,2016,02
2016-02-25,145,轻度污染,330,109,156,62,62,2.01,46,衡水,2016,02
2016-02-26,112,轻度污染,303,82,124,54,55,1.89,46,衡水,2016,02
2016-02-27,99,良,279,72,110,55,48,1.91,39,衡水,2016,02
2016-02-28,64,良,133,33,67,27,24,1.3,59,衡水,2016,02
2016-02-29,50,优,79,27,54,26,28,1.31,59,衡水,2016,02
2016-03-01,129,轻度污染,341,96,145,48,53,1.75,61,衡水,2016,03
2016-03-02,174,中度污染,342,130,188,50,47,1.98,65,衡水,2016,03
2016-03-03,184,中度污染,339,135,232,44,40,1.95,76,衡水,2016,03
2016-03-04,231,重度污染,340,184,258,50,18,2.27,25,衡水,2016,03
2016-03-05,201,重度污染,307,104,303,41,20,1.73,48,衡水,2016,03
2016-03-06,234,重度污染,342,115,367,47,31,1.88,54,衡水,2016,03
2016-03-07,156,中度污染,305,96,228,52,32,2.23,44,衡水,2016,03
2016-03-08,67,良,226,28,83,29,17,1.47,48,衡水,2016,03
2016-03-09,61,良,274,37,70,34,24,1.52,44,衡水,2016,03
2016-03-10,80,良,322,44,95,36,25,1.5,49,衡水,2016,03
2016-03-11,79,良,269,51,97,42,34,1.58,56,衡水,2016,03
2016-03-12,137,轻度污染,344,103,171,59,45,1.95,39,衡水,2016,03
2016-03-13,136,轻度污染,329,96,158,52,34,1.9,52,衡水,2016,03
2016-03-14,111,轻度污染,294,70,157,42,33,1.73,66,衡水,2016,03
2016-03-15,168,中度污染,346,126,215,37,29,1.77,88,衡水,2016,03
2016-03-16,231,重度污染,354,180,236,41,39,2.0,92,衡水,2016,03
2016-03-17,186,中度污染,322,140,203,43,34,1.84,103,衡水,2016,03
2016-03-18,269,重度污染,359,218,291,63,49,2.38,88,衡水,2016,03
2016-03-19,180,中度污染,324,134,205,49,38,1.86,68,衡水,2016,03
2016-03-20,83,良,174,58,105,55,38,1.59,47,衡水,2016,03
2016-03-21,166,中度污染,358,124,205,78,64,2.29,59,衡水,2016,03
2016-03-22,181,中度污染,359,122,223,59,50,1.89,75,衡水,2016,03
2016-03-23,78,良,292,52,93,47,29,1.51,51,衡水,2016,03
2016-03-24,86,良,328,56,109,56,17,1.6,53,衡水,2016,03
2016-03-25,85,良,310,58,105,48,28,1.68,56,衡水,2016,03
2016-03-26,89,良,294,57,105,49,28,1.62,63,衡水,2016,03
2016-03-27,85,良,254,48,116,45,46,1.76,63,衡水,2016,03
2016-03-28,109,轻度污染,316,62,165,43,28,1.58,64,衡水,2016,03
2016-03-29,89,良,233,31,126,27,11,1.31,68,衡水,2016,03
2016-03-30,124,轻度污染,329,80,192,57,46,1.96,54,衡水,2016,03
2016-03-31,186,中度污染,353,74,258,26,21,1.33,100,衡水,2016,03
2016-04-01,117,轻度污染,301,66,172,32,25,1.28,90,衡水,2016,04
2016-04-02,85,良,210,33,118,33,27,1.12,67,衡水,2016,04
2016-04-03,56,良,165,32,61,31,22,1.03,82,衡水,2016,04
2016-04-04,86,良,309,62,104,47,30,1.14,76,衡水,2016,04
2016-04-05,96,良,310,71,116,38,24,0.97,84,衡水,2016,04
2016-04-06,126,轻度污染,342,95,126,29,26,0.76,82,衡水,2016,04
2016-04-07,154,中度污染,353,102,189,40,28,0.71,75,衡水,2016,04
2016-04-08,86,良,268,40,120,37,26,0.49,80,衡水,2016,04
2016-04-09,181,中度污染,344,138,227,45,32,1.14,84,衡水,2016,04
2016-04-10,105,轻度污染,303,40,158,30,21,0.45,76,衡水,2016,04
2016-04-11,88,良,266,48,122,39,26,0.55,69,衡水,2016,04
2016-04-12,185,中度污染,359,143,233,61,24,1.08,36,衡水,2016,04
2016-04-13,161,中度污染,343,113,194,41,22,0.99,57,衡水,2016,04
2016-04-14,104,轻度污染,274,49,156,34,33,0.58,90,衡水,2016,04
2016-04-15,109,轻度污染,309,65,163,44,43,0.68,93,衡水,2016,04
2016-04-16,81,良,310,45,94,30,17,0.5,66,衡水,2016,04
2016-04-17,60,良,204,28,67,37,27,0.47,63,衡水,2016,04
2016-04-18,56,良,182,22,52,20,14,0.31,85,衡水,2016,04
2016-04-19,117,轻度污染,358,83,140,46,37,0.89,58,衡水,2016,04
2016-04-20,141,轻度污染,350,106,172,53,24,1.2,77,衡水,2016,04
2016-04-21,141,轻度污染,331,96,178,45,52,1.55,105,衡水,2016,04
2016-04-22,108,轻度污染,293,45,159,31,24,0.44,93,衡水,2016,04
2016-04-23,116,轻度污染,322,53,179,49,33,0.55,53,衡水,2016,04
2016-04-24,109,轻度污染,317,57,153,37,32,0.62,89,衡水,2016,04
2016-04-25,90,良,280,56,104,23,21,0.51,132,衡水,2016,04
2016-04-26,124,轻度污染,356,89,172,48,34,0.83,107,衡水,2016,04
2016-04-27,130,轻度污染,359,93,168,60,28,1.0,67,衡水,2016,04
2016-04-28,136,轻度污染,360,96,140,33,28,0.99,127,衡水,2016,04
2016-04-29,144,轻度污染,350,95,172,27,22,0.89,137,衡水,2016,04
2016-04-30,124,轻度污染,348,91,145,24,29,0.89,115,衡水,2016,04
2016-05-01,104,轻度污染,291,61,132,20,26,0.65,105,衡水,2016,05
2016-05-02,79,良,265,45,101,25,20,0.52,67,衡水,2016,05
2016-05-03,74,良,274,29,86,25,14,0.43,84,衡水,2016,05
2016-05-04,98,良,328,56,126,39,31,0.84,114,衡水,2016,05
2016-05-05,115,轻度污染,334,84,155,47,36,1.1,79,衡水,2016,05
2016-05-06,125,轻度污染,295,68,171,42,17,0.8,67,衡水,2016,05
2016-05-07,67,良,207,28,77,34,20,0.46,83,衡水,2016,05
2016-05-08,70,良,263,33,82,29,22,0.86,90,衡水,2016,05
2016-05-09,82,良,310,59,84,24,16,0.69,89,衡水,2016,05
2016-05-10,115,轻度污染,350,81,115,31,23,0.93,118,衡水,2016,05
2016-05-11,121,轻度污染,313,85,145,21,15,0.85,123,衡水,2016,05
2016-05-12,68,良,124,40,74,22,7,0.55,82,衡水,2016,05
2016-05-13,61,良,148,29,63,31,12,0.48,84,衡水,2016,05
2016-05-14,77,良,279,56,70,32,5,0.74,57,衡水,2016,05
2016-05-15,72,良,333,44,70,34,11,0.74,57,衡水,2016,05
2016-05-16,62,良,163,27,61,33,18,0.57,88,衡水,2016,05
2016-05-17,84,良,272,42,84,29,15,0.53,121,衡水,2016,05
2016-05-18,108,轻度污染,327,57,101,28,17,0.68,158,衡水,2016,05
2016-05-19,117,轻度污染,327,59,97,37,21,0.73,160,衡水,2016,05
2016-05-20,147,轻度污染,351,91,136,57,30,0.95,143,衡水,2016,05
2016-05-21,121,轻度污染,346,67,105,45,22,0.77,140,衡水,2016,05
2016-05-22,116,轻度污染,353,63,96,33,25,0.66,151,衡水,2016,05
2016-05-23,100,良,338,68,112,43,39,1.12,116,衡水,2016,05
2016-05-24,75,良,248,29,58,17,19,0.58,119,衡水,2016,05
2016-05-25,58,良,160,23,56,29,14,0.48,90,衡水,2016,05
2016-05-26,77,良,291,39,89,38,30,0.69,96,衡水,2016,05
2016-05-27,82,良,299,51,102,45,26,0.9,94,衡水,2016,05
2016-05-28,86,良,310,57,83,21,14,0.8,116,衡水,2016,05
2016-05-29,140,轻度污染,364,90,115,25,14,0.85,131,衡水,2016,05
2016-05-30,125,轻度污染,353,72,112,16,15,0.84,162,衡水,2016,05
2016-05-31,114,轻度污染,335,73,127,21,19,0.88,133,衡水,2016,05
2016-06-01,77,良,303,28,61,31,19,0.71,111,衡水,2016,06
2016-06-02,91,良,333,32,64,34,20,0.57,142,衡水,2016,06
2016-06-03,113,轻度污染,354,70,110,26,22,0.84,136,衡水,2016,06
2016-06-04,128,轻度污染,361,90,127,24,16,0.81,118,衡水,2016,06
2016-06-05,105,轻度污染,355,71,96,19,16,0.77,134,衡水,2016,06
2016-06-06,113,轻度污染,353,82,102,19,8,0.77,101,衡水,2016,06
2016-06-07,142,轻度污染,360,107,141,31,15,0.88,98,衡水,2016,06
2016-06-08,125,轻度污染,349,81,117,33,12,0.81,120,衡水,2016,06
2016-06-09,132,轻度污染,355,74,131,25,14,0.73,153,衡水,2016,06
2016-06-10,114,轻度污染,362,73,125,18,15,0.73,151,衡水,2016,06
2016-06-11,76,良,291,27,66,26,14,0.47,110,衡水,2016,06
2016-06-12,103,轻度污染,355,38,74,26,24,0.62,156,衡水,2016,06
2016-06-13,126,轻度污染,357,82,131,23,19,0.81,135,衡水,2016,06
2016-06-14,134,轻度污染,361,100,111,22,12,1.25,79,衡水,2016,06
2016-06-15,72,良,315,32,45,20,8,0.55,112,衡水,2016,06
2016-06-16,79,良,279,31,60,29,22,0.66,128,衡水,2016,06
2016-06-17,101,轻度污染,327,39,84,30,21,0.61,142,衡水,2016,06
2016-06-18,119,轻度污染,356,54,101,30,27,0.76,161,衡水,2016,06
2016-06-19,117,轻度污染,352,63,102,24,27,0.77,164,衡水,2016,06
2016-06-20,104,轻度污染,342,66,82,20,14,0.73,144,衡水,2016,06
2016-06-21,95,良,350,46,62,17,15,0.8,142,衡水,2016,06
2016-06-22,102,轻度污染,351,56,78,13,15,0.75,132,衡水,2016,06
2016-06-23,59,良,255,33,43,25,13,0.62,91,衡水,2016,06
2016-06-24,68,良,334,30,54,26,17,0.5,100,衡水,2016,06
2016-06-25,70,良,301,23,52,25,16,0.4,107,衡水,2016,06
2016-06-26,94,良,321,37,80,44,33,0.78,124,衡水,2016,06
2016-06-27,97,良,331,45,82,19,17,0.53,144,衡水,2016,06
2016-06-28,98,良,341,56,79,24,10,0.49,109,衡水,2016,06
2016-06-29,107,轻度污染,352,70,96,26,13,0.69,124,衡水,2016,06
2016-06-30,130,轻度污染,361,92,130,29,18,0.81,122,衡水,2016,06
