日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2017-01-01,454,严重污染,365,430,501,131,8,6.43,4,北京,2017,01
2017-01-02,220,重度污染,296,161,246,92,12,3.14,24,北京,2017,01
2017-01-03,338,严重污染,354,290,380,137,17,5.61,9,北京,2017,01
2017-01-04,393,严重污染,360,344,452,145,18,7.28,8,北京,2017,01
2017-01-05,276,重度污染,345,224,275,109,15,5.55,5,北京,2017,01
2017-01-06,245,重度污染,350,194,190,104,23,4.28,7,北京,2017,01
2017-01-07,211,重度污染,327,165,128,80,17,3.22,6,北京,2017,01
2017-01-08,54,良,104,36,22,33,9,0.97,42,北京,2017,01
2017-01-09,49,优,67,32,44,36,6,0.76,38,北京,2017,01
2017-01-10,44,优,71,23,40,32,6,0.64,45,北京,2017,01
2017-01-11,77,良,198,56,81,70,18,1.54,14,北京,2017,01
2017-01-12,59,良,148,39,57,46,11,0.88,38,北京,2017,01
2017-01-13,30,优,35,7,20,19,4,0.38,60,北京,2017,01
2017-01-14,35,优,39,18,37,41,10,0.8,32,北京,2017,01
2017-01-15,72,良,197,51,69,48,10,0.99,18,北京,2017,01
2017-01-16,123,轻度污染,284,92,107,65,17,1.71,4,北京,2017,01
2017-01-17,176,中度污染,311,132,144,71,20,2.11,10,北京,2017,01
2017-01-18,53,良,74,37,50,48,9,0.83,26,北京,2017,01
2017-01-19,85,良,161,45,88,36,13,1.17,39,北京,2017,01
2017-01-20,40,优,45,21,34,31,7,0.69,48,北京,2017,01
2017-01-21,53,良,58,25,49,28,9,0.78,48,北京,2017,01
2017-01-22,36,优,8,23,34,38,10,0.79,37,北京,2017,01
2017-01-23,46,优,35,32,44,45,12,0.98,29,北京,2017,01
2017-01-24,114,轻度污染,239,85,100,73,27,2.04,15,北京,2017,01
2017-01-25,221,重度污染,314,171,186,91,38,3.22,14,北京,2017,01
2017-01-26,203,重度污染,289,159,196,62,25,2.66,33,北京,2017,01
2017-01-27,85,良,149,60,88,28,20,0.72,59,北京,2017,01
2017-01-28,364,严重污染,359,337,419,69,81,2.62,16,北京,2017,01
2017-01-29,80,良,166,39,75,16,10,0.72,61,北京,2017,01
2017-01-30,47,优,101,24,31,19,9,0.56,62,北京,2017,01
2017-01-31,102,轻度污染,310,75,86,40,27,1.26,45,北京,2017,01
2017-02-01,54,良,125,30,49,24,12,0.6,56,北京,2017,02
2017-02-02,107,轻度污染,264,80,101,58,29,1.53,31,北京,2017,02
2017-02-03,196,中度污染,327,154,181,83,43,2.57,25,北京,2017,02
2017-02-04,294,重度污染,358,247,280,92,49,3.23,33,北京,2017,02
2017-02-05,32,优,6,12,16,23,6,0.46,64,北京,2017,02
2017-02-06,35,优,14,12,23,26,6,0.47,55,北京,2017,02
2017-02-07,101,轻度污染,322,75,93,59,20,1.51,17,北京,2017,02
2017-02-08,60,良,221,32,50,26,6,0.73,56,北京,2017,02
2017-02-09,36,优,24,6,20,10,2,0.3,73,北京,2017,02
2017-02-10,38,优,23,6,22,13,2,0.31,74,北京,2017,02
2017-02-11,62,良,86,42,66,43,17,0.87,45,北京,2017,02
2017-02-12,138,轻度污染,306,104,132,76,41,2.28,23,北京,2017,02
2017-02-13,109,轻度污染,229,79,104,66,23,2.06,32,北京,2017,02
2017-02-14,225,重度污染,338,176,190,95,30,2.89,12,北京,2017,02
2017-02-15,283,重度污染,358,232,209,105,35,3.16,22,北京,2017,02
2017-02-16,145,轻度污染,289,107,71,54,18,1.44,47,北京,2017,02
2017-02-17,45,优,39,20,37,27,6,0.52,59,北京,2017,02
2017-02-18,111,轻度污染,255,83,119,71,25,1.58,25,北京,2017,02
2017-02-19,150,轻度污染,277,97,143,61,24,1.41,43,北京,2017,02
2017-02-20,39,优,15,10,31,23,4,0.42,62,北京,2017,02
2017-02-21,83,良,308,60,77,58,14,1.32,17,北京,2017,02
2017-02-22,106,轻度污染,313,76,50,40,6,1.08,41,北京,2017,02
2017-02-23,36,优,43,16,28,29,6,0.59,60,北京,2017,02
2017-02-24,43,优,80,25,39,43,9,0.76,45,北京,2017,02
2017-02-25,30,优,27,10,21,29,5,0.47,58,北京,2017,02
2017-02-26,44,优,50,27,45,49,9,0.76,41,北京,2017,02
2017-02-27,87,良,219,64,93,75,16,1.42,27,北京,2017,02
2017-02-28,34,优,1,14,29,32,6,0.52,58,北京,2017,02
2017-03-01,44,优,28,7,37,13,2,0.32,79,北京,2017,03
2017-03-02,61,良,105,36,73,50,11,0.81,40,北京,2017,03
2017-03-03,110,轻度污染,343,82,139,67,22,1.47,33,北京,2017,03
2017-03-04,112,轻度污染,273,83,107,68,24,1.54,47,北京,2017,03
2017-03-05,45,优,35,14,33,19,4,0.38,73,北京,2017,03
2017-03-06,44,优,54,16,44,34,5,0.61,48,北京,2017,03
2017-03-07,36,优,12,6,24,12,2,0.3,70,北京,2017,03
2017-03-08,35,优,15,9,29,20,2,0.39,68,北京,2017,03
2017-03-09,35,优,11,11,32,33,3,0.45,53,北京,2017,03
2017-03-10,55,良,85,30,60,59,10,0.79,41,北京,2017,03
2017-03-11,74,良,190,45,81,47,15,0.83,51,北京,2017,03
2017-03-12,41,优,43,6,27,11,2,0.26,79,北京,2017,03
2017-03-13,37,优,48,9,26,27,4,0.4,63,北京,2017,03
2017-03-14,42,优,74,17,44,38,6,0.52,52,北京,2017,03
2017-03-15,84,良,295,61,91,65,20,1.13,40,北京,2017,03
2017-03-16,149,轻度污染,361,112,153,86,23,1.35,39,北京,2017,03
2017-03-17,159,中度污染,354,120,159,68,18,1.07,46,北京,2017,03
2017-03-18,184,中度污染,359,140,168,65,14,1.13,67,北京,2017,03
2017-03-19,272,重度污染,366,221,249,78,31,2.02,79,北京,2017,03
2017-03-20,184,中度污染,363,142,146,72,18,1.34,39,北京,2017,03
2017-03-21,113,轻度污染,322,85,91,45,5,0.77,50,北京,2017,03
2017-03-22,173,中度污染,359,131,170,77,17,1.21,39,北京,2017,03
2017-03-23,163,中度污染,355,124,91,57,6,1.63,38,北京,2017,03
2017-03-24,82,良,263,59,0,46,2,0.96,34,北京,2017,03
2017-03-25,55,良,127,34,25,34,3,0.8,47,北京,2017,03
2017-03-26,36,优,14,11,26,20,2,0.33,70,北京,2017,03
2017-03-27,37,优,6,15,32,30,2,0.4,61,北京,2017,03
2017-03-28,80,良,220,56,90,50,8,0.65,52,北京,2017,03
2017-03-29,145,轻度污染,353,110,133,61,9,0.86,55,北京,2017,03
2017-03-30,119,轻度污染,311,88,131,54,14,1.14,46,北京,2017,03
2017-03-31,48,优,86,18,47,30,3,0.4,66,北京,2017,03
2017-04-01,61,良,119,28,73,50,5,0.58,48,北京,2017,04
2017-04-02,90,良,262,66,110,70,12,1.07,48,北京,2017,04
2017-04-03,159,中度污染,360,122,168,76,19,1.26,74,北京,2017,04
2017-04-04,175,中度污染,363,134,155,63,20,1.14,62,北京,2017,04
2017-04-05,83,良,224,61,60,27,5,0.61,95,北京,2017,04
2017-04-06,126,轻度污染,324,95,91,44,5,0.9,74,北京,2017,04
2017-04-07,103,轻度污染,280,76,120,43,7,0.79,60,北京,2017,04
2017-04-08,113,轻度污染,328,76,138,59,6,0.89,30,北京,2017,04
2017-04-09,86,良,349,63,100,45,6,0.88,46,北京,2017,04
2017-04-10,90,良,339,64,117,57,8,0.74,42,北京,2017,04
2017-04-11,61,良,204,27,66,31,3,0.38,62,北京,2017,04
2017-04-12,68,良,199,25,84,49,4,0.54,46,北京,2017,04
2017-04-13,91,良,307,52,131,60,13,1.03,49,北京,2017,04
2017-04-14,93,良,317,58,131,65,5,0.85,45,北京,2017,04
2017-04-15,69,良,115,34,86,48,4,0.48,63,北京,2017,04
2017-04-16,134,轻度污染,350,90,171,68,15,0.95,56,北京,2017,04
2017-04-17,180,中度污染,354,125,215,54,7,0.95,57,北京,2017,04
2017-04-18,65,良,145,22,78,17,2,0.24,81,北京,2017,04
2017-04-19,83,良,230,41,113,67,6,0.8,20,北京,2017,04
2017-04-20,72,良,227,37,92,43,2,0.69,46,北京,2017,04
2017-04-21,55,良,141,16,56,20,2,0.29,74,北京,2017,04
2017-04-22,85,良,325,41,118,41,7,0.46,68,北京,2017,04
2017-04-23,60,良,116,22,71,21,3,0.37,86,北京,2017,04
2017-04-23,60,良,116,22,71,21,3,0.37,86,北京,2017,04
2017-04-24,70,良,168,33,82,30,4,0.5,73,北京,2017,04
2017-04-25,39,优,40,11,37,22,2,0.27,59,北京,2017,04
2017-04-26,43,优,88,13,38,27,2,0.33,64,北京,2017,04
2017-04-27,45,优,87,14,46,32,2,0.31,62,北京,2017,04
2017-04-28,58,良,110,21,65,36,2,0.39,67,北京,2017,04
2017-04-29,75,良,166,38,99,39,2,0.39,69,北京,2017,04
2017-04-30,106,轻度污染,312,48,159,42,4,0.48,77,北京,2017,04
2017-05-01,82,良,222,40,112,44,7,0.7,71,北京,2017,05
2017-05-02,95,良,293,57,129,50,9,0.95,105,北京,2017,05
2017-05-03,104,轻度污染,324,72,121,47,8,0.85,79,北京,2017,05
2017-05-04,420,严重污染,354,336,772,21,2,0.29,79,北京,2017,05
2017-05-05,256,重度污染,312,185,438,21,3,0.31,64,北京,2017,05
2017-05-06,71,良,128,31,90,32,2,0.36,68,北京,2017,05
2017-05-07,64,良,113,26,75,40,3,0.4,78,北京,2017,05
2017-05-08,84,良,255,52,109,52,6,0.56,96,北京,2017,05
2017-05-09,81,良,280,45,97,25,6,0.51,107,北京,2017,05
2017-05-10,64,良,135,37,68,29,3,0.46,87,北京,2017,05
2017-05-11,91,良,271,28,130,30,3,0.32,69,北京,2017,05
2017-05-12,109,轻度污染,303,42,166,23,4,0.39,90,北京,2017,05
2017-05-13,61,良,142,18,71,15,2,0.25,72,北京,2017,05
2017-05-14,47,优,52,11,37,15,2,0.28,87,北京,2017,05
2017-05-15,58,良,183,20,58,23,5,0.52,94,北京,2017,05
2017-05-16,87,良,342,40,88,28,8,0.59,126,北京,2017,05
2017-05-17,118,轻度污染,358,58,111,34,8,0.68,151,北京,2017,05
2017-05-18,144,轻度污染,356,79,143,50,9,0.82,169,北京,2017,05
2017-05-19,145,轻度污染,351,83,152,39,8,0.79,153,北京,2017,05
2017-05-20,115,轻度污染,331,54,124,37,8,0.7,131,北京,2017,05
2017-05-20,115,轻度污染,331,54,124,37,8,0.7,131,北京,2017,05
2017-05-21,93,良,284,56,98,26,14,0.94,123,北京,2017,05
2017-05-22,62,良,241,42,60,33,7,1.15,40,北京,2017,05
2017-05-23,48,优,157,17,37,28,3,0.36,96,北京,2017,05
2017-05-24,54,良,176,16,51,41,2,0.38,77,北京,2017,05
2017-05-25,70,良,232,20,82,37,5,0.53,90,北京,2017,05
2017-05-26,90,良,289,43,94,48,8,0.58,110,北京,2017,05
2017-05-27,110,轻度污染,312,65,116,45,19,1.29,154,北京,2017,05
2017-05-28,150,轻度污染,359,87,137,34,15,1.36,167,北京,2017,05
2017-05-29,74,良,146,28,88,24,7,0.66,92,北京,2017,05
2017-05-30,69,良,169,39,68,36,2,0.64,91,北京,2017,05
2017-05-31,117,轻度污染,331,65,105,43,3,0.75,115,北京,2017,05
2017-06-01,69,良,213,22,56,27,3,0.6,113,北京,2017,06
2017-06-02,59,良,175,22,65,36,11,0.94,53,北京,2017,06
2017-06-03,60,良,194,28,55,34,4,0.69,75,北京,2017,06
2017-06-04,95,良,354,45,89,47,9,0.63,111,北京,2017,06
2017-06-05,108,轻度污染,361,63,113,59,15,0.91,119,北京,2017,06
2017-06-06,55,良,247,35,46,23,2,0.5,81,北京,2017,06
2017-06-07,78,良,302,45,53,29,2,0.6,85,北京,2017,06
2017-06-08,54,良,144,23,53,51,2,0.55,63,北京,2017,06
2017-06-09,89,良,289,28,88,50,4,0.59,103,北京,2017,06
2017-06-10,65,良,263,20,70,31,10,0.77,83,北京,2017,06
2017-06-11,79,良,298,31,83,46,6,0.64,88,北京,2017,06
2017-06-12,71,良,283,33,78,43,15,1.08,92,北京,2017,06
2017-06-13,68,良,255,39,62,41,4,0.81,98,北京,2017,06
2017-06-14,83,良,276,36,59,45,2,0.72,106,北京,2017,06
2017-06-15,104,轻度污染,295,37,89,44,3,0.59,150,北京,2017,06
2017-06-16,115,轻度污染,301,57,124,39,5,0.62,155,北京,2017,06
2017-06-17,134,轻度污染,341,79,155,36,10,0.87,177,北京,2017,06
2017-06-18,130,轻度污染,349,71,128,30,10,0.84,166,北京,2017,06
2017-06-19,91,良,317,35,58,25,2,0.57,146,北京,2017,06
2017-06-20,96,良,327,31,64,24,3,0.61,157,北京,2017,06
2017-06-21,101,轻度污染,332,49,83,28,7,0.86,151,北京,2017,06
2017-06-22,58,良,225,31,27,23,1,0.77,94,北京,2017,06
2017-06-23,46,优,132,18,11,18,2,0.66,85,北京,2017,06
2017-06-24,40,优,115,19,26,19,2,0.5,77,北京,2017,06
2017-06-25,63,良,233,25,44,30,2,0.5,84,北京,2017,06
2017-06-26,69,良,224,22,45,34,1,0.44,104,北京,2017,06
2017-06-27,135,轻度污染,356,69,106,39,5,0.79,150,北京,2017,06
2017-06-28,138,轻度污染,359,94,124,40,7,1.17,154,北京,2017,06
2017-06-29,108,轻度污染,332,59,86,30,5,0.82,152,北京,2017,06
2017-06-30,127,轻度污染,359,71,111,36,2,0.84,159,北京,2017,06
2017-07-01,137,轻度污染,362,89,132,40,3,0.97,154,北京,2017,07
2017-07-02,157,中度污染,362,93,122,31,6,1.08,157,北京,2017,07
2017-07-03,88,良,308,59,77,28,2,0.81,103,北京,2017,07
2017-07-04,73,良,270,48,55,37,2,0.8,88,北京,2017,07
2017-07-05,117,轻度污染,363,82,92,36,2,1.02,116,北京,2017,07
2017-07-06,96,良,356,69,49,31,3,1.37,71,北京,2017,07
2017-07-07,65,良,274,31,38,18,2,0.73,113,北京,2017,07
2017-07-08,80,良,313,36,57,28,1,0.63,129,北京,2017,07
2017-07-09,125,轻度污染,361,73,98,28,2,1.02,152,北京,2017,07
2017-07-10,80,良,301,24,52,30,2,0.5,124,北京,2017,07
2017-07-11,118,轻度污染,344,43,88,40,3,0.78,171,北京,2017,07
2017-07-12,136,轻度污染,363,73,131,38,3,0.92,165,北京,2017,07
2017-07-13,101,轻度污染,343,65,93,24,3,0.74,131,北京,2017,07
2017-07-14,71,良,284,32,62,34,2,0.64,112,北京,2017,07
2017-07-15,71,良,302,34,45,26,2,0.89,111,北京,2017,07
2017-07-16,110,轻度污染,365,63,84,34,2,1.11,123,北京,2017,07
2017-07-17,84,良,339,53,71,28,2,1.01,105,北京,2017,07
2017-07-18,87,良,344,62,80,26,2,0.89,91,北京,2017,07
2017-07-19,101,轻度污染,351,73,83,24,2,0.75,101,北京,2017,07
2017-07-20,127,轻度污染,361,96,113,29,2,0.78,104,北京,2017,07
2017-07-21,43,优,121,22,24,24,2,0.67,60,北京,2017,07
2017-07-22,37,优,60,21,35,29,2,0.61,46,北京,2017,07
2017-07-23,60,良,199,41,58,35,2,0.69,52,北京,2017,07
2017-07-24,60,良,206,40,57,38,2,0.76,26,北京,2017,07
2017-07-25,58,良,184,31,48,31,3,0.81,71,北京,2017,07
2017-07-26,41,优,60,21,33,29,2,0.68,62,北京,2017,07
2017-07-27,58,良,177,38,64,44,2,0.93,49,北京,2017,07
2017-07-28,54,良,156,26,57,41,2,0.71,62,北京,2017,07
2017-07-29,63,良,234,31,59,37,2,0.66,79,北京,2017,07
2017-07-30,83,良,306,36,66,33,2,0.65,104,北京,2017,07
2017-07-31,128,轻度污染,356,75,100,34,2,0.92,143,北京,2017,07
2017-08-01,98,良,346,67,86,29,2,0.96,92,北京,2017,08
2017-08-02,51,良,234,33,50,24,3,1.04,47,北京,2017,08
2017-08-03,47,优,168,19,37,17,2,0.6,85,北京,2017,08
2017-08-04,68,良,254,20,43,34,2,0.54,92,北京,2017,08
2017-08-05,75,良,281,25,57,33,2,0.62,108,北京,2017,08
2017-08-06,53,良,167,16,33,27,2,0.47,87,北京,2017,08
2017-08-07,50,优,144,9,32,29,2,0.4,90,北京,2017,08
2017-08-08,96,良,353,27,67,37,2,0.64,121,北京,2017,08
2017-08-09,59,良,246,21,34,23,2,0.54,103,北京,2017,08
2017-08-10,90,良,327,62,83,31,2,0.75,106,北京,2017,08
2017-08-11,123,轻度污染,358,89,98,36,2,1.14,88,北京,2017,08
2017-08-12,46,优,161,29,36,34,2,0.73,68,北京,2017,08
2017-08-13,60,良,277,39,50,34,2,0.87,49,北京,2017,08
2017-08-14,52,良,222,26,40,25,2,0.74,83,北京,2017,08
2017-08-15,77,良,317,52,73,30,3,0.91,94,北京,2017,08
2017-08-16,87,良,340,56,71,36,2,0.86,62,北京,2017,08
2017-08-17,48,优,176,21,34,26,2,0.67,73,北京,2017,08
2017-08-18,76,良,333,51,72,50,2,1.14,60,北京,2017,08
2017-08-19,64,良,299,41,50,31,2,1.0,75,北京,2017,08
2017-08-20,84,良,349,59,71,35,2,1.19,77,北京,2017,08
2017-08-21,103,轻度污染,359,68,92,36,2,1.04,108,北京,2017,08
2017-08-22,104,轻度污染,361,77,94,33,2,0.93,67,北京,2017,08
2017-08-23,48,优,177,10,28,25,2,0.51,81,北京,2017,08
2017-08-24,41,优,146,13,36,35,2,0.52,40,北京,2017,08
2017-08-25,38,优,102,8,34,35,2,0.41,38,北京,2017,08
2017-08-26,50,优,229,13,53,46,2,0.52,29,北京,2017,08
2017-08-27,35,优,81,16,27,27,2,0.52,55,北京,2017,08
2017-08-28,36,优,123,18,17,25,2,0.49,39,北京,2017,08
2017-08-29,43,优,207,14,45,34,3,0.47,41,北京,2017,08
2017-08-30,74,良,356,50,85,42,3,0.79,70,北京,2017,08
2017-08-31,106,轻度污染,359,79,97,33,2,0.88,65,北京,2017,08
2017-09-01,177,中度污染,366,134,149,38,2,1.39,71,北京,2017,09
2017-09-02,148,轻度污染,366,109,118,32,2,1.16,79,北京,2017,09
2017-09-03,77,良,319,55,77,29,3,0.77,87,北京,2017,09
2017-09-04,117,轻度污染,366,87,111,34,3,0.9,93,北京,2017,09
2017-09-05,67,良,295,39,59,33,2,0.65,51,北京,2017,09
2017-09-06,47,优,190,14,47,40,2,0.48,56,北京,2017,09
