日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2017-01-01,79,良,83,50,105,36,31,1.11,38,张家口,2017,01
2017-01-02,68,良,64,37,82,35,32,0.99,49,张家口,2017,01
2017-01-03,77,良,72,48,100,37,33,1.16,47,张家口,2017,01
2017-01-04,94,良,102,62,116,48,40,1.38,38,张家口,2017,01
2017-01-05,136,轻度污染,241,102,159,55,38,2.12,31,张家口,2017,01
2017-01-06,168,中度污染,308,129,191,61,43,2.5,17,张家口,2017,01
2017-01-07,57,良,154,37,64,23,17,0.76,51,张家口,2017,01
2017-01-08,36,优,22,17,32,18,17,0.59,63,张家口,2017,01
2017-01-09,43,优,43,17,39,22,20,0.57,62,张家口,2017,01
2017-01-10,38,优,36,18,35,18,16,0.59,64,张家口,2017,01
2017-01-11,47,优,75,25,49,26,25,0.79,54,张家口,2017,01
2017-01-12,51,良,107,26,52,20,18,0.72,63,张家口,2017,01
2017-01-13,38,优,57,19,33,14,11,0.63,71,张家口,2017,01
2017-01-14,55,良,128,32,55,31,25,0.9,52,张家口,2017,01
2017-01-15,107,轻度污染,294,75,122,51,38,1.65,21,张家口,2017,01
2017-01-16,171,中度污染,331,131,194,59,45,2.06,9,张家口,2017,01
2017-01-17,115,轻度污染,253,80,137,39,30,1.35,37,张家口,2017,01
2017-01-18,61,良,109,34,73,34,31,1.03,46,张家口,2017,01
2017-01-19,66,良,117,29,81,20,16,0.72,61,张家口,2017,01
2017-01-20,50,优,98,28,52,24,24,0.82,58,张家口,2017,01
2017-01-21,50,优,38,20,51,13,13,0.58,74,张家口,2017,01
2017-01-22,38,优,19,20,37,17,17,0.71,68,张家口,2017,01
2017-01-23,50,优,55,28,50,28,23,0.88,60,张家口,2017,01
2017-01-24,58,良,93,38,64,32,29,1.03,57,张家口,2017,01
2017-01-25,101,轻度污染,176,73,119,53,50,1.68,37,张家口,2017,01
2017-01-26,107,轻度污染,179,54,130,31,29,1.25,54,张家口,2017,01
2017-01-27,68,良,107,40,68,25,35,0.92,59,张家口,2017,01
2017-01-28,198,中度污染,267,150,196,40,67,1.54,45,张家口,2017,01
2017-01-29,53,良,71,17,58,8,9,0.55,78,张家口,2017,01
2017-01-30,43,优,72,24,36,21,23,0.83,61,张家口,2017,01
2017-01-31,46,优,94,23,44,17,21,0.66,61,张家口,2017,01
2017-02-01,48,优,86,27,49,19,27,0.59,64,张家口,2017,02
2017-02-02,67,良,163,42,77,35,38,0.95,53,张家口,2017,02
2017-02-03,121,轻度污染,252,90,153,47,56,1.57,57,张家口,2017,02
2017-02-04,83,良,156,56,87,27,20,1.06,60,张家口,2017,02
2017-02-05,37,优,17,17,28,14,14,0.59,70,张家口,2017,02
2017-02-06,52,良,99,28,49,21,19,0.75,71,张家口,2017,02
2017-02-07,81,良,265,53,94,37,23,1.11,40,张家口,2017,02
2017-02-08,40,优,58,15,33,11,14,0.46,78,张家口,2017,02
2017-02-09,39,优,49,14,25,10,14,0.51,79,张家口,2017,02
2017-02-10,42,优,38,14,25,13,14,0.56,76,张家口,2017,02
2017-02-11,69,良,136,41,67,21,31,0.75,62,张家口,2017,02
2017-02-12,54,良,42,28,57,21,22,0.78,66,张家口,2017,02
2017-02-13,50,优,28,23,53,21,19,0.79,63,张家口,2017,02
2017-02-14,102,轻度污染,185,71,122,49,51,1.78,48,张家口,2017,02
2017-02-15,207,重度污染,341,169,260,86,79,3.19,33,张家口,2017,02
2017-02-16,76,良,112,35,86,20,16,0.8,78,张家口,2017,02
2017-02-17,42,优,28,18,30,18,21,0.67,73,张家口,2017,02
2017-02-18,57,良,68,30,68,23,23,0.89,71,张家口,2017,02
2017-02-19,80,良,131,43,105,26,21,1.0,67,张家口,2017,02
2017-02-20,47,优,38,21,33,17,14,0.65,75,张家口,2017,02
2017-02-21,60,良,182,38,60,30,18,1.0,53,张家口,2017,02
2017-02-22,55,良,134,33,43,21,15,0.84,73,张家口,2017,02
2017-02-23,44,优,89,22,34,16,13,0.68,82,张家口,2017,02
2017-02-24,42,优,70,22,31,16,13,0.69,77,张家口,2017,02
2017-02-25,45,优,83,22,38,22,22,0.86,71,张家口,2017,02
2017-02-26,43,优,42,24,38,21,17,0.81,71,张家口,2017,02
2017-02-27,46,优,29,24,45,21,20,0.82,71,张家口,2017,02
2017-02-28,44,优,16,19,35,18,13,0.72,76,张家口,2017,02
2017-03-01,50,优,52,15,37,10,10,0.59,91,张家口,2017,03
2017-03-02,52,良,54,22,51,22,19,0.83,72,张家口,2017,03
2017-03-03,53,良,30,28,56,22,18,0.85,71,张家口,2017,03
2017-03-04,68,良,90,36,87,26,23,0.96,69,张家口,2017,03
2017-03-05,43,优,26,17,38,12,11,0.65,79,张家口,2017,03
2017-03-06,42,优,46,17,40,11,10,0.67,77,张家口,2017,03
2017-03-07,40,优,43,15,29,9,9,0.64,77,张家口,2017,03
2017-03-08,41,优,41,14,32,12,10,0.72,78,张家口,2017,03
2017-03-09,46,优,40,18,45,18,18,0.82,70,张家口,2017,03
2017-03-10,51,良,65,25,55,25,21,0.83,75,张家口,2017,03
2017-03-11,55,良,96,25,57,18,20,0.69,79,张家口,2017,03
2017-03-12,46,优,72,13,23,10,13,0.54,90,张家口,2017,03
2017-03-13,42,优,91,16,30,15,15,0.63,77,张家口,2017,03
2017-03-14,44,优,90,18,41,21,18,0.7,72,张家口,2017,03
2017-03-15,67,良,205,39,85,39,36,1.11,66,张家口,2017,03
2017-03-16,104,轻度污染,319,74,149,47,41,1.35,69,张家口,2017,03
2017-03-17,103,轻度污染,285,70,126,35,30,1.13,91,张家口,2017,03
2017-03-18,67,良,147,39,81,27,21,0.71,95,张家口,2017,03
2017-03-19,147,轻度污染,338,111,190,41,36,1.26,128,张家口,2017,03
2017-03-20,150,轻度污染,360,112,165,40,31,1.2,102,张家口,2017,03
2017-03-21,54,良,104,28,55,27,23,0.63,81,张家口,2017,03
2017-03-22,122,轻度污染,329,89,152,36,31,1.13,84,张家口,2017,03
2017-03-23,151,中度污染,352,113,144,43,26,1.48,80,张家口,2017,03
2017-03-24,73,良,236,52,59,41,14,1.32,56,张家口,2017,03
2017-03-25,54,良,124,26,49,19,14,0.62,80,张家口,2017,03
2017-03-26,48,优,60,22,35,18,13,0.51,81,张家口,2017,03
2017-03-27,49,优,31,22,41,22,14,0.56,86,张家口,2017,03
2017-03-28,52,良,39,23,45,24,15,0.59,85,张家口,2017,03
2017-03-29,51,良,42,21,46,25,17,0.58,82,张家口,2017,03
2017-03-30,48,优,59,16,40,20,14,0.46,86,张家口,2017,03
2017-03-31,44,优,65,16,37,20,11,0.49,83,张家口,2017,03
2017-04-01,53,良,72,18,50,28,17,0.6,77,张家口,2017,04
2017-04-02,54,良,43,19,55,30,21,0.6,82,张家口,2017,04
2017-04-03,84,良,221,44,114,32,32,0.89,115,张家口,2017,04
2017-04-04,99,良,298,68,131,39,36,1.0,114,张家口,2017,04
2017-04-05,84,良,232,54,97,34,22,0.91,109,张家口,2017,04
2017-04-06,69,良,162,29,81,27,14,0.53,103,张家口,2017,04
2017-04-07,109,轻度污染,298,70,122,29,16,0.76,125,张家口,2017,04
2017-04-08,65,良,191,18,64,16,9,0.43,89,张家口,2017,04
2017-04-09,60,良,251,27,67,24,17,0.67,83,张家口,2017,04
2017-04-10,72,良,288,37,91,27,13,0.73,77,张家口,2017,04
2017-04-11,55,良,165,14,52,11,7,0.39,92,张家口,2017,04
2017-04-12,54,良,116,15,55,18,11,0.47,82,张家口,2017,04
2017-04-13,60,良,101,22,69,24,18,0.64,81,张家口,2017,04
2017-04-14,59,良,64,21,63,23,12,0.54,86,张家口,2017,04
2017-04-15,59,良,62,18,60,25,13,0.57,84,张家口,2017,04
2017-04-16,76,良,190,24,100,22,14,0.5,89,张家口,2017,04
2017-04-17,111,轻度污染,300,26,170,17,12,0.48,92,张家口,2017,04
2017-04-18,69,良,165,17,81,13,7,0.46,100,张家口,2017,04
2017-04-19,87,良,254,22,122,21,11,0.59,85,张家口,2017,04
2017-04-20,67,良,195,19,76,16,9,0.48,84,张家口,2017,04
2017-04-21,48,优,103,14,36,16,8,0.49,84,张家口,2017,04
2017-04-22,75,良,262,19,100,18,12,0.5,90,张家口,2017,04
2017-04-23,60,良,117,14,57,13,9,0.45,101,张家口,2017,04
2017-04-23,60,良,117,14,57,13,9,0.45,101,张家口,2017,04
2017-04-24,68,良,156,17,74,12,8,0.43,103,张家口,2017,04
2017-04-25,49,优,106,14,46,14,7,0.48,85,张家口,2017,04
2017-04-26,55,良,180,16,56,15,8,0.48,90,张家口,2017,04
2017-04-27,60,良,176,15,69,16,11,0.51,93,张家口,2017,04
2017-04-28,61,良,131,21,68,19,16,0.52,89,张家口,2017,04
2017-04-29,67,良,101,22,78,18,20,0.53,90,张家口,2017,04
2017-04-30,84,良,223,34,110,20,11,0.59,117,张家口,2017,04
2017-05-01,105,轻度污染,304,33,158,20,16,0.67,135,张家口,2017,05
2017-05-02,112,轻度污染,328,50,166,22,22,0.81,166,张家口,2017,05
2017-05-03,100,良,322,50,90,25,19,0.85,141,张家口,2017,05
2017-05-04,488,严重污染,365,269,1424,19,8,0.54,100,张家口,2017,05
2017-05-05,219,重度污染,293,56,333,16,9,0.52,93,张家口,2017,05
2017-05-06,72,良,132,18,83,20,7,0.53,99,张家口,2017,05
2017-05-07,57,良,85,16,53,26,11,0.56,88,张家口,2017,05
2017-05-08,66,良,172,20,73,34,14,0.66,95,张家口,2017,05
2017-05-09,91,良,312,31,128,31,17,0.73,116,张家口,2017,05
2017-05-10,65,良,148,22,68,25,15,0.6,99,张家口,2017,05
2017-05-11,142,轻度污染,353,20,206,14,13,0.47,100,张家口,2017,05
2017-05-12,79,良,249,17,106,16,11,0.56,86,张家口,2017,05
2017-05-13,56,良,106,17,60,11,9,0.5,87,张家口,2017,05
2017-05-14,54,良,88,16,52,14,12,0.52,88,张家口,2017,05
2017-05-15,49,优,108,13,35,17,14,0.53,95,张家口,2017,05
2017-05-16,60,良,169,17,59,23,18,0.65,99,张家口,2017,05
2017-05-17,69,良,147,21,76,22,19,0.66,110,张家口,2017,05
2017-05-18,107,轻度污染,297,34,101,23,20,0.81,167,张家口,2017,05
2017-05-19,108,轻度污染,306,40,127,24,20,0.81,161,张家口,2017,05
2017-05-20,92,良,282,30,94,20,23,0.69,154,张家口,2017,05
2017-05-20,92,良,282,30,94,20,23,0.69,154,张家口,2017,05
2017-05-21,119,轻度污染,339,52,108,23,20,0.85,176,张家口,2017,05
2017-05-22,46,优,134,23,33,15,7,0.54,81,张家口,2017,05
2017-05-23,54,良,206,15,30,20,6,0.49,104,张家口,2017,05
2017-05-24,48,优,131,15,43,16,4,0.45,85,张家口,2017,05
2017-05-25,53,良,123,16,48,18,5,0.49,87,张家口,2017,05
2017-05-26,67,良,175,19,61,20,8,0.58,115,张家口,2017,05
2017-05-27,98,良,254,33,109,25,14,0.76,155,张家口,2017,05
2017-05-28,86,良,168,33,112,16,9,0.61,123,张家口,2017,05
2017-05-29,92,良,237,39,123,19,15,0.74,135,张家口,2017,05
2017-05-30,77,良,209,34,60,21,12,0.73,121,张家口,2017,05
2017-05-31,62,良,127,23,65,21,12,0.58,94,张家口,2017,05
2017-06-01,65,良,188,21,62,18,15,0.59,110,张家口,2017,06
2017-06-02,93,良,273,29,86,16,19,0.72,134,张家口,2017,06
2017-06-03,57,良,174,21,55,18,13,0.57,93,张家口,2017,06
2017-06-04,59,良,196,17,54,15,12,0.49,106,张家口,2017,06
2017-06-05,90,良,356,31,89,19,18,0.63,146,张家口,2017,06
2017-06-06,73,良,344,39,51,22,14,0.65,111,张家口,2017,06
2017-06-07,60,良,197,29,49,21,10,0.55,75,张家口,2017,06
2017-06-08,50,优,127,14,47,16,7,0.5,83,张家口,2017,06
2017-06-09,55,良,173,14,50,18,10,0.54,90,张家口,2017,06
2017-06-10,89,良,325,27,108,19,14,0.67,122,张家口,2017,06
2017-06-11,85,良,315,33,96,28,17,0.77,133,张家口,2017,06
2017-06-12,97,良,336,43,105,24,18,0.76,161,张家口,2017,06
2017-06-13,105,轻度污染,350,63,112,26,16,0.82,152,张家口,2017,06
2017-06-14,80,良,266,38,75,21,8,0.58,121,张家口,2017,06
2017-06-15,80,良,237,22,75,26,7,0.52,127,张家口,2017,06
