日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2017-01-01,426,严重污染,364,266,517,115,49,6.18,17,石家庄,2017,01
2017-01-02,333,严重污染,354,253,415,112,75,5.93,24,石家庄,2017,01
2017-01-03,324,严重污染,353,248,428,111,66,7.35,17,石家庄,2017,01
2017-01-04,405,严重污染,361,278,517,119,41,7.15,20,石家庄,2017,01
2017-01-05,328,严重污染,356,270,423,112,46,6.24,10,石家庄,2017,01
2017-01-06,250,重度污染,351,199,304,80,68,3.88,14,石家庄,2017,01
2017-01-07,293,重度污染,358,242,346,80,53,3.94,8,石家庄,2017,01
2017-01-08,222,重度污染,336,172,296,75,39,4.5,16,石家庄,2017,01
2017-01-09,169,中度污染,332,127,231,64,35,3.17,25,石家庄,2017,01
2017-01-10,143,轻度污染,310,108,170,59,51,1.99,27,石家庄,2017,01
2017-01-11,230,重度污染,355,182,258,81,96,3.39,15,石家庄,2017,01
2017-01-12,116,轻度污染,289,81,141,59,76,1.83,30,石家庄,2017,01
2017-01-13,155,中度污染,336,117,180,63,78,2.41,27,石家庄,2017,01
2017-01-14,186,中度污染,357,144,205,69,87,2.44,19,石家庄,2017,01
2017-01-15,260,重度污染,360,211,287,70,77,2.86,8,石家庄,2017,01
2017-01-16,228,重度污染,349,177,244,62,55,2.24,9,石家庄,2017,01
2017-01-17,257,重度污染,343,207,283,74,79,2.56,14,石家庄,2017,01
2017-01-18,411,严重污染,366,367,484,80,76,3.77,9,石家庄,2017,01
2017-01-19,203,重度污染,340,153,250,39,47,1.79,43,石家庄,2017,01
2017-01-20,81,良,243,52,98,44,62,1.16,38,石家庄,2017,01
2017-01-21,111,轻度污染,314,75,130,44,66,1.6,38,石家庄,2017,01
2017-01-22,95,良,245,68,116,44,62,1.38,37,石家庄,2017,01
2017-01-23,242,重度污染,356,191,262,74,110,3.04,22,石家庄,2017,01
2017-01-24,229,重度污染,341,180,249,79,94,2.78,24,石家庄,2017,01
