日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2017-01-01,364,严重污染,359,315,438,137,66,8.4,4,秦皇岛,2017,01
2017-01-02,136,轻度污染,175,104,154,85,50,3.63,21,秦皇岛,2017,01
2017-01-03,190,中度污染,257,147,209,113,71,4.49,14,秦皇岛,2017,01
2017-01-04,132,轻度污染,171,99,148,74,38,2.51,19,秦皇岛,2017,01
2017-01-05,71,良,111,49,78,55,44,1.15,33,秦皇岛,2017,01
2017-01-06,119,轻度污染,262,87,151,87,89,3.81,13,秦皇岛,2017,01
2017-01-07,113,轻度污染,276,84,129,66,45,2.16,24,秦皇岛,2017,01
2017-01-08,82,良,198,60,83,54,29,1.36,31,秦皇岛,2017,01
2017-01-09,42,优,40,24,40,35,22,0.87,46,秦皇岛,2017,01
2017-01-10,47,优,87,27,48,48,28,1.32,34,秦皇岛,2017,01
2017-01-11,106,轻度污染,275,76,120,83,64,3.02,11,秦皇岛,2017,01
2017-01-12,74,良,204,51,81,59,53,1.26,25,秦皇岛,2017,01
2017-01-13,42,优,71,22,42,41,23,0.82,40,秦皇岛,2017,01
2017-01-14,53,良,118,19,57,37,27,0.66,38,秦皇岛,2017,01
2017-01-15,84,良,234,56,100,60,60,2.37,14,秦皇岛,2017,01
2017-01-16,75,良,168,52,86,50,50,1.45,24,秦皇岛,2017,01
2017-01-17,140,轻度污染,286,106,165,71,78,3.01,7,秦皇岛,2017,01
2017-01-18,78,良,151,52,86,48,36,1.52,35,秦皇岛,2017,01
2017-01-19,66,良,115,38,77,45,32,1.01,32,秦皇岛,2017,01
2017-01-20,42,优,52,25,41,40,34,1.02,51,秦皇岛,2017,01
2017-01-21,59,良,91,39,62,52,52,2.31,41,秦皇岛,2017,01
2017-01-22,42,优,30,25,42,41,30,1.09,44,秦皇岛,2017,01
2017-01-23,57,良,86,37,63,54,46,1.67,32,秦皇岛,2017,01
2017-01-24,120,轻度污染,254,90,132,85,86,3.97,19,秦皇岛,2017,01
2017-01-25,219,重度污染,311,169,224,113,113,5.92,17,秦皇岛,2017,01
2017-01-26,231,重度污染,310,186,243,91,101,4.32,22,秦皇岛,2017,01
2017-01-27,50,优,37,26,49,32,34,1.13,59,秦皇岛,2017,01
2017-01-28,81,良,87,57,84,41,47,1.61,41,秦皇岛,2017,01
2017-01-29,60,良,100,36,61,19,21,0.88,59,秦皇岛,2017,01
2017-01-30,38,优,29,17,31,26,25,0.94,60,秦皇岛,2017,01
2017-01-31,90,良,281,66,98,55,54,2.58,44,秦皇岛,2017,01
2017-02-01,45,优,65,21,38,26,23,1.0,63,秦皇岛,2017,02
2017-02-02,118,轻度污染,277,88,127,67,62,2.95,41,秦皇岛,2017,02
2017-02-03,197,中度污染,328,150,199,78,74,3.37,51,秦皇岛,2017,02
2017-02-04,263,重度污染,349,212,267,83,64,4.4,24,秦皇岛,2017,02
2017-02-05,122,轻度污染,253,91,122,51,37,2.17,45,秦皇岛,2017,02
2017-02-06,42,优,50,18,33,29,21,0.77,67,秦皇岛,2017,02
2017-02-07,62,良,173,40,71,55,46,1.54,31,秦皇岛,2017,02
2017-02-08,60,良,226,36,69,46,40,1.43,41,秦皇岛,2017,02
2017-02-09,38,优,38,14,27,23,15,0.8,72,秦皇岛,2017,02
2017-02-10,41,优,31,17,39,29,20,0.92,64,秦皇岛,2017,02
2017-02-11,57,良,61,35,69,54,49,1.6,33,秦皇岛,2017,02
2017-02-12,76,良,121,54,91,63,56,2.0,23,秦皇岛,2017,02
2017-02-13,97,良,198,72,112,60,42,1.78,42,秦皇岛,2017,02
2017-02-14,105,轻度污染,199,78,123,68,53,2.15,45,秦皇岛,2017,02
2017-02-15,205,重度污染,336,161,214,93,64,3.25,27,秦皇岛,2017,02
2017-02-16,119,轻度污染,252,81,129,52,30,1.44,51,秦皇岛,2017,02
2017-02-17,45,优,40,17,45,39,27,0.94,54,秦皇岛,2017,02
2017-02-18,88,良,191,61,110,69,59,2.11,21,秦皇岛,2017,02
2017-02-19,125,轻度污染,226,89,154,67,42,1.62,26,秦皇岛,2017,02
2017-02-20,49,优,48,15,45,20,15,0.56,79,秦皇岛,2017,02
2017-02-21,75,良,281,47,92,66,43,2.27,27,秦皇岛,2017,02
2017-02-22,104,轻度污染,305,77,101,76,39,2.27,37,秦皇岛,2017,02
2017-02-23,43,优,78,23,39,47,29,1.14,58,秦皇岛,2017,02
2017-02-24,55,良,134,33,59,56,37,1.7,41,秦皇岛,2017,02
2017-02-25,45,优,82,23,41,45,28,1.17,53,秦皇岛,2017,02
2017-02-26,63,良,138,39,75,60,42,1.6,36,秦皇岛,2017,02
2017-02-27,155,中度污染,354,118,180,94,59,2.57,32,秦皇岛,2017,02
2017-02-28,207,重度污染,359,162,242,102,61,3.07,37,秦皇岛,2017,02
2017-03-01,52,良,61,21,52,30,17,0.76,72,秦皇岛,2017,03
2017-03-02,67,良,171,35,83,55,33,1.62,45,秦皇岛,2017,03
2017-03-03,76,良,169,52,97,54,40,1.5,50,秦皇岛,2017,03
2017-03-04,98,良,231,72,109,56,37,1.19,66,秦皇岛,2017,03
2017-03-05,50,优,57,26,51,27,18,0.81,73,秦皇岛,2017,03
2017-03-06,67,良,223,40,83,48,32,1.4,41,秦皇岛,2017,03
2017-03-07,44,优,70,21,42,36,19,1.04,56,秦皇岛,2017,03
2017-03-08,55,良,128,22,61,48,30,1.29,49,秦皇岛,2017,03
2017-03-09,59,良,95,28,67,55,38,1.27,44,秦皇岛,2017,03
2017-03-10,99,良,272,66,122,82,50,2.15,27,秦皇岛,2017,03
2017-03-11,187,中度污染,358,144,212,108,70,2.93,27,秦皇岛,2017,03
2017-03-12,60,良,163,28,61,38,21,0.76,70,秦皇岛,2017,03
2017-03-13,52,良,172,26,56,48,34,1.0,50,秦皇岛,2017,03
2017-03-14,58,良,213,31,66,48,31,1.11,54,秦皇岛,2017,03
2017-03-15,65,良,181,37,79,62,44,1.65,51,秦皇岛,2017,03
2017-03-16,123,轻度污染,349,92,162,89,59,2.3,41,秦皇岛,2017,03
2017-03-17,156,中度污染,353,118,175,88,61,2.63,68,秦皇岛,2017,03
2017-03-18,150,轻度污染,338,113,168,80,48,1.99,65,秦皇岛,2017,03
2017-03-19,116,轻度污染,304,86,139,85,47,1.62,54,秦皇岛,2017,03
2017-03-20,89,良,276,59,104,68,30,1.21,54,秦皇岛,2017,03
2017-03-21,55,良,108,27,64,58,31,1.25,44,秦皇岛,2017,03
