日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2019-01-01,129,轻度污染,310,96,145,71,37,1.65,11,邢台,2019,01
2019-01-02,205,重度污染,348,160,237,85,44,2.54,10,邢台,2019,01
2019-01-03,254,重度污染,358,203,324,105,63,2.89,7,邢台,2019,01
2019-01-04,207,重度污染,314,159,262,96,52,2.1,10,邢台,2019,01
2019-01-05,127,轻度污染,291,93,147,65,27,1.33,18,邢台,2019,01
2019-01-06,135,轻度污染,289,101,171,73,42,1.63,12,邢台,2019,01
2019-01-07,214,重度污染,325,165,242,92,60,2.47,11,邢台,2019,01
2019-01-08,174,中度污染,315,132,198,82,36,1.88,11,邢台,2019,01
2019-01-09,91,良,293,61,122,62,36,1.31,15,邢台,2019,01
2019-01-10,164,中度污染,342,126,200,80,43,2.55,10,邢台,2019,01
2019-01-11,277,重度污染,362,226,300,89,39,2.85,10,邢台,2019,01
2019-01-12,329,严重污染,359,279,362,84,23,3.77,9,邢台,2019,01
2019-01-13,348,严重污染,362,298,390,97,18,4.78,10,邢台,2019,01
2019-01-14,405,严重污染,367,343,494,90,19,4.32,8,邢台,2019,01
2019-01-15,145,轻度污染,305,76,200,39,18,1.22,35,邢台,2019,01
2019-01-16,111,轻度污染,346,64,170,58,49,2.2,13,邢台,2019,01
2019-01-17,112,轻度污染,322,77,163,63,48,2.06,16,邢台,2019,01
2019-01-18,176,中度污染,357,134,221,84,68,2.69,9,邢台,2019,01
2019-01-19,163,中度污染,324,123,195,78,44,1.79,16,邢台,2019,01
2019-01-20,80,良,218,51,106,50,21,0.99,26,邢台,2019,01
2019-01-21,94,良,277,58,135,61,44,1.41,20,邢台,2019,01
2019-01-22,87,良,197,52,121,65,34,1.42,22,邢台,2019,01
2019-01-23,143,轻度污染,343,105,182,84,47,2.2,22,邢台,2019,01
2019-01-24,182,中度污染,342,138,211,85,42,2.13,16,邢台,2019,01
2019-01-25,89,良,204,62,101,47,21,1.18,36,邢台,2019,01
2019-01-26,82,良,221,55,110,50,28,1.36,38,邢台,2019,01
2019-01-27,128,轻度污染,302,95,173,68,45,1.99,17,邢台,2019,01
2019-01-28,150,轻度污染,313,110,186,59,43,1.84,38,邢台,2019,01
2019-01-29,222,重度污染,355,174,278,92,78,3.03,15,邢台,2019,01
2019-01-30,221,重度污染,353,161,283,63,52,2.15,31,邢台,2019,01
2019-01-31,72,良,288,43,92,22,24,0.8,40,邢台,2019,01
2019-02-01,90,良,268,55,123,34,29,1.26,46,邢台,2019,02
2019-02-02,184,中度污染,357,140,175,32,17,1.5,41,邢台,2019,02
2019-02-03,251,重度污染,362,201,278,48,33,2.15,42,邢台,2019,02
2019-02-04,202,重度污染,363,154,258,41,40,1.91,51,邢台,2019,02
2019-02-05,249,重度污染,341,198,295,31,52,1.55,63,邢台,2019,02
2019-02-06,161,中度污染,319,124,197,20,15,1.05,34,邢台,2019,02
2019-02-07,70,良,228,45,63,7,13,0.39,61,邢台,2019,02
2019-02-08,67,良,282,43,72,18,23,1.83,54,邢台,2019,02
2019-02-09,72,良,270,47,77,25,26,0.73,48,邢台,2019,02
