日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2021-01-01,69,良,285,49,82,60,17,1.37,9,天津,2021,01
2021-01-02,72,良,193,52,76,55,14,1.53,10,天津,2021,01
2021-01-03,82,良,224,59,82,59,16,1.75,13,天津,2021,01
2021-01-04,49,优,75,28,55,44,11,1.03,29,天津,2021,01
2021-01-05,29,优,27,11,28,26,6,0.47,46,天津,2021,01
2021-01-06,87,良,246,19,124,24,6,0.52,41,天津,2021,01
2021-01-07,32,优,53,12,31,18,7,0.49,44,天津,2021,01
2021-01-08,33,优,62,14,33,31,6,0.52,39,天津,2021,01
2021-01-09,44,优,109,19,47,38,8,0.56,34,天津,2021,01
2021-01-10,32,优,29,12,32,29,6,0.49,47,天津,2021,01
2021-01-11,57,良,131,28,68,42,9,0.7,25,天津,2021,01
2021-01-12,152,中度污染,323,63,234,55,13,1.05,20,天津,2021,01
2021-01-13,162,中度污染,324,55,247,47,9,0.88,29,天津,2021,01
2021-01-14,82,良,156,45,113,49,11,1.09,20,天津,2021,01
2021-01-15,106,轻度污染,209,55,162,37,8,0.91,33,天津,2021,01
2021-01-16,50,优,83,22,59,33,7,0.62,39,天津,2021,01
2021-01-17,55,良,96,21,64,35,7,0.64,37,天津,2021,01
2021-01-18,67,良,150,30,87,44,9,0.89,31,天津,2021,01
2021-01-19,50,优,63,25,54,34,12,1.15,31,天津,2021,01
2021-01-20,100,良,259,74,102,50,10,1.65,15,天津,2021,01
2021-01-21,136,轻度污染,271,103,118,68,10,1.51,16,天津,2021,01
2021-01-22,118,轻度污染,236,87,100,63,14,1.52,24,天津,2021,01
2021-01-23,76,良,136,56,71,65,11,0.97,21,天津,2021,01
2021-01-24,135,轻度污染,241,102,110,88,16,1.6,14,天津,2021,01
2021-01-25,165,中度污染,304,125,125,95,18,1.87,12,天津,2021,01
2021-01-26,124,轻度污染,274,94,86,62,6,1.1,23,天津,2021,01
2021-01-27,142,轻度污染,311,108,140,76,14,1.5,20,天津,2021,01
2021-01-28,52,良,113,9,64,19,3,0.33,60,天津,2021,01
2021-01-29,66,良,185,33,84,60,13,0.83,20,天津,2021,01
2021-01-30,80,良,222,54,110,62,13,1.18,22,天津,2021,01
2021-01-31,96,良,263,70,104,48,10,1.55,21,天津,2021,01
2021-02-01,68,良,175,41,64,33,4,0.77,42,天津,2021,02
2021-02-02,36,优,46,13,38,27,5,0.48,48,天津,2021,02
2021-02-03,63,良,164,36,75,45,12,0.87,33,天津,2021,02
2021-02-04,67,良,158,37,85,45,13,0.83,40,天津,2021,02
2021-02-05,122,轻度污染,346,92,140,58,11,1.1,40,天津,2021,02
2021-02-06,83,良,262,49,115,50,9,0.85,41,天津,2021,02
2021-02-07,47,优,88,20,50,25,8,0.68,53,天津,2021,02
2021-02-08,65,良,259,46,71,40,9,0.92,46,天津,2021,02
2021-02-09,87,良,291,64,96,41,11,1.03,50,天津,2021,02
2021-02-10,131,轻度污染,332,99,138,49,14,1.24,61,天津,2021,02
2021-02-11,168,中度污染,347,127,156,39,15,1.32,80,天津,2021,02
2021-02-12,216,重度污染,345,166,197,34,15,1.37,58,天津,2021,02
2021-02-13,157,中度污染,343,119,133,45,8,1.75,9,天津,2021,02
2021-02-14,74,良,277,54,62,23,8,1.14,41,天津,2021,02
2021-02-15,31,优,63,12,22,13,5,0.52,67,天津,2021,02
2021-02-16,33,优,70,13,33,10,4,0.51,67,天津,2021,02
2021-02-17,25,优,23,10,21,11,4,0.43,67,天津,2021,02
2021-02-18,55,良,259,35,62,43,8,0.78,41,天津,2021,02
2021-02-19,111,轻度污染,351,82,128,46,10,1.07,46,天津,2021,02
2021-02-20,80,良,304,46,109,54,10,0.84,36,天津,2021,02
2021-02-21,131,轻度污染,352,77,209,55,11,0.92,30,天津,2021,02
2021-02-22,64,良,175,36,83,24,10,0.73,60,天津,2021,02
2021-02-23,47,优,131,19,49,23,8,0.64,57,天津,2021,02
2021-02-24,57,良,225,39,60,41,8,0.89,34,天津,2021,02
2021-02-25,97,良,337,72,93,53,12,1.23,27,天津,2021,02
2021-02-26,118,轻度污染,318,89,110,59,16,1.41,47,天津,2021,02
2021-02-27,113,轻度污染,296,85,99,63,16,1.25,57,天津,2021,02
2021-02-28,109,轻度污染,341,82,91,53,8,1.12,33,天津,2021,02
2021-03-01,27,优,75,15,18,20,5,0.66,68,天津,2021,03
2021-03-02,88,良,348,65,76,36,5,1.04,42,天津,2021,03
2021-03-03,127,轻度污染,353,97,112,50,6,1.22,27,天津,2021,03
2021-03-04,130,轻度污染,352,98,128,60,8,1.28,29,天津,2021,03
2021-03-05,107,轻度污染,342,73,101,50,8,1.31,30,天津,2021,03
2021-03-06,40,优,147,14,40,28,9,0.72,52,天津,2021,03
2021-03-07,64,良,250,42,72,45,8,0.88,35,天津,2021,03
2021-03-08,124,轻度污染,337,94,121,65,13,1.21,38,天津,2021,03
2021-03-09,210,重度污染,366,161,194,76,12,1.47,44,天津,2021,03
2021-03-10,132,轻度污染,340,100,115,54,8,1.0,50,天津,2021,03
2021-03-11,110,轻度污染,329,82,100,46,9,0.9,59,天津,2021,03
2021-03-12,117,轻度污染,342,88,100,48,9,1.07,43,天津,2021,03
2021-03-13,105,轻度污染,311,79,90,47,10,1.25,54,天津,2021,03
2021-03-14,165,中度污染,346,126,140,53,8,1.2,51,天津,2021,03
2021-03-15,365,严重污染,346,204,882,36,5,0.81,47,天津,2021,03
2021-03-16,156,中度污染,254,43,229,28,5,0.56,55,天津,2021,03
2021-03-17,116,轻度污染,273,36,182,61,11,0.83,28,天津,2021,03
2021-03-18,74,良,255,45,96,63,14,1.05,26,天津,2021,03
2021-03-19,100,良,304,74,106,47,7,0.98,40,天津,2021,03
2021-03-20,82,良,226,42,79,21,4,0.69,58,天津,2021,03
2021-03-21,32,优,57,7,32,17,4,0.41,73,天津,2021,03
2021-03-22,145,轻度污染,358,36,225,32,7,0.55,50,天津,2021,03
2021-03-23,86,良,268,50,121,42,12,0.74,59,天津,2021,03
2021-03-24,86,良,261,48,123,39,10,0.71,57,天津,2021,03
2021-03-25,112,轻度污染,322,84,156,63,13,0.95,79,天津,2021,03
2021-03-26,139,轻度污染,350,105,163,72,11,1.14,45,天津,2021,03
2021-03-27,140,轻度污染,340,106,120,51,5,1.23,46,天津,2021,03
2021-03-28,268,重度污染,326,127,521,32,4,0.73,52,天津,2021,03
2021-03-29,93,良,239,22,137,29,5,0.45,66,天津,2021,03
2021-03-30,125,轻度污染,248,57,199,47,10,0.84,62,天津,2021,03
2021-03-31,137,轻度污染,347,86,223,69,16,0.98,73,天津,2021,03
2021-04-01,83,良,309,47,115,58,13,0.9,60,天津,2021,04
2021-04-02,96,良,356,70,124,81,13,1.1,38,天津,2021,04
2021-04-03,56,良,308,33,46,32,5,0.65,58,天津,2021,04
2021-04-04,51,良,275,25,55,41,7,0.6,62,天津,2021,04
2021-04-05,70,良,342,50,76,32,9,0.65,88,天津,2021,04
2021-04-06,61,良,252,42,69,40,8,0.55,89,天津,2021,04
2021-04-07,81,良,327,48,87,47,10,0.81,58,天津,2021,04
2021-04-08,58,良,247,29,66,52,12,0.78,58,天津,2021,04
2021-04-09,62,良,253,39,76,42,16,0.76,79,天津,2021,04
2021-04-10,94,良,344,70,108,47,11,0.92,80,天津,2021,04
2021-04-11,83,良,342,59,94,50,11,0.82,74,天津,2021,04
2021-04-12,73,良,303,52,85,46,8,0.88,42,天津,2021,04
2021-04-13,29,优,68,7,21,18,4,0.37,75,天津,2021,04
2021-04-14,60,良,286,26,71,26,7,0.51,75,天津,2021,04
