日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2023-01-01,66,良,143,43,75,62,12,0.98,18,廊坊,2023,01
2023-01-02,31,优,48,15,30,38,7,0.48,40,廊坊,2023,01
2023-01-03,50,优,101,30,54,62,8,0.66,18,廊坊,2023,01
2023-01-04,95,良,200,70,107,75,12,1.18,13,廊坊,2023,01
2023-01-05,202,重度污染,283,158,214,105,16,1.63,17,廊坊,2023,01
2023-01-06,209,重度污染,300,158,243,99,13,1.51,20,廊坊,2023,01
2023-01-07,100,良,190,59,148,85,10,1.05,8,廊坊,2023,01
2023-01-08,73,良,125,38,99,56,10,0.8,27,廊坊,2023,01
2023-01-09,55,良,108,23,63,43,12,0.71,36,廊坊,2023,01
2023-01-10,49,优,105,29,53,47,10,0.6,33,廊坊,2023,01
2023-01-11,119,轻度污染,235,89,138,85,16,1.19,5,廊坊,2023,01
2023-01-12,132,轻度污染,234,100,153,81,15,1.36,4,廊坊,2023,01
2023-01-13,86,良,201,61,82,39,7,0.7,29,廊坊,2023,01
2023-01-14,24,优,60,4,17,10,5,0.23,70,廊坊,2023,01
2023-01-15,25,优,75,7,22,20,6,0.33,54,廊坊,2023,01
2023-01-16,41,优,89,15,42,36,7,0.51,38,廊坊,2023,01
2023-01-17,77,良,225,27,105,27,7,0.49,49,廊坊,2023,01
2023-01-18,78,良,206,32,109,34,7,0.58,41,廊坊,2023,01
2023-01-19,87,良,209,36,127,33,7,0.62,38,廊坊,2023,01
2023-01-20,38,优,44,9,39,9,6,0.3,60,廊坊,2023,01
2023-01-21,80,良,159,55,92,28,14,0.71,47,廊坊,2023,01
2023-01-22,152,中度污染,223,113,170,31,18,0.85,49,廊坊,2023,01
2023-01-23,65,良,157,31,79,8,7,0.52,60,廊坊,2023,01
2023-01-24,40,优,98,9,41,8,5,0.29,66,廊坊,2023,01
2023-01-25,51,良,115,31,56,20,11,0.61,53,廊坊,2023,01
2023-01-26,59,良,100,27,72,24,7,0.53,45,廊坊,2023,01
2023-01-27,23,优,3,5,18,12,6,0.3,59,廊坊,2023,01
2023-01-28,56,良,133,15,64,25,7,0.45,48,廊坊,2023,01
2023-01-29,65,良,177,22,81,29,7,0.47,49,廊坊,2023,01
2023-01-30,89,良,241,61,116,64,15,0.9,30,廊坊,2023,01
2023-01-31,100,良,233,59,133,62,11,1.0,36,廊坊,2023,01
2023-02-01,39,优,33,8,44,13,6,0.31,67,廊坊,2023,02
2023-02-02,29,优,17,13,28,34,7,0.45,40,廊坊,2023,02
2023-02-03,64,良,182,42,75,54,10,0.8,23,廊坊,2023,02
2023-02-04,61,良,142,40,72,51,9,0.77,38,廊坊,2023,02
2023-02-05,185,中度污染,328,142,204,73,19,1.08,37,廊坊,2023,02
2023-02-06,147,轻度污染,273,111,170,58,17,1.22,42,廊坊,2023,02
2023-02-07,66,良,163,46,76,55,11,0.88,34,廊坊,2023,02
2023-02-08,56,良,135,37,61,46,8,0.65,43,廊坊,2023,02
2023-02-09,64,良,216,45,67,60,16,0.77,21,廊坊,2023,02
2023-02-10,118,轻度污染,300,88,113,45,5,0.97,26,廊坊,2023,02
2023-02-11,204,重度污染,335,154,198,63,7,1.38,11,廊坊,2023,02
2023-02-12,140,轻度污染,335,105,137,48,6,1.08,24,廊坊,2023,02
2023-02-13,27,优,90,9,20,20,5,0.3,68,廊坊,2023,02
2023-02-14,28,优,81,9,24,25,6,0.4,59,廊坊,2023,02
2023-02-15,50,优,169,24,53,42,8,0.53,39,廊坊,2023,02
2023-02-16,96,良,285,71,110,58,12,0.92,33,廊坊,2023,02
2023-02-17,205,重度污染,333,156,219,95,11,1.4,10,廊坊,2023,02
2023-02-18,191,中度污染,329,146,200,77,10,1.41,24,廊坊,2023,02
2023-02-19,39,优,46,8,39,24,9,0.3,66,廊坊,2023,02
2023-02-20,32,优,24,8,31,24,5,0.29,59,廊坊,2023,02
2023-02-21,53,良,150,28,59,50,8,0.63,31,廊坊,2023,02
2023-02-22,83,良,292,61,105,60,11,0.71,31,廊坊,2023,02
2023-02-23,131,轻度污染,324,98,158,66,8,0.84,26,廊坊,2023,02
2023-02-24,80,良,261,53,87,44,8,0.93,47,廊坊,2023,02
