日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2024-01-01,126,轻度污染,262,96,139,48,5,1.08,17,唐山,2024,01
2024-01-02,154,中度污染,298,117,153,53,3,1.1,12,唐山,2024,01
2024-01-03,46,优,97,26,49,37,4,0.63,27,唐山,2024,01
2024-01-04,135,轻度污染,327,101,136,64,8,1.29,11,唐山,2024,01
2024-01-05,48,优,79,25,55,39,6,0.8,27,唐山,2024,01
2024-01-06,45,优,56,26,51,35,4,0.61,23,唐山,2024,01
2024-01-07,31,优,40,14,32,24,5,0.63,33,唐山,2024,01
2024-01-08,68,良,151,43,79,52,10,1.25,12,唐山,2024,01
2024-01-09,76,良,147,51,95,48,13,1.28,14,唐山,2024,01
2024-01-10,75,良,163,48,92,44,8,1.17,16,唐山,2024,01
2024-01-11,133,轻度污染,241,100,148,63,6,1.27,12,唐山,2024,01
2024-01-12,86,良,157,58,106,51,14,1.28,18,唐山,2024,01
2024-01-13,60,良,92,33,68,27,8,0.85,32,唐山,2024,01
2024-01-14,48,优,74,25,54,26,4,0.64,41,唐山,2024,01
2024-01-15,57,良,130,33,66,43,4,0.75,23,唐山,2024,01
2024-01-16,79,良,221,58,99,58,6,1.03,11,唐山,2024,01
2024-01-17,83,良,210,61,77,39,2,0.69,11,唐山,2024,01
2024-01-18,65,良,176,35,69,30,6,0.94,31,唐山,2024,01
2024-01-19,53,良,175,19,56,25,9,0.83,37,唐山,2024,01
2024-01-20,48,优,166,18,50,19,11,0.9,40,唐山,2024,01
2024-01-21,39,优,150,16,40,10,7,0.65,48,唐山,2024,01
2024-01-22,26,优,91,10,24,10,3,0.39,52,唐山,2024,01
2024-01-23,31,优,89,9,31,12,3,0.35,50,唐山,2024,01
2024-01-24,37,优,81,14,38,23,4,0.53,42,唐山,2024,01
2024-01-25,48,优,98,24,53,35,4,0.65,30,唐山,2024,01
2024-01-26,51,良,72,24,56,33,5,0.73,35,唐山,2024,01
2024-01-27,74,良,178,51,95,45,14,1.4,28,唐山,2024,01
2024-01-28,72,良,129,48,85,48,5,0.81,27,唐山,2024,01
2024-01-29,97,良,183,65,126,42,14,1.23,33,唐山,2024,01
2024-01-30,126,轻度污染,226,95,150,49,14,1.57,18,唐山,2024,01
2024-01-31,120,轻度污染,235,85,141,29,9,1.28,35,唐山,2024,01
2024-02-01,48,优,167,23,52,22,9,0.71,41,唐山,2024,02
2024-02-02,74,良,237,49,93,40,13,1.21,22,唐山,2024,02
2024-02-03,70,良,214,50,82,32,14,1.05,37,唐山,2024,02
2024-02-04,85,良,234,62,101,35,17,1.45,33,唐山,2024,02
2024-02-05,94,良,243,69,103,35,11,1.36,36,唐山,2024,02
2024-02-06,80,良,194,55,86,37,7,1.0,34,唐山,2024,02
2024-02-07,114,轻度污染,245,85,120,40,8,1.44,36,唐山,2024,02
2024-02-08,145,轻度污染,254,109,139,40,10,2.32,33,唐山,2024,02
2024-02-09,185,中度污染,271,146,180,37,11,2.18,40,唐山,2024,02
2024-02-10,99,良,76,74,97,12,10,0.89,75,唐山,2024,02
2024-02-11,105,轻度污染,196,77,104,18,6,0.71,65,唐山,2024,02
2024-02-12,184,中度污染,305,139,207,37,17,1.42,61,唐山,2024,02
2024-02-13,189,中度污染,305,144,217,45,17,1.69,50,唐山,2024,02
2024-02-14,124,轻度污染,278,82,137,24,11,1.19,47,唐山,2024,02
2024-02-15,40,优,102,18,39,13,5,0.6,56,唐山,2024,02
2024-02-16,65,良,255,41,79,21,7,0.7,52,唐山,2024,02
2024-02-17,70,良,256,49,79,23,10,0.95,55,唐山,2024,02
2024-02-18,85,良,234,62,87,24,5,1.34,24,唐山,2024,02
2024-02-19,43,优,129,13,45,3,3,0.33,67,唐山,2024,02
2024-02-20,47,优,207,13,49,4,5,0.59,58,唐山,2024,02
2024-02-21,38,优,191,9,38,4,3,0.41,63,唐山,2024,02
2024-02-22,34,优,168,10,33,9,3,0.47,58,唐山,2024,02
2024-02-23,44,优,200,19,44,22,5,0.77,41,唐山,2024,02
2024-02-24,73,良,215,48,82,42,8,1.09,26,唐山,2024,02
2024-02-25,92,良,205,66,105,29,8,0.96,45,唐山,2024,02
2024-02-26,74,良,177,40,92,26,10,0.9,48,唐山,2024,02
2024-02-27,61,良,134,26,71,30,6,0.54,45,唐山,2024,02
2024-02-28,92,良,254,64,121,37,11,1.16,34,唐山,2024,02
2024-02-29,51,良,146,26,58,15,5,0.5,52,唐山,2024,02
2024-03-01,38,优,101,11,39,11,3,0.33,61,唐山,2024,03
2024-03-02,72,良,240,39,91,18,4,0.58,46,唐山,2024,03
2024-03-03,62,良,186,30,74,21,12,1.08,51,唐山,2024,03
2024-03-04,61,良,171,33,73,19,10,0.9,60,唐山,2024,03
2024-03-05,71,良,198,50,87,19,9,0.83,63,唐山,2024,03
2024-03-06,65,良,188,41,77,31,8,0.8,40,唐山,2024,03
2024-03-07,74,良,186,48,85,34,6,0.75,41,唐山,2024,03
2024-03-08,29,优,18,12,26,14,2,0.33,61,唐山,2024,03
2024-03-09,65,良,175,42,79,41,7,0.99,38,唐山,2024,03
2024-03-10,99,良,259,74,122,53,8,1.07,46,唐山,2024,03
2024-03-11,133,轻度污染,304,97,163,46,10,1.29,54,唐山,2024,03
2024-03-12,110,轻度污染,300,79,122,32,3,0.77,65,唐山,2024,03
2024-03-13,90,良,261,66,112,46,4,0.67,65,唐山,2024,03
2024-03-14,142,轻度污染,298,107,166,52,12,1.39,66,唐山,2024,03
2024-03-15,110,轻度污染,274,74,142,27,4,0.72,87,唐山,2024,03
2024-03-16,149,轻度污染,269,81,192,28,7,1.02,76,唐山,2024,03
2024-03-17,52,良,94,16,62,11,3,0.4,75,唐山,2024,03
2024-03-18,79,良,240,46,107,37,8,0.95,49,唐山,2024,03
2024-03-19,107,轻度污染,283,19,137,6,3,0.26,72,唐山,2024,03
2024-03-20,41,优,52,14,45,18,4,0.41,56,唐山,2024,03
2024-03-21,74,良,193,37,98,34,8,0.9,50,唐山,2024,03
2024-03-22,59,良,133,34,69,20,4,0.78,68,唐山,2024,03
2024-03-23,85,良,243,62,110,29,7,1.36,64,唐山,2024,03
2024-03-24,65,良,270,37,80,20,10,1.29,51,唐山,2024,03
2024-03-25,65,良,288,47,66,26,2,1.02,27,唐山,2024,03
2024-03-26,71,良,267,51,70,30,3,1.0,48,唐山,2024,03
2024-03-27,97,良,282,73,104,36,7,1.13,46,唐山,2024,03
2024-03-28,216,重度污染,280,66,360,18,3,0.45,57,唐山,2024,03
2024-03-29,111,轻度污染,272,32,170,19,4,0.39,59,唐山,2024,03
2024-03-30,90,良,263,32,132,20,3,0.48,57,唐山,2024,03
2024-03-31,75,良,216,35,99,27,13,1.2,59,唐山,2024,03
2024-04-01,107,轻度污染,283,38,153,21,10,1.0,76,唐山,2024,04
2024-04-02,60,良,192,30,70,16,7,0.73,81,唐山,2024,04
2024-04-03,61,良,223,25,74,31,8,0.8,46,唐山,2024,04
2024-04-04,62,良,241,25,74,29,7,0.74,49,唐山,2024,04
2024-04-05,70,良,269,43,84,35,7,0.68,70,唐山,2024,04
2024-04-06,90,良,287,64,112,38,4,0.65,78,唐山,2024,04
2024-04-07,88,良,284,57,113,33,6,0.77,72,唐山,2024,04
2024-04-08,125,轻度污染,302,44,191,24,6,0.7,65,唐山,2024,04
2024-04-09,64,良,235,29,77,26,6,0.92,48,唐山,2024,04
2024-04-10,62,良,209,41,75,41,7,0.99,40,唐山,2024,04
