日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2024-01-01,76,良,115,51,96,48,10,1.06,13,承德,2024,01
2024-01-02,104,轻度污染,207,77,128,54,15,1.77,12,承德,2024,01
2024-01-03,49,优,111,24,55,36,11,0.77,30,承德,2024,01
2024-01-04,61,良,146,32,73,33,10,0.96,31,承德,2024,01
2024-01-05,48,优,76,23,53,34,12,0.82,29,承德,2024,01
2024-01-06,39,优,40,19,42,22,7,0.59,37,承德,2024,01
2024-01-07,42,优,77,21,45,30,9,0.58,28,承德,2024,01
2024-01-08,67,良,150,42,75,42,10,0.97,14,承德,2024,01
2024-01-09,74,良,145,48,88,37,11,1.03,29,承德,2024,01
2024-01-10,51,良,88,27,56,41,13,0.91,23,承德,2024,01
2024-01-11,68,良,108,43,83,47,10,1.16,15,承德,2024,01
2024-01-12,70,良,114,43,85,48,15,1.15,16,承德,2024,01
2024-01-13,81,良,141,58,101,48,15,1.4,18,承德,2024,01
2024-01-14,38,优,44,12,39,13,5,0.3,64,承德,2024,01
2024-01-15,52,良,102,24,58,41,14,0.78,24,承德,2024,01
2024-01-16,76,良,205,49,96,49,20,1.37,13,承德,2024,01
2024-01-17,102,轻度污染,258,76,118,55,11,1.47,12,承德,2024,01
2024-01-18,77,良,215,52,86,42,6,0.94,23,承德,2024,01
2024-01-19,40,优,113,20,43,27,6,0.61,40,承德,2024,01
2024-01-20,28,优,52,13,26,13,5,0.35,58,承德,2024,01
2024-01-21,31,优,91,9,31,4,4,0.24,68,承德,2024,01
2024-01-22,27,优,97,9,26,9,4,0.28,63,承德,2024,01
2024-01-23,30,优,83,9,29,10,6,0.28,65,承德,2024,01
2024-01-24,35,优,62,12,35,18,6,0.36,58,承德,2024,01
2024-01-25,36,优,33,12,36,20,6,0.39,58,承德,2024,01
2024-01-26,50,优,64,14,53,22,6,0.4,54,承德,2024,01
2024-01-27,48,优,63,19,51,31,11,0.55,42,承德,2024,01
2024-01-28,49,优,69,24,53,37,13,0.67,37,承德,2024,01
2024-01-29,63,良,94,38,74,44,11,0.92,27,承德,2024,01
2024-01-30,119,轻度污染,217,89,147,57,13,1.72,16,承德,2024,01
2024-01-31,70,良,157,40,74,29,7,0.75,52,承德,2024,01
2024-02-01,50,优,179,20,53,32,9,0.55,39,承德,2024,02
2024-02-02,67,良,226,36,84,46,16,0.95,17,承德,2024,02
2024-02-03,66,良,210,40,83,45,15,0.99,22,承德,2024,02
2024-02-04,57,良,186,33,65,42,9,0.85,26,承德,2024,02
2024-02-05,55,良,145,36,64,40,10,0.88,29,承德,2024,02
2024-02-06,51,良,121,27,54,26,7,0.63,48,承德,2024,02
2024-02-07,40,优,87,18,40,20,7,0.47,62,承德,2024,02
2024-02-08,41,优,74,19,43,24,13,0.58,53,承德,2024,02
2024-02-09,52,良,61,31,56,20,11,0.63,57,承德,2024,02
2024-02-10,67,良,38,47,69,17,14,0.52,62,承德,2024,02
2024-02-11,61,良,62,40,69,27,18,0.87,42,承德,2024,02
2024-02-12,74,良,165,51,85,30,14,1.03,42,承德,2024,02
2024-02-13,115,轻度污染,278,86,134,39,15,1.22,49,承德,2024,02
2024-02-14,80,良,226,53,90,25,8,0.8,51,承德,2024,02
2024-02-15,34,优,52,14,32,17,7,0.39,58,承德,2024,02
2024-02-16,58,良,223,30,66,28,11,0.68,47,承德,2024,02
2024-02-17,81,良,271,58,102,37,10,0.98,45,承德,2024,02
2024-02-18,89,良,243,60,105,43,11,1.06,34,承德,2024,02
2024-02-19,37,优,78,9,37,5,6,0.24,80,承德,2024,02
2024-02-20,34,优,141,9,34,11,6,0.33,63,承德,2024,02
2024-02-21,29,优,119,8,26,9,5,0.3,67,承德,2024,02
2024-02-22,37,优,187,12,35,20,5,0.4,53,承德,2024,02
2024-02-23,43,优,176,18,44,29,6,0.55,36,承德,2024,02
2024-02-24,70,良,205,37,82,40,21,0.82,26,承德,2024,02
2024-02-25,47,优,89,12,49,14,5,0.3,64,承德,2024,02
2024-02-26,59,良,136,20,68,23,8,0.52,49,承德,2024,02
2024-02-27,82,良,213,57,101,35,10,1.02,39,承德,2024,02
2024-02-28,72,良,180,40,83,32,10,0.61,41,承德,2024,02
2024-02-29,41,优,100,11,41,8,7,0.23,78,承德,2024,02
2024-03-01,35,优,78,10,35,21,12,0.45,57,承德,2024,03
2024-03-02,46,优,91,16,49,24,9,0.51,50,承德,2024,03
2024-03-03,35,优,42,13,32,21,9,0.4,59,承德,2024,03
2024-03-04,56,良,146,26,64,37,9,0.7,38,承德,2024,03
2024-03-05,66,良,179,44,75,27,9,0.64,58,承德,2024,03
2024-03-06,44,优,100,23,41,26,8,0.48,51,承德,2024,03
2024-03-07,44,优,77,16,45,26,10,0.48,46,承德,2024,03
2024-03-08,33,优,31,12,29,19,6,0.34,61,承德,2024,03
2024-03-09,50,优,74,25,55,34,12,0.64,40,承德,2024,03
2024-03-10,78,良,180,54,100,43,11,0.82,46,承德,2024,03
2024-03-11,74,良,201,45,87,33,8,0.62,55,承德,2024,03
2024-03-12,42,优,66,15,40,27,10,0.45,55,承德,2024,03
2024-03-13,46,优,59,19,47,28,8,0.46,54,承德,2024,03
2024-03-14,46,优,59,17,49,31,15,0.55,53,承德,2024,03
2024-03-15,82,良,215,52,113,34,11,0.73,88,承德,2024,03
2024-03-16,125,轻度污染,254,41,177,23,9,0.52,91,承德,2024,03
2024-03-17,36,优,35,9,32,13,8,0.3,82,承德,2024,03
2024-03-18,88,良,257,25,122,19,8,0.44,66,承德,2024,03
2024-03-19,45,优,106,10,50,5,6,0.22,85,承德,2024,03
2024-03-20,34,优,34,10,27,18,9,0.36,62,承德,2024,03
2024-03-21,62,良,117,24,75,29,11,0.58,61,承德,2024,03
2024-03-22,56,良,111,26,65,24,8,0.48,68,承德,2024,03
2024-03-23,54,良,124,19,59,30,9,0.49,57,承德,2024,03
2024-03-24,50,优,196,24,57,21,6,0.41,70,承德,2024,03
2024-03-25,47,优,222,28,49,23,6,0.44,57,承德,2024,03
2024-03-26,65,良,249,41,72,29,8,0.6,70,承德,2024,03
2024-03-27,94,良,277,70,100,36,9,0.93,39,承德,2024,03
2024-03-28,232,重度污染,288,76,495,8,9,0.29,86,承德,2024,03
2024-03-29,88,良,240,16,117,9,7,0.24,80,承德,2024,03
2024-03-30,59,良,181,16,75,17,6,0.25,66,承德,2024,03
2024-03-31,43,优,95,12,44,22,10,0.4,65,承德,2024,03
2024-04-01,55,良,158,25,61,18,9,0.42,90,承德,2024,04
2024-04-02,62,良,198,26,73,23,8,0.44,95,承德,2024,04
2024-04-03,34,优,73,9,31,16,6,0.25,73,承德,2024,04
2024-04-04,55,良,211,15,64,12,13,0.37,82,承德,2024,04
2024-04-05,62,良,227,30,75,25,23,0.64,84,承德,2024,04
2024-04-06,56,良,201,26,67,25,12,0.45,71,承德,2024,04
2024-04-07,48,优,157,12,51,24,12,0.3,55,承德,2024,04
2024-04-08,49,优,167,13,52,11,6,0.23,81,承德,2024,04
2024-04-09,52,良,175,17,55,17,9,0.4,73,承德,2024,04
2024-04-10,49,优,129,20,52,27,17,0.65,59,承德,2024,04
2024-04-11,54,良,143,30,62,23,10,0.53,82,承德,2024,04
2024-04-12,87,良,282,61,116,36,10,0.65,111,承德,2024,04
2024-04-13,67,良,241,42,82,27,7,0.53,117,承德,2024,04
2024-04-14,49,优,164,30,51,20,6,0.75,74,承德,2024,04
2024-04-15,131,轻度污染,272,33,172,11,6,0.35,66,承德,2024,04
2024-04-16,45,优,78,8,46,22,8,0.23,61,承德,2024,04
2024-04-17,56,良,173,16,65,26,16,0.42,82,承德,2024,04
2024-04-18,67,良,217,26,87,23,9,0.43,99,承德,2024,04
2024-04-19,48,优,148,12,55,10,8,0.33,84,承德,2024,04
2024-04-20,33,优,70,12,32,21,7,0.34,63,承德,2024,04
2024-04-21,49,优,133,22,53,23,14,0.5,83,承德,2024,04
2024-04-22,61,良,185,30,74,21,8,0.4,83,承德,2024,04
2024-04-23,26,优,20,9,21,14,6,0.23,57,承德,2024,04
2024-04-24,36,优,56,12,37,20,9,0.41,54,承德,2024,04
2024-04-25,83,良,267,38,116,29,9,0.51,98,承德,2024,04
2024-04-26,79,良,273,39,107,26,8,0.54,74,承德,2024,04
2024-04-27,50,优,136,23,56,17,7,0.36,58,承德,2024,04
2024-04-28,23,优,6,9,18,9,6,0.2,67,承德,2024,04
2024-04-29,21,优,5,8,17,14,6,0.26,50,承德,2024,04
2024-04-30,31,优,96,9,28,19,9,0.36,44,承德,2024,04
2024-05-01,40,优,134,10,37,24,12,0.38,60,承德,2024,05
2024-05-02,51,良,201,18,52,23,16,0.43,95,承德,2024,05
2024-05-03,58,良,249,26,62,22,10,0.44,116,承德,2024,05
2024-05-04,61,良,272,30,67,23,11,0.49,123,承德,2024,05
2024-05-05,69,良,280,37,86,25,10,0.59,90,承德,2024,05
2024-05-06,56,良,199,18,66,13,6,0.25,91,承德,2024,05
2024-05-07,48,优,126,16,49,21,6,0.28,73,承德,2024,05
2024-05-08,51,良,134,19,51,23,14,0.4,94,承德,2024,05
2024-05-09,78,良,286,27,88,19,10,0.51,136,承德,2024,05
2024-05-10,128,轻度污染,294,57,255,20,10,0.57,111,承德,2024,05
2024-05-11,162,中度污染,281,48,235,6,7,0.2,81,承德,2024,05
2024-05-12,34,优,63,9,29,15,6,0.24,61,承德,2024,05
2024-05-13,40,优,75,9,33,20,10,0.35,77,承德,2024,05
2024-05-14,50,优,99,15,54,16,7,0.3,92,承德,2024,05
2024-05-15,31,优,28,7,23,10,7,0.25,79,承德,2024,05
2024-05-16,45,优,81,10,44,22,10,0.4,88,承德,2024,05
2024-05-17,71,良,222,25,65,22,12,0.52,135,承德,2024,05
2024-05-18,83,良,257,30,71,20,9,0.59,157,承德,2024,05
2024-05-19,53,良,196,31,55,12,7,0.41,110,承德,2024,05
2024-05-20,30,优,95,10,22,12,8,0.25,72,承德,2024,05
2024-05-21,45,优,191,17,40,19,11,0.51,103,承德,2024,05
2024-05-22,62,良,246,29,60,20,14,0.71,132,承德,2024,05
2024-05-23,69,良,253,38,79,17,7,0.45,90,承德,2024,05
2024-05-24,23,优,33,10,22,18,6,0.24,52,承德,2024,05
2024-05-25,25,优,40,12,23,19,6,0.32,47,承德,2024,05
2024-05-26,28,优,93,8,24,11,7,0.27,69,承德,2024,05
