日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2024-01-01,122,轻度污染,252,92,116,49,5,1.14,22,邯郸,2024,01
2024-01-02,196,中度污染,324,151,186,67,11,1.98,15,邯郸,2024,01
2024-01-03,126,轻度污染,295,94,122,49,7,1.44,30,邯郸,2024,01
2024-01-04,87,良,254,64,99,49,8,1.19,23,邯郸,2024,01
2024-01-05,143,轻度污染,325,108,143,60,7,1.38,25,邯郸,2024,01
2024-01-06,79,良,171,53,83,39,4,0.79,30,邯郸,2024,01
2024-01-07,49,优,90,29,52,35,4,0.65,28,邯郸,2024,01
2024-01-08,86,良,199,63,98,47,7,0.94,17,邯郸,2024,01
2024-01-09,119,轻度污染,241,90,126,59,6,1.14,15,邯郸,2024,01
2024-01-10,107,轻度污染,225,80,112,46,9,1.21,26,邯郸,2024,01
2024-01-11,172,中度污染,289,131,170,52,10,1.31,28,邯郸,2024,01
2024-01-12,261,重度污染,300,211,251,59,10,1.73,29,邯郸,2024,01
2024-01-13,315,严重污染,296,265,309,80,7,1.99,12,邯郸,2024,01
2024-01-14,100,良,194,71,95,39,5,0.84,34,邯郸,2024,01
2024-01-15,49,优,87,27,52,35,4,0.63,35,邯郸,2024,01
2024-01-16,47,优,78,32,32,16,2,0.37,52,邯郸,2024,01
2024-01-17,99,良,254,73,70,29,3,0.8,36,邯郸,2024,01
2024-01-18,119,轻度污染,280,90,96,27,2,0.83,29,邯郸,2024,01
2024-01-19,60,良,201,41,57,29,3,0.64,39,邯郸,2024,01
2024-01-20,41,优,115,22,42,22,4,0.58,43,邯郸,2024,01
2024-01-21,54,良,210,31,58,30,4,0.63,32,邯郸,2024,01
2024-01-22,28,优,111,12,28,19,5,0.55,48,邯郸,2024,01
2024-01-23,37,优,142,21,38,30,8,0.67,38,邯郸,2024,01
2024-01-24,58,良,238,38,65,42,16,1.35,29,邯郸,2024,01
2024-01-25,78,良,267,57,88,54,20,1.56,22,邯郸,2024,01
2024-01-26,73,良,192,51,83,50,16,1.21,26,邯郸,2024,01
2024-01-27,77,良,186,56,92,51,14,0.96,25,邯郸,2024,01
2024-01-28,94,良,219,70,108,52,15,1.16,29,邯郸,2024,01
2024-01-29,145,轻度污染,292,110,154,65,14,1.34,26,邯郸,2024,01
2024-01-30,196,中度污染,291,149,180,53,8,1.25,8,邯郸,2024,01
2024-01-31,200,中度污染,282,155,189,38,3,1.21,13,邯郸,2024,01
2024-02-01,50,优,176,32,51,13,3,0.38,56,邯郸,2024,02
2024-02-02,48,优,154,31,48,21,6,0.5,47,邯郸,2024,02
2024-02-03,85,良,246,62,73,20,4,0.68,51,邯郸,2024,02
2024-02-04,92,良,250,69,85,27,7,0.83,51,邯郸,2024,02
2024-02-05,127,轻度污染,287,96,104,21,5,0.97,59,邯郸,2024,02
2024-02-06,172,中度污染,293,130,138,27,7,1.14,64,邯郸,2024,02
2024-02-07,195,中度污染,297,149,159,32,9,1.38,66,邯郸,2024,02
2024-02-08,222,重度污染,301,173,188,29,8,1.52,71,邯郸,2024,02
2024-02-09,225,重度污染,296,192,218,26,13,1.28,71,邯郸,2024,02
2024-02-10,305,严重污染,287,255,300,24,25,1.23,76,邯郸,2024,02
2024-02-11,116,轻度污染,223,84,130,12,10,0.71,72,邯郸,2024,02
2024-02-12,112,轻度污染,273,84,138,18,13,0.93,65,邯郸,2024,02
2024-02-13,123,轻度污染,286,92,131,19,14,1.12,74,邯郸,2024,02
2024-02-14,158,中度污染,294,118,187,15,10,1.21,83,邯郸,2024,02
2024-02-15,46,优,149,21,49,5,5,0.42,65,邯郸,2024,02
2024-02-16,65,良,256,37,79,7,6,0.55,67,邯郸,2024,02
2024-02-17,59,良,222,39,66,8,6,0.53,64,邯郸,2024,02
2024-02-18,109,轻度污染,256,82,114,16,7,0.8,55,邯郸,2024,02
2024-02-19,65,良,188,23,77,7,4,0.45,53,邯郸,2024,02
2024-02-20,52,良,224,13,60,5,3,0.42,55,邯郸,2024,02
2024-02-21,49,优,238,18,55,7,2,0.53,61,邯郸,2024,02
2024-02-22,28,优,98,14,24,10,5,0.42,78,邯郸,2024,02
2024-02-23,37,优,145,24,35,18,6,0.55,75,邯郸,2024,02
2024-02-24,40,优,93,27,38,14,6,0.45,66,邯郸,2024,02
2024-02-25,105,轻度污染,233,78,103,29,12,0.9,62,邯郸,2024,02
2024-02-26,93,良,238,67,101,32,8,0.71,59,邯郸,2024,02
2024-02-27,87,良,228,64,101,21,9,0.7,73,邯郸,2024,02
2024-02-28,132,轻度污染,295,100,141,29,6,0.79,55,邯郸,2024,02
2024-02-29,100,良,279,74,114,22,6,0.89,48,邯郸,2024,02
2024-03-01,77,良,263,54,85,27,5,0.61,50,邯郸,2024,03
2024-03-02,77,良,255,47,81,20,7,0.65,58,邯郸,2024,03
2024-03-03,70,良,219,42,89,32,12,0.84,55,邯郸,2024,03
2024-03-04,84,良,239,61,114,29,7,0.66,41,邯郸,2024,03
2024-03-05,92,良,246,68,102,21,6,0.87,44,邯郸,2024,03
2024-03-06,77,良,221,56,75,15,5,0.6,75,邯郸,2024,03
2024-03-07,80,良,206,46,84,22,5,0.67,58,邯郸,2024,03
2024-03-08,34,优,36,11,34,15,5,0.37,63,邯郸,2024,03
2024-03-09,67,良,191,38,84,23,7,0.43,65,邯郸,2024,03
2024-03-10,86,良,213,63,109,22,7,0.59,71,邯郸,2024,03
2024-03-11,80,良,222,43,105,26,13,0.84,70,邯郸,2024,03
2024-03-12,101,轻度污染,287,73,113,16,6,0.66,94,邯郸,2024,03
2024-03-13,95,良,274,71,120,31,9,0.76,76,邯郸,2024,03
2024-03-14,109,轻度污染,274,82,130,27,10,0.85,84,邯郸,2024,03
2024-03-15,73,良,186,48,81,10,5,0.49,103,邯郸,2024,03
2024-03-16,90,良,201,60,114,18,8,0.66,100,邯郸,2024,03
2024-03-17,70,良,166,22,94,11,3,0.28,74,邯郸,2024,03
2024-03-18,82,良,247,29,113,18,7,0.55,63,邯郸,2024,03
2024-03-19,83,良,238,18,116,11,4,0.34,73,邯郸,2024,03
2024-03-20,73,良,208,20,96,16,4,0.34,67,邯郸,2024,03
2024-03-21,98,良,283,56,144,25,8,0.58,71,邯郸,2024,03
2024-03-22,110,轻度污染,283,80,165,25,8,0.64,81,邯郸,2024,03
2024-03-23,106,轻度污染,292,79,157,48,12,1.11,56,邯郸,2024,03
2024-03-24,78,良,287,52,103,27,9,0.83,51,邯郸,2024,03
2024-03-25,45,优,203,30,40,6,3,0.45,85,邯郸,2024,03
2024-03-26,76,良,276,56,71,14,6,0.59,73,邯郸,2024,03
2024-03-27,61,良,193,41,59,9,5,0.43,75,邯郸,2024,03
2024-03-28,199,中度污染,271,70,295,18,5,0.57,59,邯郸,2024,03
2024-03-29,182,中度污染,304,55,279,24,6,0.5,59,邯郸,2024,03
2024-03-30,112,轻度污染,290,43,175,25,7,0.58,66,邯郸,2024,03
2024-03-31,84,良,251,53,118,23,9,0.63,91,邯郸,2024,03
2024-04-01,121,轻度污染,292,88,162,31,7,0.8,58,邯郸,2024,04
2024-04-02,89,良,262,56,122,20,7,0.66,83,邯郸,2024,04
2024-04-03,57,良,205,32,68,12,6,0.59,84,邯郸,2024,04
2024-04-04,43,优,115,28,45,15,6,0.54,67,邯郸,2024,04
2024-04-05,68,良,258,47,75,21,8,0.67,68,邯郸,2024,04
2024-04-06,85,良,281,62,102,23,11,0.86,84,邯郸,2024,04
2024-04-07,75,良,265,50,91,19,9,0.7,91,邯郸,2024,04
2024-04-08,74,良,258,34,99,22,10,0.68,89,邯郸,2024,04
2024-04-09,63,良,225,24,77,16,5,0.43,83,邯郸,2024,04
2024-04-10,92,良,277,66,119,35,9,0.68,73,邯郸,2024,04
2024-04-11,107,轻度污染,288,75,121,29,9,0.76,85,邯郸,2024,04
2024-04-12,59,良,171,37,64,12,7,0.57,87,邯郸,2024,04
2024-04-13,60,良,212,41,64,11,6,0.5,97,邯郸,2024,04
2024-04-14,49,优,168,34,43,14,5,0.48,62,邯郸,2024,04
2024-04-15,77,良,216,40,96,21,7,0.57,72,邯郸,2024,04
2024-04-16,87,良,251,40,124,34,11,0.71,81,邯郸,2024,04
2024-04-17,85,良,260,46,120,24,10,0.67,106,邯郸,2024,04
2024-04-18,77,良,253,43,104,23,11,0.7,107,邯郸,2024,04
2024-04-19,74,良,238,39,98,21,8,0.53,96,邯郸,2024,04
2024-04-20,66,良,214,26,81,17,8,0.51,108,邯郸,2024,04
2024-04-21,76,良,236,51,96,29,9,0.7,117,邯郸,2024,04
2024-04-22,88,良,262,63,106,19,11,0.78,113,邯郸,2024,04
2024-04-23,70,良,230,24,94,17,7,0.54,80,邯郸,2024,04
2024-04-24,69,良,210,26,89,23,11,0.55,83,邯郸,2024,04
2024-04-25,87,良,278,41,124,14,9,0.56,107,邯郸,2024,04
2024-04-26,69,良,221,34,88,11,8,0.52,111,邯郸,2024,04
2024-04-27,69,良,246,42,84,15,7,0.58,121,邯郸,2024,04
2024-04-28,68,良,267,37,82,12,7,0.45,99,邯郸,2024,04
2024-04-29,52,良,227,24,55,14,7,0.49,77,邯郸,2024,04
2024-04-30,52,良,251,27,53,16,6,0.49,72,邯郸,2024,04
2024-05-01,48,优,205,20,47,18,9,0.59,96,邯郸,2024,05
2024-05-02,56,良,239,29,61,15,9,0.44,115,邯郸,2024,05
2024-05-03,56,良,239,29,58,17,9,0.52,121,邯郸,2024,05
2024-05-04,45,优,189,26,44,17,10,0.83,98,邯郸,2024,05
2024-05-05,56,良,235,38,53,11,9,0.48,101,邯郸,2024,05
2024-05-06,78,良,286,57,79,17,10,0.65,95,邯郸,2024,05
2024-05-07,81,良,291,55,84,21,10,0.68,106,邯郸,2024,05
2024-05-08,62,良,212,32,73,16,10,0.45,123,邯郸,2024,05
2024-05-09,65,良,234,28,79,13,9,0.55,122,邯郸,2024,05
2024-05-10,63,良,214,32,74,11,8,0.56,129,邯郸,2024,05
2024-05-11,142,轻度污染,271,58,214,11,6,0.37,91,邯郸,2024,05
2024-05-12,100,良,260,53,150,22,13,0.68,108,邯郸,2024,05
2024-05-13,95,良,275,51,140,21,13,0.64,136,邯郸,2024,05
2024-05-14,87,良,261,44,114,15,12,0.63,145,邯郸,2024,05
2024-05-15,46,优,100,11,51,7,5,0.28,94,邯郸,2024,05
2024-05-16,54,良,140,23,59,18,13,0.63,105,邯郸,2024,05
2024-05-17,72,良,231,34,74,15,10,0.71,145,邯郸,2024,05
2024-05-18,90,良,277,47,104,30,11,0.76,132,邯郸,2024,05
2024-05-19,77,良,272,43,93,13,9,0.66,127,邯郸,2024,05
2024-05-20,41,优,181,22,41,5,5,0.44,91,邯郸,2024,05
2024-05-21,66,良,276,38,65,13,7,0.55,119,邯郸,2024,05
2024-05-22,62,良,248,32,70,13,8,0.53,126,邯郸,2024,05
2024-05-23,77,良,273,34,75,12,9,0.53,150,邯郸,2024,05
2024-05-24,61,良,221,36,72,9,5,0.45,75,邯郸,2024,05
2024-05-25,67,良,266,47,70,14,5,0.58,61,邯郸,2024,05
2024-05-26,70,良,291,40,69,14,5,0.52,74,邯郸,2024,05
2024-05-27,52,良,267,15,46,17,7,0.35,113,邯郸,2024,05
2024-05-28,61,良,256,21,55,17,9,0.36,130,邯郸,2024,05
2024-05-29,63,良,254,24,69,11,7,0.38,145,邯郸,2024,05
2024-05-30,65,良,272,23,48,13,9,0.58,151,邯郸,2024,05
2024-05-31,53,良,227,17,58,11,5,0.3,114,邯郸,2024,05
2024-06-01,51,良,224,13,45,15,6,0.27,122,邯郸,2024,06
2024-06-02,75,良,288,28,79,16,9,0.59,141,邯郸,2024,06
2024-06-03,72,良,274,25,65,13,7,0.48,149,邯郸,2024,06
2024-06-04,81,良,294,39,102,25,10,0.53,137,邯郸,2024,06
2024-06-05,76,良,296,44,99,21,9,0.63,129,邯郸,2024,06
2024-06-06,85,良,302,40,108,17,7,0.52,139,邯郸,2024,06
2024-06-07,65,良,285,32,75,12,5,0.6,127,邯郸,2024,06
2024-06-08,69,良,279,36,64,21,8,0.93,113,邯郸,2024,06
2024-06-09,75,良,266,24,64,21,10,0.7,129,邯郸,2024,06
2024-06-10,74,良,267,24,66,22,9,0.68,134,邯郸,2024,06
2024-06-11,72,良,268,29,69,15,7,0.6,150,邯郸,2024,06
2024-06-12,73,良,265,23,55,19,9,0.65,151,邯郸,2024,06
2024-06-13,74,良,262,26,68,15,8,0.54,151,邯郸,2024,06
2024-06-14,70,良,269,27,68,14,7,0.75,140,邯郸,2024,06
2024-06-15,72,良,269,24,55,16,7,0.8,142,邯郸,2024,06
2024-06-16,52,良,239,28,51,12,4,0.5,125,邯郸,2024,06
2024-06-17,70,良,270,34,56,12,4,0.67,125,邯郸,2024,06
2024-06-18,69,良,251,25,55,9,4,0.51,154,邯郸,2024,06
2024-06-19,75,良,274,23,50,9,3,0.43,163,邯郸,2024,06
2024-06-20,80,良,287,30,58,12,4,0.46,169,邯郸,2024,06
2024-06-21,49,优,257,28,49,12,3,0.62,123,邯郸,2024,06
2024-06-22,60,良,244,33,61,9,3,0.67,139,邯郸,2024,06
2024-06-23,111,轻度污染,287,45,170,18,8,0.73,96,邯郸,2024,06
2024-06-24,65,良,244,24,80,10,2,0.37,95,邯郸,2024,06
2024-06-25,67,良,239,29,81,23,7,0.55,115,邯郸,2024,06
2024-06-26,75,良,267,30,91,9,4,0.43,142,邯郸,2024,06
2024-06-27,57,良,224,14,44,9,4,0.35,140,邯郸,2024,06
2024-06-28,70,良,275,25,65,12,4,0.44,149,邯郸,2024,06
2024-06-29,51,良,253,15,42,9,3,0.51,125,邯郸,2024,06
2024-06-30,69,良,295,22,52,9,5,0.63,157,邯郸,2024,06
2024-07-01,38,优,197,16,32,9,3,0.67,110,邯郸,2024,07
2024-07-02,42,优,227,24,33,4,2,0.56,115,邯郸,2024,07
2024-07-03,50,优,256,31,47,7,3,0.57,113,邯郸,2024,07
2024-07-04,63,良,285,36,60,9,3,0.59,121,邯郸,2024,07
2024-07-05,40,优,232,25,39,9,2,0.5,79,邯郸,2024,07
2024-07-06,38,优,216,20,34,5,3,0.65,109,邯郸,2024,07
2024-07-07,46,优,258,26,46,9,3,0.78,104,邯郸,2024,07
2024-07-08,41,优,228,21,40,9,3,0.5,91,邯郸,2024,07
2024-07-09,50,优,227,33,50,7,2,0.52,117,邯郸,2024,07
2024-07-10,70,良,264,41,68,9,3,0.52,145,邯郸,2024,07
2024-07-11,76,良,286,54,86,10,3,0.73,123,邯郸,2024,07
2024-07-12,49,优,232,28,48,5,2,0.5,104,邯郸,2024,07
2024-07-13,55,良,264,36,61,11,2,0.56,103,邯郸,2024,07
2024-07-14,90,良,325,67,95,7,2,0.92,135,邯郸,2024,07
2024-07-15,88,良,326,65,98,9,2,0.75,124,邯郸,2024,07
2024-07-16,51,良,302,34,47,5,1,0.72,100,邯郸,2024,07
2024-07-17,47,优,308,30,47,9,1,0.62,85,邯郸,2024,07
2024-07-18,49,优,278,19,38,10,3,0.95,107,邯郸,2024,07
2024-07-19,41,优,266,21,39,4,2,0.58,89,邯郸,2024,07
2024-07-20,35,优,241,6,20,3,2,0.38,110,邯郸,2024,07
2024-07-21,38,优,240,19,35,4,2,0.47,87,邯郸,2024,07
2024-07-22,40,优,256,22,40,6,2,0.78,75,邯郸,2024,07
2024-07-23,38,优,236,18,40,12,2,0.97,59,邯郸,2024,07
2024-07-24,46,优,249,26,46,7,2,0.5,79,邯郸,2024,07
2024-07-25,21,优,51,9,15,5,2,0.42,63,邯郸,2024,07
2024-07-26,32,优,201,17,26,6,2,0.43,72,邯郸,2024,07
2024-07-27,35,优,229,15,30,5,1,0.38,89,邯郸,2024,07
2024-07-28,27,优,215,11,22,4,1,0.3,71,邯郸,2024,07
2024-07-29,21,优,132,5,12,3,1,0.35,62,邯郸,2024,07
2024-07-30,23,优,131,5,17,4,1,0.32,69,邯郸,2024,07
2024-07-31,28,优,179,7,22,6,2,0.55,84,邯郸,2024,07
2024-08-01,46,优,296,19,39,8,2,0.7,107,邯郸,2024,08
2024-08-02,35,优,229,16,34,7,2,0.43,80,邯郸,2024,08
2024-08-03,31,优,166,12,27,8,2,0.26,73,邯郸,2024,08
2024-08-04,33,优,199,13,30,8,2,0.58,83,邯郸,2024,08
2024-08-05,35,优,216,13,30,7,2,0.46,93,邯郸,2024,08
2024-08-06,44,优,279,21,42,10,2,0.52,91,邯郸,2024,08
2024-08-07,39,优,243,18,38,15,2,0.55,79,邯郸,2024,08
2024-08-08,36,优,209,17,30,6,2,0.4,105,邯郸,2024,08
2024-08-09,37,优,179,19,32,7,1,0.39,82,邯郸,2024,08
2024-08-10,62,良,277,22,78,7,3,0.55,84,邯郸,2024,08
2024-08-11,36,优,139,5,27,8,5,0.68,100,邯郸,2024,08
2024-08-12,40,优,175,7,29,13,6,0.97,92,邯郸,2024,08
2024-08-13,37,优,167,9,32,11,2,0.53,92,邯郸,2024,08
2024-08-14,38,优,213,18,37,4,2,0.52,97,邯郸,2024,08
2024-08-15,47,优,278,23,46,11,2,0.52,102,邯郸,2024,08
