日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2016-01-01,326,严重污染,365,277,374,117,72,5.57,2,廊坊,2016,01
2016-01-02,400,严重污染,362,360,472,140,61,6.13,2,廊坊,2016,01
2016-01-03,206,重度污染,288,165,238,58,30,1.88,8,廊坊,2016,01
2016-01-04,115,轻度污染,196,85,133,52,21,1.41,14,廊坊,2016,01
2016-01-05,62,良,154,38,66,45,19,0.88,16,廊坊,2016,01
2016-01-06,75,良,198,45,86,45,24,1.14,18,廊坊,2016,01
2016-01-07,51,良,109,19,54,33,14,0.71,23,廊坊,2016,01
2016-01-08,45,优,60,23,47,39,18,0.79,22,廊坊,2016,01
2016-01-09,212,重度污染,323,167,232,100,96,3.11,6,廊坊,2016,01
2016-01-10,181,中度污染,295,141,205,74,58,2.78,11,廊坊,2016,01
2016-01-11,47,优,110,21,51,37,14,0.59,25,廊坊,2016,01
2016-01-12,53,良,137,29,54,39,20,0.86,25,廊坊,2016,01
2016-01-13,102,轻度污染,246,73,116,70,49,2.27,11,廊坊,2016,01
2016-01-14,194,中度污染,341,152,218,90,87,4.78,11,廊坊,2016,01
2016-01-15,215,重度污染,342,170,240,98,83,4.32,8,廊坊,2016,01
2016-01-16,120,轻度污染,230,90,142,55,37,1.66,8,廊坊,2016,01
2016-01-17,57,良,117,32,59,31,12,0.72,26,廊坊,2016,01
2016-01-18,55,良,111,16,59,22,7,0.46,32,廊坊,2016,01
2016-01-19,71,良,143,48,83,52,36,1.66,16,廊坊,2016,01
2016-01-20,170,中度污染,351,130,198,86,80,3.99,2,廊坊,2016,01
2016-01-21,104,轻度污染,287,77,109,59,32,2.05,3,廊坊,2016,01
2016-01-22,66,良,202,25,74,27,8,0.44,36,廊坊,2016,01
2016-01-23,51,良,135,13,57,24,9,0.43,38,廊坊,2016,01
2016-01-24,50,优,124,17,52,36,19,0.69,34,廊坊,2016,01
2016-01-25,88,良,310,62,95,70,44,1.68,21,廊坊,2016,01
2016-01-26,66,良,139,39,68,48,30,0.94,33,廊坊,2016,01
2016-01-27,190,中度污染,355,148,188,93,93,3.35,15,廊坊,2016,01
2016-01-28,150,轻度污染,306,113,159,94,77,2.59,10,廊坊,2016,01
2016-01-29,66,良,173,43,75,50,35,1.19,19,廊坊,2016,01
2016-01-30,85,良,235,62,92,61,39,1.69,14,廊坊,2016,01
2016-01-31,60,良,160,40,59,39,20,0.82,41,廊坊,2016,01
2016-02-01,65,良,151,42,65,52,27,1.25,32,廊坊,2016,02
2016-02-02,42,优,45,26,41,52,27,1.05,36,廊坊,2016,02
2016-02-03,112,轻度污染,234,83,114,77,55,2.15,26,廊坊,2016,02
2016-02-04,41,优,28,22,40,37,19,0.73,43,廊坊,2016,02
2016-02-05,38,优,36,16,38,20,12,0.47,56,廊坊,2016,02
2016-02-06,51,良,76,31,50,34,27,0.9,50,廊坊,2016,02
2016-02-07,136,轻度污染,332,103,148,39,55,1.31,52,廊坊,2016,02
2016-02-08,242,重度污染,316,229,310,48,115,1.71,35,廊坊,2016,02
2016-02-09,82,良,174,60,79,42,45,2.02,38,廊坊,2016,02
2016-02-10,118,轻度污染,283,88,117,59,68,2.66,23,廊坊,2016,02
2016-02-11,160,中度污染,310,121,183,62,44,3.29,8,廊坊,2016,02
2016-02-12,192,中度污染,331,148,184,46,35,2.35,34,廊坊,2016,02
2016-02-13,37,优,71,21,30,13,5,0.56,54,廊坊,2016,02
2016-02-14,32,优,54,10,20,13,6,0.34,61,廊坊,2016,02
2016-02-15,37,优,93,13,38,22,12,0.62,53,廊坊,2016,02
2016-02-16,51,良,193,22,54,28,17,0.89,48,廊坊,2016,02
2016-02-17,49,优,72,32,52,41,27,1.14,46,廊坊,2016,02
2016-02-18,50,优,46,24,47,29,16,0.69,54,廊坊,2016,02
2016-02-19,45,优,31,23,44,40,16,1.07,39,廊坊,2016,02
2016-02-20,34,优,8,13,26,25,11,0.54,53,廊坊,2016,02
2016-02-21,112,轻度污染,289,82,127,56,51,1.88,27,廊坊,2016,02
2016-02-22,100,良,253,70,117,48,33,1.93,34,廊坊,2016,02
2016-02-23,31,优,31,10,28,21,7,0.52,55,廊坊,2016,02
2016-02-24,46,优,82,26,49,35,20,0.87,44,廊坊,2016,02
2016-02-25,51,良,75,25,55,46,20,1.04,36,廊坊,2016,02
2016-02-26,55,良,110,28,61,42,26,0.99,42,廊坊,2016,02
2016-02-27,51,良,83,29,55,46,19,0.84,35,廊坊,2016,02
2016-02-28,62,良,123,32,66,32,15,0.84,42,廊坊,2016,02
2016-02-29,38,优,22,20,38,35,17,0.74,47,廊坊,2016,02
2016-03-01,116,轻度污染,320,86,134,72,57,1.78,26,廊坊,2016,03
2016-03-02,210,重度污染,356,164,243,98,81,2.37,29,廊坊,2016,03
2016-03-03,254,重度污染,361,205,292,90,58,2.48,28,廊坊,2016,03
2016-03-04,221,重度污染,334,173,244,71,32,2.33,26,廊坊,2016,03
2016-03-05,169,中度污染,276,53,264,34,12,0.59,50,廊坊,2016,03
2016-03-06,152,中度污染,261,88,252,91,53,2.01,9,廊坊,2016,03
2016-03-07,93,良,199,39,135,41,26,1.2,43,廊坊,2016,03
2016-03-08,41,优,53,11,40,23,7,0.38,52,廊坊,2016,03
