日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2017-01-01,252,重度污染,323,201,315,114,50,5.37,7,保定,2017,01
2017-01-02,284,重度污染,334,232,310,133,35,6.63,12,保定,2017,01
2017-01-03,349,严重污染,357,298,418,131,38,7.89,10,保定,2017,01
2017-01-04,279,重度污染,337,228,318,140,57,7.92,9,保定,2017,01
2017-01-05,263,重度污染,342,212,291,119,50,6.2,6,保定,2017,01
2017-01-06,293,重度污染,360,242,305,111,118,4.28,6,保定,2017,01
2017-01-07,298,重度污染,359,247,303,103,63,4.21,7,保定,2017,01
2017-01-08,224,重度污染,337,174,239,78,21,3.65,7,保定,2017,01
2017-01-09,215,重度污染,356,166,241,70,28,2.42,15,保定,2017,01
2017-01-10,186,中度污染,341,147,196,66,48,1.97,19,保定,2017,01
2017-01-11,231,重度污染,356,186,232,83,68,2.61,13,保定,2017,01
2017-01-12,336,严重污染,363,286,350,108,78,3.82,15,保定,2017,01
2017-01-13,234,重度污染,360,196,246,83,78,2.82,21,保定,2017,01
2017-01-14,195,中度污染,358,159,201,77,72,2.88,20,保定,2017,01
2017-01-15,106,轻度污染,291,78,111,50,54,1.18,18,保定,2017,01
2017-01-16,156,中度污染,316,118,156,71,75,2.11,9,保定,2017,01
2017-01-17,207,重度污染,332,161,212,80,58,2.45,17,保定,2017,01
2017-01-18,233,重度污染,333,189,241,82,55,2.6,17,保定,2017,01
2017-01-19,166,中度污染,311,114,185,44,30,1.6,39,保定,2017,01
2017-01-20,91,良,270,65,100,48,35,1.24,36,保定,2017,01
2017-01-21,122,轻度污染,337,88,126,39,42,1.53,37,保定,2017,01
2017-01-22,111,轻度污染,279,83,120,47,49,1.35,33,保定,2017,01
2017-01-23,207,重度污染,342,162,205,75,82,2.89,18,保定,2017,01
2017-01-24,185,中度污染,317,142,184,81,78,2.83,17,保定,2017,01
2017-01-25,314,严重污染,346,265,325,100,92,4.16,18,保定,2017,01
2017-01-26,377,严重污染,357,341,420,103,94,4.59,23,保定,2017,01
2017-01-27,158,中度污染,302,146,193,38,78,1.27,47,保定,2017,01
2017-01-28,476,严重污染,365,549,661,75,188,4.01,14,保定,2017,01
2017-01-29,173,中度污染,327,134,184,38,50,1.7,37,保定,2017,01
2017-01-30,70,良,223,50,65,19,28,0.88,56,保定,2017,01
2017-01-31,154,中度污染,353,117,146,47,68,1.67,38,保定,2017,01
2017-02-01,159,中度污染,353,123,155,52,54,1.93,38,保定,2017,02
2017-02-02,304,严重污染,364,253,306,92,104,3.62,21,保定,2017,02
2017-02-03,400,严重污染,366,360,431,108,126,5.07,18,保定,2017,02
2017-02-04,311,严重污染,361,260,321,57,49,2.44,17,保定,2017,02
2017-02-05,328,严重污染,359,289,376,73,53,3.53,27,保定,2017,02
2017-02-06,118,轻度污染,283,89,120,55,47,1.85,31,保定,2017,02
2017-02-07,85,良,276,62,94,44,45,1.23,31,保定,2017,02
2017-02-08,135,轻度污染,352,100,141,50,48,1.76,39,保定,2017,02
2017-02-09,45,优,83,24,45,22,12,0.56,64,保定,2017,02
2017-02-10,62,良,151,38,64,39,24,0.83,53,保定,2017,02
2017-02-11,216,重度污染,361,174,238,72,114,2.52,30,保定,2017,02
2017-02-12,310,严重污染,365,261,343,97,93,2.94,26,保定,2017,02
2017-02-13,246,重度污染,360,201,275,100,80,3.06,27,保定,2017,02
2017-02-14,338,严重污染,364,287,366,105,97,3.82,17,保定,2017,02
2017-02-15,324,严重污染,363,275,366,130,83,3.61,24,保定,2017,02
2017-02-16,238,重度污染,357,176,294,85,52,2.28,33,保定,2017,02
