日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2018-01-01,178,中度污染,317,134,220,84,56,2.15,16,邯郸,2018,01
2018-01-02,134,轻度污染,284,101,165,61,31,1.76,11,邯郸,2018,01
2018-01-03,90,良,289,62,101,45,30,1.35,26,邯郸,2018,01
2018-01-04,72,良,263,50,81,38,25,1.08,30,邯郸,2018,01
2018-01-05,119,轻度污染,326,88,120,44,36,2.0,30,邯郸,2018,01
2018-01-06,176,中度污染,349,133,176,54,40,2.09,32,邯郸,2018,01
2018-01-07,160,中度污染,342,121,156,39,26,1.79,33,邯郸,2018,01
2018-01-08,94,良,268,52,107,27,25,1.38,53,邯郸,2018,01
2018-01-09,68,良,260,25,85,29,27,1.18,51,邯郸,2018,01
2018-01-10,68,良,266,36,83,43,36,1.44,35,邯郸,2018,01
2018-01-11,68,良,222,44,81,39,30,1.08,36,邯郸,2018,01
2018-01-12,104,轻度污染,306,78,125,56,34,1.65,19,邯郸,2018,01
2018-01-13,144,轻度污染,308,109,170,51,21,1.53,33,邯郸,2018,01
2018-01-14,245,重度污染,356,198,270,84,39,2.84,17,邯郸,2018,01
2018-01-15,362,严重污染,366,311,411,111,71,4.58,4,邯郸,2018,01
2018-01-16,260,重度污染,342,214,315,93,62,3.12,16,邯郸,2018,01
2018-01-17,304,严重污染,358,253,372,109,76,4.18,6,邯郸,2018,01
2018-01-18,263,重度污染,346,212,337,94,58,3.42,11,邯郸,2018,01
2018-01-19,297,重度污染,357,250,348,92,52,3.86,21,邯郸,2018,01
2018-01-20,313,严重污染,363,264,354,98,73,3.19,22,邯郸,2018,01
2018-01-21,159,中度污染,275,128,196,66,32,1.84,8,邯郸,2018,01
2018-01-22,122,轻度污染,295,89,156,43,19,1.19,12,邯郸,2018,01
2018-01-23,78,良,205,54,90,29,21,0.91,40,邯郸,2018,01
2018-01-24,117,轻度污染,334,88,129,43,42,1.43,40,邯郸,2018,01
2018-01-25,127,轻度污染,355,95,132,52,51,1.51,36,邯郸,2018,01
2018-01-26,84,良,298,61,87,42,40,1.17,40,邯郸,2018,01
2018-01-27,124,轻度污染,334,93,121,30,20,1.13,48,邯郸,2018,01
2018-01-28,242,重度污染,365,191,227,51,26,2.08,17,邯郸,2018,01
2018-01-29,130,轻度污染,298,97,144,53,49,2.45,30,邯郸,2018,01
2018-01-30,146,轻度污染,310,111,159,64,58,2.26,21,邯郸,2018,01
2018-01-31,93,良,226,64,111,59,48,1.37,31,邯郸,2018,01
2018-02-01,112,轻度污染,297,79,148,58,79,2.66,27,邯郸,2018,02
2018-02-02,76,良,199,32,100,26,26,0.68,54,邯郸,2018,02
2018-02-03,85,良,307,58,98,45,54,1.53,34,邯郸,2018,02
2018-02-04,104,轻度污染,341,74,126,52,65,2.6,28,邯郸,2018,02
2018-02-05,89,良,295,62,106,45,58,2.12,34,邯郸,2018,02
2018-02-06,107,轻度污染,315,77,125,48,49,1.42,34,邯郸,2018,02
2018-02-07,140,轻度污染,347,96,169,48,49,1.84,44,邯郸,2018,02
2018-02-08,98,良,224,53,141,33,27,0.99,61,邯郸,2018,02
2018-02-09,245,重度污染,344,144,323,58,61,1.94,43,邯郸,2018,02
2018-02-10,98,良,207,45,143,26,27,0.94,60,邯郸,2018,02
2018-02-11,92,良,226,52,122,37,44,1.29,52,邯郸,2018,02
2018-02-12,64,良,133,34,75,29,38,1.44,61,邯郸,2018,02
2018-02-13,85,良,230,57,104,40,40,1.85,62,邯郸,2018,02
2018-02-14,124,轻度污染,325,84,144,42,43,1.8,48,邯郸,2018,02
2018-02-15,103,轻度污染,269,74,123,30,67,1.82,64,邯郸,2018,02
2018-02-16,224,重度污染,335,176,251,32,67,1.93,89,邯郸,2018,02
2018-02-17,270,重度污染,363,220,305,43,70,2.62,47,邯郸,2018,02
2018-02-18,310,严重污染,364,259,349,55,72,2.93,49,邯郸,2018,02
2018-02-19,309,严重污染,364,267,363,54,65,3.27,58,邯郸,2018,02
2018-02-20,203,重度污染,358,158,232,38,28,1.98,44,邯郸,2018,02
2018-02-21,143,轻度污染,336,109,156,35,34,1.91,77,邯郸,2018,02
2018-02-22,83,良,255,48,102,43,38,1.64,59,邯郸,2018,02
2018-02-23,105,轻度污染,334,76,141,53,58,1.92,59,邯郸,2018,02
2018-02-24,93,良,317,38,135,17,15,0.65,77,邯郸,2018,02
2018-02-25,84,良,259,53,112,29,25,0.87,67,邯郸,2018,02
2018-02-26,192,中度污染,357,147,238,56,36,1.7,77,邯郸,2018,02
2018-02-27,262,重度污染,363,211,323,69,31,2.08,35,邯郸,2018,02
2018-02-28,250,重度污染,363,199,296,53,14,2.12,33,邯郸,2018,02
2018-03-01,130,轻度污染,348,90,162,35,13,1.18,68,邯郸,2018,03
2018-03-02,91,良,288,59,121,27,13,0.81,67,邯郸,2018,03
2018-03-03,142,轻度污染,333,107,156,24,9,1.02,44,邯郸,2018,03
2018-03-04,162,中度污染,355,116,198,33,7,1.19,33,邯郸,2018,03
2018-03-05,68,良,294,33,84,23,13,0.66,69,邯郸,2018,03
2018-03-06,81,良,317,56,104,36,21,0.96,58,邯郸,2018,03
2018-03-07,108,轻度污染,346,80,130,28,19,1.26,69,邯郸,2018,03
2018-03-08,120,轻度污染,348,90,146,36,14,1.19,60,邯郸,2018,03
2018-03-09,125,轻度污染,335,94,164,35,17,1.06,71,邯郸,2018,03
2018-03-10,213,重度污染,355,166,242,46,16,1.48,48,邯郸,2018,03
2018-03-11,212,重度污染,341,164,233,51,17,1.48,57,邯郸,2018,03
2018-03-12,213,重度污染,353,165,244,52,26,1.55,82,邯郸,2018,03
2018-03-13,249,重度污染,354,207,288,50,29,1.83,100,邯郸,2018,03
2018-03-14,173,中度污染,342,140,205,29,20,1.1,96,邯郸,2018,03
2018-03-15,149,轻度污染,328,81,183,22,6,0.81,62,邯郸,2018,03
2018-03-16,54,良,169,19,51,15,6,0.41,98,邯郸,2018,03
2018-03-17,77,良,279,55,88,40,10,0.74,54,邯郸,2018,03
2018-03-18,128,轻度污染,329,96,122,30,3,0.85,51,邯郸,2018,03
2018-03-19,154,中度污染,344,114,150,28,7,0.97,91,邯郸,2018,03
2018-03-20,57,良,190,27,60,20,9,0.54,88,邯郸,2018,03
2018-03-21,58,良,163,28,64,30,12,0.71,75,邯郸,2018,03
2018-03-22,110,轻度污染,324,82,137,48,18,1.11,53,邯郸,2018,03
2018-03-23,128,轻度污染,316,93,152,47,23,1.32,78,邯郸,2018,03
2018-03-24,79,良,171,50,91,33,13,1.06,90,邯郸,2018,03
2018-03-25,100,良,250,67,111,31,24,0.94,121,邯郸,2018,03
2018-03-26,125,轻度污染,311,94,159,41,22,1.32,103,邯郸,2018,03
2018-03-27,120,轻度污染,315,81,173,41,23,1.39,92,邯郸,2018,03
2018-03-28,179,中度污染,340,93,263,44,23,1.23,79,邯郸,2018,03
2018-03-29,116,轻度污染,296,34,180,26,12,0.6,75,邯郸,2018,03
2018-03-30,68,良,137,33,85,29,12,0.56,92,邯郸,2018,03
2018-03-31,153,中度污染,350,114,189,31,17,1.05,114,邯郸,2018,03
2018-04-01,187,中度污染,353,142,239,38,22,1.5,113,邯郸,2018,04
2018-04-02,140,轻度污染,319,76,227,33,23,1.16,125,邯郸,2018,04
2018-04-03,173,中度污染,333,41,250,18,9,0.64,74,邯郸,2018,04
2018-04-04,66,良,183,32,80,21,5,0.74,48,邯郸,2018,04
2018-04-05,65,良,208,40,75,25,6,0.81,45,邯郸,2018,04
2018-04-05,65,良,208,40,75,25,6,0.81,45,邯郸,2018,04
2018-04-06,89,良,244,27,123,14,5,0.57,75,邯郸,2018,04
2018-04-07,71,良,180,21,89,25,16,0.69,79,邯郸,2018,04
2018-04-08,101,轻度污染,339,53,151,46,29,0.94,62,邯郸,2018,04
2018-04-09,118,轻度污染,329,74,182,42,39,0.75,77,邯郸,2018,04
2018-04-10,195,中度污染,322,142,292,58,39,1.26,73,邯郸,2018,04
2018-04-11,81,良,197,33,110,32,18,0.54,77,邯郸,2018,04
2018-04-12,93,良,306,50,135,20,13,0.51,92,邯郸,2018,04
2018-04-13,56,良,200,32,62,17,3,0.58,70,邯郸,2018,04
2018-04-14,183,中度污染,340,52,239,28,9,0.7,53,邯郸,2018,04
2018-04-15,107,轻度污染,295,38,161,37,19,1.44,73,邯郸,2018,04
2018-04-16,144,轻度污染,331,61,235,35,17,0.72,83,邯郸,2018,04
2018-04-17,123,轻度污染,311,56,193,23,14,0.54,104,邯郸,2018,04
2018-04-18,118,轻度污染,300,67,184,19,13,0.68,111,邯郸,2018,04
2018-04-19,102,轻度污染,270,58,135,16,11,0.55,120,邯郸,2018,04
2018-04-20,99,良,279,52,112,21,14,0.52,141,邯郸,2018,04
2018-04-21,95,良,341,67,107,28,9,0.75,66,邯郸,2018,04
2018-04-22,48,优,130,27,48,19,2,0.55,66,邯郸,2018,04
2018-04-23,62,良,283,37,71,23,7,0.49,84,邯郸,2018,04
2018-04-24,75,良,305,41,84,38,14,0.57,84,邯郸,2018,04
