日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2019-01-01,155,中度污染,339,117,188,72,51,2.11,12,石家庄,2019,01
2019-01-02,224,重度污染,356,173,260,89,49,2.8,10,石家庄,2019,01
2019-01-03,253,重度污染,357,202,293,98,48,3.18,8,石家庄,2019,01
2019-01-04,232,重度污染,332,184,268,94,39,2.84,12,石家庄,2019,01
2019-01-05,237,重度污染,345,187,278,95,31,2.72,10,石家庄,2019,01
2019-01-06,240,重度污染,343,189,286,96,38,2.98,9,石家庄,2019,01
2019-01-07,267,重度污染,347,216,321,106,47,3.67,7,石家庄,2019,01
2019-01-08,221,重度污染,339,177,272,89,35,2.83,13,石家庄,2019,01
2019-01-09,115,轻度污染,322,84,155,68,45,1.5,11,石家庄,2019,01
2019-01-10,191,中度污染,351,145,243,89,55,2.58,12,石家庄,2019,01
2019-01-11,304,严重污染,364,252,366,113,61,3.72,11,石家庄,2019,01
2019-01-12,372,严重污染,365,322,443,112,45,4.57,15,石家庄,2019,01
2019-01-13,335,严重污染,360,284,388,93,21,4.05,17,石家庄,2019,01
2019-01-14,364,严重污染,363,305,440,105,22,4.02,15,石家庄,2019,01
2019-01-15,112,轻度污染,259,43,150,25,10,0.66,52,石家庄,2019,01
2019-01-16,101,轻度污染,331,61,149,63,48,1.52,14,石家庄,2019,01
2019-01-17,89,良,226,55,118,61,49,1.33,21,石家庄,2019,01
2019-01-18,151,中度污染,328,114,188,84,52,2.1,13,石家庄,2019,01
2019-01-19,129,轻度污染,273,92,156,69,29,1.61,20,石家庄,2019,01
2019-01-20,74,良,198,41,95,53,25,1.06,28,石家庄,2019,01
2019-01-21,75,良,202,31,99,50,30,0.84,32,石家庄,2019,01
2019-01-22,74,良,141,36,95,52,47,0.9,35,石家庄,2019,01
2019-01-23,127,轻度污染,317,94,166,78,40,1.68,25,石家庄,2019,01
2019-01-24,148,轻度污染,300,112,179,75,28,1.84,15,石家庄,2019,01
2019-01-25,109,轻度污染,246,81,134,56,20,1.44,29,石家庄,2019,01
2019-01-26,108,轻度污染,280,78,137,59,26,1.51,29,石家庄,2019,01
2019-01-27,166,中度污染,335,125,205,81,50,2.25,14,石家庄,2019,01
2019-01-28,162,中度污染,330,120,208,66,32,2.05,28,石家庄,2019,01
2019-01-29,161,中度污染,324,123,212,82,46,2.16,16,石家庄,2019,01
2019-01-30,200,中度污染,346,144,255,64,39,2.14,29,石家庄,2019,01
2019-01-31,60,良,223,34,70,25,15,0.77,39,石家庄,2019,01
2019-02-01,76,良,194,36,100,22,25,0.74,56,石家庄,2019,02
2019-02-02,178,中度污染,355,136,204,43,24,1.58,30,石家庄,2019,02
2019-02-03,158,中度污染,337,89,204,30,11,1.1,42,石家庄,2019,02
2019-02-04,140,轻度污染,305,87,206,31,30,1.34,52,石家庄,2019,02
2019-02-05,215,重度污染,326,167,276,32,28,1.67,55,石家庄,2019,02
2019-02-06,122,轻度污染,293,92,170,19,10,1.13,31,石家庄,2019,02
2019-02-07,72,良,234,40,90,14,11,0.73,49,石家庄,2019,02
2019-02-08,61,良,262,37,70,16,19,0.76,51,石家庄,2019,02
2019-02-09,83,良,292,58,95,25,18,0.96,42,石家庄,2019,02
2019-02-10,76,良,265,52,84,27,22,1.0,36,石家庄,2019,02
2019-02-11,159,中度污染,350,121,175,42,24,1.73,30,石家庄,2019,02
2019-02-12,154,中度污染,332,116,170,38,13,1.52,27,石家庄,2019,02
2019-02-13,90,良,282,66,98,26,8,1.07,27,石家庄,2019,02
2019-02-14,93,良,291,69,90,27,7,0.98,42,石家庄,2019,02
2019-02-15,106,轻度污染,312,75,106,36,12,0.98,42,石家庄,2019,02
2019-02-16,55,良,186,35,55,30,15,0.76,50,石家庄,2019,02
2019-02-17,76,良,297,53,77,48,25,1.02,37,石家庄,2019,02
2019-02-18,125,轻度污染,348,94,133,57,29,1.5,23,石家庄,2019,02
2019-02-19,217,重度污染,361,169,218,43,15,1.61,22,石家庄,2019,02
2019-02-20,270,重度污染,354,219,318,50,12,2.17,25,石家庄,2019,02
2019-02-21,277,重度污染,359,224,356,60,14,2.58,33,石家庄,2019,02
2019-02-22,309,严重污染,363,258,373,90,22,3.38,35,石家庄,2019,02
2019-02-23,229,重度污染,358,181,258,75,24,2.15,53,石家庄,2019,02
2019-02-24,242,重度污染,361,192,272,84,27,2.12,47,石家庄,2019,02
2019-02-25,229,重度污染,355,179,253,70,23,1.9,66,石家庄,2019,02
2019-02-26,145,轻度污染,308,109,176,64,22,1.48,29,石家庄,2019,02
2019-02-27,138,轻度污染,303,104,176,71,29,1.55,27,石家庄,2019,02
2019-02-28,253,重度污染,360,202,306,90,38,2.38,32,石家庄,2019,02
2019-03-01,275,重度污染,364,228,329,78,29,2.25,49,石家庄,2019,03
2019-03-02,182,中度污染,336,141,217,59,23,1.43,66,石家庄,2019,03
2019-03-03,180,中度污染,330,136,205,52,32,1.45,55,石家庄,2019,03
2019-03-04,218,重度污染,352,170,252,72,33,2.01,43,石家庄,2019,03
2019-03-05,192,中度污染,345,150,236,54,19,1.56,65,石家庄,2019,03
2019-03-06,58,良,175,20,65,18,7,0.46,71,石家庄,2019,03
2019-03-07,68,良,223,31,84,33,12,0.61,55,石家庄,2019,03
2019-03-08,88,良,319,54,123,47,20,1.01,49,石家庄,2019,03
2019-03-09,97,良,320,68,139,46,17,0.87,49,石家庄,2019,03
2019-03-10,132,轻度污染,339,97,187,55,18,1.11,48,石家庄,2019,03
2019-03-11,64,良,175,21,77,24,10,0.43,62,石家庄,2019,03
2019-03-12,54,良,95,18,58,16,8,0.38,68,石家庄,2019,03
2019-03-13,59,良,143,26,69,35,14,0.58,50,石家庄,2019,03
2019-03-14,62,良,203,31,74,37,11,0.6,50,石家庄,2019,03
2019-03-15,64,良,251,21,76,29,10,0.47,60,石家庄,2019,03
2019-03-16,68,良,232,30,86,37,13,0.6,54,石家庄,2019,03
2019-03-17,101,轻度污染,323,70,146,44,19,0.85,71,石家庄,2019,03
