日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2020-01-01,52,良,97,33,54,48,6,0.79,9,北京,2020,01
2020-01-02,69,良,132,49,78,62,7,1.19,8,北京,2020,01
2020-01-03,69,良,128,49,71,63,7,1.19,13,北京,2020,01
2020-01-04,60,良,100,42,66,58,7,1.07,19,北京,2020,01
2020-01-05,86,良,186,63,79,65,7,1.39,5,北京,2020,01
2020-01-06,78,良,238,57,32,48,2,0.99,15,北京,2020,01
2020-01-07,21,优,9,12,18,21,3,0.39,54,北京,2020,01
2020-01-08,27,优,17,15,23,29,3,0.43,45,北京,2020,01
2020-01-09,47,优,98,33,37,49,5,0.73,22,北京,2020,01
2020-01-10,41,优,99,28,35,36,5,0.64,38,北京,2020,01
2020-01-11,20,优,20,10,19,23,3,0.36,45,北京,2020,01
2020-01-12,28,优,41,18,26,34,6,0.48,31,北京,2020,01
2020-01-13,21,优,7,10,20,17,4,0.37,52,北京,2020,01
2020-01-14,25,优,16,16,24,30,3,0.41,40,北京,2020,01
2020-01-15,64,良,141,46,55,56,6,0.88,12,北京,2020,01
2020-01-16,59,良,171,43,49,48,6,0.93,28,北京,2020,01
2020-01-17,91,良,216,67,75,65,11,1.43,12,北京,2020,01
2020-01-18,207,重度污染,328,162,158,65,4,2.1,11,北京,2020,01
2020-01-19,59,良,124,29,69,24,2,0.53,54,北京,2020,01
2020-01-20,27,优,21,8,26,16,2,0.32,51,北京,2020,01
2020-01-21,59,良,123,42,55,42,6,0.84,23,北京,2020,01
2020-01-22,81,良,199,60,64,47,7,1.0,21,北京,2020,01
2020-01-23,74,良,190,54,61,37,5,0.94,39,北京,2020,01
2020-01-24,101,轻度污染,278,75,76,21,6,0.73,54,北京,2020,01
2020-01-25,186,中度污染,316,142,158,32,9,0.96,43,北京,2020,01
2020-01-26,193,中度污染,334,150,146,38,10,1.62,48,北京,2020,01
2020-01-27,209,重度污染,354,160,138,37,10,1.83,55,北京,2020,01
2020-01-28,218,重度污染,349,169,145,39,13,2.06,66,北京,2020,01
2020-01-29,101,轻度污染,285,76,55,27,7,1.13,57,北京,2020,01
2020-01-30,64,良,189,46,47,27,5,0.8,52,北京,2020,01
2020-01-31,64,良,156,44,47,27,4,0.79,51,北京,2020,01
2020-02-01,22,优,9,8,13,9,2,0.25,65,北京,2020,02
2020-02-02,49,优,144,32,34,11,2,0.43,54,北京,2020,02
