日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2021-01-01,39,优,65,22,39,25,16,0.57,39,秦皇岛,2021,01
2021-01-02,57,良,118,39,59,36,17,0.72,30,秦皇岛,2021,01
2021-01-03,61,良,119,42,67,40,14,0.99,24,秦皇岛,2021,01
2021-01-04,65,良,152,43,78,40,19,1.1,29,秦皇岛,2021,01
2021-01-05,35,优,53,20,36,24,11,0.6,47,秦皇岛,2021,01
2021-01-06,59,良,125,28,72,26,13,0.76,38,秦皇岛,2021,01
2021-01-07,33,优,57,20,32,16,9,0.41,47,秦皇岛,2021,01
2021-01-08,31,优,49,18,31,20,9,0.44,49,秦皇岛,2021,01
2021-01-09,38,优,66,20,40,27,11,0.53,41,秦皇岛,2021,01
2021-01-10,42,优,59,23,44,26,11,0.56,46,秦皇岛,2021,01
2021-01-11,57,良,133,30,69,44,19,0.97,21,秦皇岛,2021,01
2021-01-12,104,轻度污染,267,54,157,60,29,1.76,15,秦皇岛,2021,01
2021-01-13,118,轻度污染,286,58,186,46,30,1.47,30,秦皇岛,2021,01
2021-01-14,62,良,74,40,74,45,15,0.85,23,秦皇岛,2021,01
2021-01-15,63,良,78,33,78,23,12,0.61,48,秦皇岛,2021,01
2021-01-16,44,优,56,25,46,36,11,0.7,35,秦皇岛,2021,01
2021-01-17,57,良,104,26,69,32,14,0.88,40,秦皇岛,2021,01
2021-01-18,73,良,198,38,96,35,17,1.0,36,秦皇岛,2021,01
2021-01-19,42,优,45,25,44,30,10,0.62,37,秦皇岛,2021,01
2021-01-20,110,轻度污染,285,80,127,53,17,1.83,13,秦皇岛,2021,01
2021-01-21,213,重度污染,350,165,243,78,27,3.85,10,秦皇岛,2021,01
2021-01-22,113,轻度污染,231,84,126,50,18,1.69,35,秦皇岛,2021,01
2021-01-23,92,良,182,68,108,53,28,1.42,28,秦皇岛,2021,01
2021-01-24,136,轻度污染,243,103,161,75,28,2.4,21,秦皇岛,2021,01
2021-01-25,184,中度污染,317,138,200,92,28,3.27,10,秦皇岛,2021,01
2021-01-26,116,轻度污染,265,79,136,55,13,2.0,31,秦皇岛,2021,01
2021-01-27,72,良,154,48,86,47,11,1.31,26,秦皇岛,2021,01
2021-01-28,44,优,76,21,47,14,6,0.47,64,秦皇岛,2021,01
2021-01-29,50,优,102,25,54,38,16,1.02,33,秦皇岛,2021,01
2021-01-30,66,良,155,38,84,31,19,1.01,41,秦皇岛,2021,01
2021-01-31,99,良,283,52,146,40,14,0.95,27,秦皇岛,2021,01
2021-02-01,102,轻度污染,300,69,115,35,13,1.42,39,秦皇岛,2021,02
2021-02-02,50,优,110,25,54,25,13,0.74,43,秦皇岛,2021,02
2021-02-03,67,良,188,46,79,40,21,1.14,29,秦皇岛,2021,02
2021-02-04,78,良,208,49,101,52,23,1.57,26,秦皇岛,2021,02
2021-02-05,132,轻度污染,355,100,180,78,46,2.92,22,秦皇岛,2021,02
2021-02-06,104,轻度污染,314,69,147,51,28,1.57,40,秦皇岛,2021,02
2021-02-07,39,优,50,25,38,16,11,0.55,65,秦皇岛,2021,02
2021-02-08,58,良,219,41,59,30,15,1.27,48,秦皇岛,2021,02
2021-02-09,111,轻度污染,334,84,127,55,28,2.51,41,秦皇岛,2021,02
2021-02-10,110,轻度污染,308,82,121,40,26,1.84,71,秦皇岛,2021,02
2021-02-11,165,中度污染,345,127,160,50,25,2.01,64,秦皇岛,2021,02
2021-02-12,123,轻度污染,251,93,115,35,11,1.1,42,秦皇岛,2021,02
2021-02-13,79,良,261,58,72,25,7,0.9,40,秦皇岛,2021,02
2021-02-14,41,优,118,29,37,11,8,0.63,66,秦皇岛,2021,02
2021-02-15,31,优,60,19,27,12,8,0.75,66,秦皇岛,2021,02
