日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2021-01-01,66,良,266,45,80,55,27,0.91,19,衡水,2021,01
2021-01-02,123,轻度污染,326,93,140,76,34,1.59,8,衡水,2021,01
2021-01-03,100,良,276,75,111,63,23,1.61,11,衡水,2021,01
2021-01-04,66,良,159,47,73,54,19,1.12,14,衡水,2021,01
2021-01-05,30,优,38,13,30,32,10,0.38,29,衡水,2021,01
2021-01-06,76,良,206,29,102,32,18,0.58,32,衡水,2021,01
2021-01-07,47,优,123,16,49,21,13,0.41,42,衡水,2021,01
2021-01-08,48,优,156,22,51,29,17,0.64,40,衡水,2021,01
2021-01-09,47,优,141,22,50,29,17,0.6,40,衡水,2021,01
2021-01-10,47,优,89,27,50,33,18,0.65,41,衡水,2021,01
2021-01-11,76,良,251,27,106,24,16,0.52,41,衡水,2021,01
2021-01-12,162,中度污染,333,48,246,31,18,0.81,39,衡水,2021,01
2021-01-13,130,轻度污染,297,58,210,46,20,0.82,23,衡水,2021,01
2021-01-14,105,轻度污染,256,66,160,61,25,1.35,11,衡水,2021,01
2021-01-15,118,轻度污染,250,68,183,46,12,1.12,18,衡水,2021,01
2021-01-16,92,良,217,56,133,36,15,0.8,34,衡水,2021,01
2021-01-17,82,良,268,50,114,35,14,0.87,37,衡水,2021,01
2021-01-18,80,良,256,39,110,47,24,0.96,24,衡水,2021,01
2021-01-19,57,良,90,34,60,31,14,0.63,31,衡水,2021,01
2021-01-20,91,良,227,68,96,52,14,1.2,10,衡水,2021,01
2021-01-21,146,轻度污染,290,111,162,62,15,1.6,15,衡水,2021,01
2021-01-22,193,中度污染,320,147,196,73,20,1.9,18,衡水,2021,01
2021-01-23,84,良,155,62,92,54,16,1.03,31,衡水,2021,01
2021-01-24,128,轻度污染,226,97,132,67,30,1.55,17,衡水,2021,01
2021-01-25,168,中度污染,307,128,171,73,23,1.79,17,衡水,2021,01
2021-01-26,150,轻度污染,308,112,145,53,11,1.55,30,衡水,2021,01
2021-01-27,190,中度污染,357,143,196,58,25,1.55,46,衡水,2021,01
2021-01-28,96,良,250,35,134,31,7,0.47,50,衡水,2021,01
2021-01-29,81,良,244,40,117,40,20,0.67,26,衡水,2021,01
2021-01-30,76,良,203,47,103,53,20,0.8,31,衡水,2021,01
2021-01-31,98,良,272,73,120,44,12,0.96,20,衡水,2021,01
2021-02-01,106,轻度污染,316,68,123,39,10,0.8,33,衡水,2021,02
