日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2022-01-01,95,良,241,67,122,59,12,1.42,15,唐山,2022,01
2022-01-02,36,优,40,14,38,26,6,0.65,41,唐山,2022,01
2022-01-03,70,良,135,41,90,54,11,1.13,15,唐山,2022,01
2022-01-04,60,良,103,33,70,41,15,1.2,22,唐山,2022,01
2022-01-05,64,良,133,42,75,46,12,1.42,19,唐山,2022,01
2022-01-06,85,良,207,59,99,49,10,1.24,20,唐山,2022,01
2022-01-07,129,轻度污染,266,97,140,69,10,1.35,11,唐山,2022,01
2022-01-08,156,中度污染,299,118,163,68,6,1.59,18,唐山,2022,01
2022-01-09,61,良,125,34,72,41,12,1.16,23,唐山,2022,01
2022-01-10,51,良,113,29,58,30,7,0.76,35,唐山,2022,01
2022-01-11,34,优,68,16,36,26,6,0.66,35,唐山,2022,01
2022-01-12,63,良,141,36,76,50,14,1.22,14,唐山,2022,01
2022-01-13,37,优,53,17,39,29,5,0.46,34,唐山,2022,01
2022-01-14,90,良,247,66,110,62,13,1.09,16,唐山,2022,01
2022-01-15,85,良,173,56,97,43,9,0.78,32,唐山,2022,01
2022-01-16,31,优,50,15,30,30,6,0.55,39,唐山,2022,01
2022-01-17,46,优,113,27,51,47,7,0.76,23,唐山,2022,01
2022-01-18,76,良,198,52,97,58,17,1.46,15,唐山,2022,01
2022-01-19,63,良,138,36,76,32,11,0.86,33,唐山,2022,01
2022-01-20,65,良,149,42,76,41,13,1.08,28,唐山,2022,01
2022-01-21,93,良,250,69,117,56,17,1.5,9,唐山,2022,01
2022-01-22,150,轻度污染,304,113,139,55,16,2.39,10,唐山,2022,01
2022-01-23,154,中度污染,311,116,139,48,17,1.5,32,唐山,2022,01
2022-01-24,204,重度污染,333,156,180,59,9,1.96,19,唐山,2022,01
2022-01-25,157,中度污染,287,119,134,43,5,1.26,28,唐山,2022,01
2022-01-26,46,优,146,31,48,30,8,0.73,44,唐山,2022,01
2022-01-27,56,良,192,39,64,39,11,0.98,32,唐山,2022,01
2022-01-28,35,优,142,21,34,24,8,0.69,47,唐山,2022,01
2022-01-29,46,优,186,29,46,28,9,0.83,42,唐山,2022,01
2022-01-30,111,轻度污染,285,83,109,44,11,1.36,40,唐山,2022,01
2022-01-31,76,良,215,53,71,17,5,0.75,61,唐山,2022,01
2022-02-01,25,优,31,14,20,9,4,0.46,65,唐山,2022,02
2022-02-02,37,优,118,23,32,17,4,0.63,58,唐山,2022,02
2022-02-03,41,优,147,26,40,21,9,0.88,54,唐山,2022,02
2022-02-04,24,优,58,11,20,6,3,0.4,72,唐山,2022,02
2022-02-05,27,优,56,12,21,9,3,0.36,69,唐山,2022,02
2022-02-06,36,优,125,21,33,21,3,0.52,54,唐山,2022,02
2022-02-07,43,优,204,26,42,28,5,0.66,50,唐山,2022,02
2022-02-08,60,良,227,42,67,46,6,0.95,33,唐山,2022,02
2022-02-09,110,轻度污染,320,82,124,62,16,1.67,32,唐山,2022,02
2022-02-10,143,轻度污染,323,108,146,67,10,1.21,35,唐山,2022,02
2022-02-11,130,轻度污染,319,95,140,56,9,1.2,40,唐山,2022,02
2022-02-12,57,良,170,30,64,25,7,0.72,54,唐山,2022,02
2022-02-13,54,良,156,33,56,20,6,0.7,52,唐山,2022,02
2022-02-14,54,良,168,38,47,19,5,0.7,62,唐山,2022,02
2022-02-15,46,优,131,32,43,28,7,0.7,56,唐山,2022,02
2022-02-16,37,优,72,24,35,25,4,0.55,56,唐山,2022,02
2022-02-17,36,优,141,20,36,29,9,0.7,49,唐山,2022,02
2022-02-18,55,良,253,38,54,37,5,0.56,36,唐山,2022,02
2022-02-19,28,优,91,13,27,11,3,0.35,67,唐山,2022,02
2022-02-20,32,优,97,16,31,21,3,0.42,55,唐山,2022,02
2022-02-21,29,优,86,12,27,16,4,0.43,59,唐山,2022,02
2022-02-22,32,优,125,16,31,21,5,0.45,57,唐山,2022,02
2022-02-23,53,良,211,31,61,47,9,0.83,31,唐山,2022,02
2022-02-24,95,良,289,70,122,67,13,1.35,26,唐山,2022,02
2022-02-25,172,中度污染,329,131,193,82,13,1.39,36,唐山,2022,02
2022-02-26,101,轻度污染,316,65,111,50,7,0.8,50,唐山,2022,02
2022-02-27,71,良,199,40,90,55,10,0.7,40,唐山,2022,02
2022-02-28,107,轻度污染,299,77,152,70,19,1.6,23,唐山,2022,02
2022-03-01,40,优,77,16,42,23,5,0.4,63,唐山,2022,03
2022-03-02,67,良,178,35,82,45,8,0.56,41,唐山,2022,03
2022-03-03,71,良,163,32,92,27,10,0.83,55,唐山,2022,03
2022-03-04,116,轻度污染,296,41,155,33,11,1.19,47,唐山,2022,03
2022-03-05,41,优,46,14,40,27,4,0.4,52,唐山,2022,03
2022-03-06,49,优,120,24,54,38,10,0.77,47,唐山,2022,03
2022-03-07,62,良,208,36,78,46,11,0.98,44,唐山,2022,03
2022-03-08,102,轻度污染,287,75,138,69,19,1.47,46,唐山,2022,03
2022-03-09,135,轻度污染,323,102,164,59,14,1.66,62,唐山,2022,03
2022-03-10,142,轻度污染,328,105,191,55,14,1.69,79,唐山,2022,03
2022-03-11,102,轻度污染,274,68,130,31,9,1.11,75,唐山,2022,03
2022-03-12,93,良,264,69,92,48,7,1.18,35,唐山,2022,03
2022-03-13,78,良,210,56,84,26,5,1.05,53,唐山,2022,03
2022-03-14,55,良,122,36,57,21,5,0.67,64,唐山,2022,03
2022-03-15,76,良,199,51,101,33,7,0.97,59,唐山,2022,03
