日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2024-01-01,50,优,53,33,51,27,7,0.67,44,张家口,2024,01
2024-01-02,43,优,49,24,44,19,3,0.58,52,张家口,2024,01
2024-01-03,31,优,48,14,30,20,4,0.55,51,张家口,2024,01
2024-01-04,46,优,87,16,49,16,3,0.47,55,张家口,2024,01
2024-01-05,39,优,51,13,39,15,3,0.48,52,张家口,2024,01
2024-01-06,19,优,4,7,15,7,3,0.39,54,张家口,2024,01
2024-01-07,30,优,32,16,30,20,5,0.61,40,张家口,2024,01
2024-01-08,53,良,88,32,62,35,9,0.9,31,张家口,2024,01
2024-01-09,25,优,8,11,23,11,2,0.43,60,张家口,2024,01
2024-01-10,42,优,55,26,47,25,6,0.72,44,张家口,2024,01
2024-01-11,53,良,74,25,58,19,4,0.6,54,张家口,2024,01
2024-01-12,44,优,40,23,47,23,5,0.68,49,张家口,2024,01
2024-01-13,67,良,111,40,83,29,5,0.75,44,张家口,2024,01
2024-01-14,23,优,10,8,14,8,3,0.35,71,张家口,2024,01
2024-01-15,33,优,32,18,32,22,5,0.62,48,张家口,2024,01
2024-01-16,45,优,69,29,50,31,7,0.77,38,张家口,2024,01
2024-01-17,76,良,194,55,90,41,9,1.11,26,张家口,2024,01
2024-01-18,85,良,229,63,100,35,5,0.86,43,张家口,2024,01
2024-01-19,92,良,275,68,94,41,3,0.86,30,张家口,2024,01
2024-01-20,35,优,81,19,31,16,2,0.34,63,张家口,2024,01
2024-01-21,21,优,27,9,14,7,3,0.24,68,张家口,2024,01
2024-01-22,21,优,39,8,12,9,3,0.3,67,张家口,2024,01
2024-01-23,22,优,24,8,13,9,3,0.3,68,张家口,2024,01
2024-01-24,22,优,5,8,15,10,3,0.35,70,张家口,2024,01
2024-01-25,25,优,7,11,20,12,4,0.33,68,张家口,2024,01
2024-01-26,40,优,37,16,41,15,5,0.34,65,张家口,2024,01
2024-01-27,29,优,20,15,28,13,4,0.3,68,张家口,2024,01
2024-01-28,41,优,49,22,41,21,6,0.49,59,张家口,2024,01
2024-01-29,55,良,74,35,62,30,7,0.66,49,张家口,2024,01
2024-01-30,103,轻度污染,190,77,110,46,7,1.06,33,张家口,2024,01
2024-01-31,27,优,15,12,25,11,3,0.3,75,张家口,2024,01
2024-02-01,34,优,83,19,34,20,5,0.46,58,张家口,2024,02
2024-02-02,55,良,191,38,57,23,6,0.64,54,张家口,2024,02
2024-02-03,34,优,112,20,31,15,4,0.44,68,张家口,2024,02
2024-02-04,44,优,141,27,46,22,5,0.47,59,张家口,2024,02
2024-02-05,76,良,199,55,71,31,6,0.65,60,张家口,2024,02
2024-02-06,27,优,54,13,21,10,3,0.35,77,张家口,2024,02
2024-02-07,26,优,60,12,20,9,4,0.34,82,张家口,2024,02
2024-02-08,32,优,63,16,25,11,5,0.4,81,张家口,2024,02
2024-02-09,54,良,67,36,52,11,6,0.48,78,张家口,2024,02
2024-02-10,80,良,53,55,83,10,8,0.43,75,张家口,2024,02
2024-02-11,46,优,24,27,48,14,7,0.47,71,张家口,2024,02
2024-02-12,60,良,87,35,66,19,10,0.59,67,张家口,2024,02
2024-02-13,67,良,164,39,76,22,9,0.63,61,张家口,2024,02
2024-02-14,41,优,63,20,41,7,5,0.36,73,张家口,2024,02
2024-02-15,31,优,33,15,29,11,6,0.48,65,张家口,2024,02
2024-02-16,65,良,260,41,76,23,11,0.69,57,张家口,2024,02
2024-02-17,79,良,269,57,100,21,7,0.8,61,张家口,2024,02
2024-02-18,58,良,186,33,63,12,4,0.53,65,张家口,2024,02
2024-02-19,28,优,35,9,22,4,3,0.34,73,张家口,2024,02
2024-02-20,28,优,89,14,25,7,3,0.41,64,张家口,2024,02
2024-02-21,26,优,92,8,20,5,4,0.38,75,张家口,2024,02
2024-02-22,24,优,53,7,12,7,3,0.39,72,张家口,2024,02
2024-02-23,27,优,71,15,24,16,4,0.55,60,张家口,2024,02
2024-02-24,43,优,103,26,42,12,5,0.57,64,张家口,2024,02
2024-02-25,42,优,73,15,43,7,3,0.5,66,张家口,2024,02
2024-02-26,51,良,107,23,54,11,4,0.59,69,张家口,2024,02
2024-02-27,94,良,258,69,99,25,5,0.96,64,张家口,2024,02
2024-02-28,43,优,75,14,43,8,2,0.45,75,张家口,2024,02
2024-02-29,27,优,53,8,22,7,2,0.43,79,张家口,2024,02
2024-03-01,29,优,53,8,26,11,3,0.44,71,张家口,2024,03
2024-03-02,80,良,259,19,110,9,3,0.41,74,张家口,2024,03
2024-03-03,40,优,71,14,38,13,5,0.41,68,张家口,2024,03
2024-03-04,63,良,175,36,76,22,5,0.6,65,张家口,2024,03
2024-03-05,58,良,163,38,64,19,4,0.56,73,张家口,2024,03
2024-03-06,25,优,16,7,13,8,3,0.22,76,张家口,2024,03
2024-03-07,31,优,23,10,31,7,3,0.18,68,张家口,2024,03
2024-03-08,28,优,12,10,24,9,3,0.26,67,张家口,2024,03
2024-03-09,41,优,42,20,44,19,6,0.39,62,张家口,2024,03
2024-03-10,58,良,111,32,69,28,7,0.55,52,张家口,2024,03
2024-03-11,40,优,74,14,39,10,4,0.3,72,张家口,2024,03
2024-03-12,32,优,22,14,24,10,3,0.29,79,张家口,2024,03
2024-03-13,36,优,23,17,33,10,4,0.33,76,张家口,2024,03
2024-03-14,44,优,55,22,49,15,4,0.38,82,张家口,2024,03
2024-03-15,77,良,201,44,103,17,4,0.47,104,张家口,2024,03
2024-03-16,112,轻度污染,238,39,174,9,2,0.31,96,张家口,2024,03
2024-03-17,36,优,39,13,35,11,2,0.3,77,张家口,2024,03
2024-03-18,204,重度污染,304,46,305,8,2,0.29,70,张家口,2024,03
2024-03-19,66,良,194,13,82,4,2,0.31,74,张家口,2024,03
2024-03-20,31,优,23,9,28,9,3,0.33,70,张家口,2024,03
2024-03-21,65,良,138,28,87,18,4,0.43,71,张家口,2024,03
2024-03-22,49,优,72,26,57,13,3,0.39,68,张家口,2024,03
2024-03-23,56,良,132,30,74,20,5,0.42,79,张家口,2024,03
2024-03-24,53,良,212,28,62,18,2,0.45,79,张家口,2024,03
2024-03-25,41,优,163,26,42,16,2,0.5,71,张家口,2024,03
2024-03-26,78,良,286,40,105,18,3,0.5,64,张家口,2024,03
2024-03-27,185,中度污染,303,144,826,23,2,0.59,53,张家口,2024,03
2024-03-28,204,重度污染,275,62,489,4,2,0.23,88,张家口,2024,03
2024-03-29,99,良,260,25,143,4,2,0.24,86,张家口,2024,03
2024-03-30,38,优,44,9,35,7,2,0.28,83,张家口,2024,03
2024-03-31,32,优,38,9,31,8,2,0.26,76,张家口,2024,03
2024-04-01,70,良,209,33,97,17,4,0.48,96,张家口,2024,04
2024-04-02,74,良,228,40,100,23,4,0.56,85,张家口,2024,04
2024-04-03,41,优,118,19,44,12,3,0.36,95,张家口,2024,04
2024-04-04,55,良,213,32,66,13,2,0.46,76,张家口,2024,04
2024-04-05,55,良,186,32,56,13,2,0.45,71,张家口,2024,04
2024-04-06,34,优,81,8,32,6,2,0.25,72,张家口,2024,04
2024-04-07,37,优,112,11,36,9,2,0.27,77,张家口,2024,04
2024-04-08,60,良,211,22,77,10,3,0.36,91,张家口,2024,04
2024-04-09,59,良,203,25,68,11,2,0.35,97,张家口,2024,04
2024-04-10,52,良,151,28,58,18,3,0.38,77,张家口,2024,04
2024-04-11,46,优,94,22,53,14,3,0.34,80,张家口,2024,04
2024-04-12,79,良,275,49,106,19,3,0.47,108,张家口,2024,04
2024-04-13,76,良,270,48,98,13,2,0.44,117,张家口,2024,04
2024-04-14,75,良,256,37,102,12,2,0.34,101,张家口,2024,04
2024-04-15,203,重度污染,298,47,259,3,2,0.19,82,张家口,2024,04
2024-04-16,44,优,73,12,42,10,2,0.2,77,张家口,2024,04
2024-04-17,39,优,93,11,40,9,2,0.23,81,张家口,2024,04
2024-04-18,51,良,156,13,56,7,2,0.17,95,张家口,2024,04
2024-04-19,81,良,254,40,113,18,5,0.58,120,张家口,2024,04
2024-04-20,36,优,86,11,29,9,2,0.27,88,张家口,2024,04
2024-04-21,42,优,106,18,47,12,3,0.26,102,张家口,2024,04
2024-04-22,76,良,236,32,103,10,2,0.25,106,张家口,2024,04
2024-04-23,33,优,80,9,28,7,2,0.17,81,张家口,2024,04
2024-04-24,43,优,107,15,48,10,3,0.18,90,张家口,2024,04
2024-04-25,109,轻度污染,301,47,166,16,3,0.21,92,张家口,2024,04
2024-04-26,89,良,291,38,128,15,2,0.2,87,张家口,2024,04
2024-04-27,171,中度污染,299,63,246,9,2,0.28,96,张家口,2024,04
2024-04-28,43,优,160,28,45,12,2,0.36,82,张家口,2024,04
2024-04-29,27,优,32,13,21,11,2,0.19,68,张家口,2024,04
2024-04-30,29,优,71,8,26,10,2,0.13,74,张家口,2024,04
2024-05-01,34,优,101,14,31,14,3,0.18,85,张家口,2024,05
2024-05-02,41,优,139,15,39,12,2,0.19,107,张家口,2024,05
2024-05-03,50,优,205,21,49,11,2,0.25,132,张家口,2024,05
2024-05-04,60,良,269,30,68,14,3,0.35,139,张家口,2024,05
2024-05-05,53,良,225,33,60,17,2,0.33,102,张家口,2024,05
2024-05-06,40,优,90,18,40,10,2,0.21,84,张家口,2024,05
2024-05-07,41,优,79,12,38,9,2,0.15,93,张家口,2024,05
2024-05-08,37,优,40,11,34,12,2,0.16,91,张家口,2024,05
2024-05-09,68,良,250,23,71,13,4,0.32,138,张家口,2024,05
2024-05-10,151,中度污染,300,50,236,10,3,0.29,118,张家口,2024,05
2024-05-11,78,良,211,25,112,3,1,0.1,87,张家口,2024,05
2024-05-12,38,优,92,12,30,6,2,0.14,82,张家口,2024,05
