日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2025-01-01,88,良,177,65,123,57,10,0.9,22,天津,2025,01
2025-01-02,50,优,78,19,38,40,5,0.5,34,天津,2025,01
2025-01-03,62,良,126,28,55,50,5,0.56,29,天津,2025,01
2025-01-04,112,轻度污染,217,85,132,73,10,1.07,16,天津,2025,01
2025-01-05,99,良,217,74,116,56,8,0.98,30,天津,2025,01
2025-01-06,31,优,9,10,27,24,3,0.37,49,天津,2025,01
2025-01-07,38,优,45,13,30,30,4,0.43,37,天津,2025,01
2025-01-08,32,优,23,5,17,10,2,0.33,60,天津,2025,01
2025-01-09,34,优,42,8,22,19,3,0.38,54,天津,2025,01
2025-01-10,50,优,119,19,37,40,4,0.52,37,天津,2025,01
2025-01-11,64,良,181,27,49,51,5,0.63,28,天津,2025,01
2025-01-12,50,优,79,25,50,36,4,0.53,38,天津,2025,01
2025-01-13,75,良,142,50,87,60,7,0.8,20,天津,2025,01
2025-01-14,50,优,72,22,51,28,4,0.47,41,天津,2025,01
2025-01-15,38,优,45,15,38,27,4,0.46,39,天津,2025,01
2025-01-16,56,良,112,25,63,38,5,0.54,34,天津,2025,01
2025-01-17,71,良,183,42,82,57,10,0.82,25,天津,2025,01
2025-01-18,124,轻度污染,309,94,142,77,13,1.15,20,天津,2025,01
2025-01-19,69,良,129,50,82,55,8,0.83,36,天津,2025,01
2025-01-20,82,良,162,55,93,66,11,1.04,25,天津,2025,01
2025-01-21,85,良,141,63,100,61,10,1.16,25,天津,2025,01
2025-01-22,55,良,56,33,56,44,9,0.85,30,天津,2025,01
2025-01-23,65,良,108,43,64,52,7,0.86,24,天津,2025,01
2025-01-24,89,良,198,66,92,51,10,1.22,30,天津,2025,01
2025-01-25,124,轻度污染,298,94,127,44,13,1.39,44,天津,2025,01
2025-01-26,83,良,266,52,116,17,5,0.71,58,天津,2025,01
2025-01-27,32,优,11,4,24,4,3,0.4,62,天津,2025,01
2025-01-28,56,良,157,40,57,8,10,0.45,67,天津,2025,01
2025-01-29,275,重度污染,303,225,267,23,32,0.89,54,天津,2025,01
2025-01-30,61,良,135,44,58,10,8,0.79,59,天津,2025,01
2025-01-31,52,良,126,37,53,12,9,0.99,55,天津,2025,01
2025-02-01,64,良,203,46,61,16,10,0.86,55,天津,2025,02
2025-02-02,60,良,194,43,57,14,5,0.6,57,天津,2025,02
2025-02-03,40,优,133,6,15,5,3,0.3,76,天津,2025,02
2025-02-04,38,优,72,9,19,8,4,0.37,70,天津,2025,02
2025-02-05,38,优,49,11,28,9,4,0.41,69,天津,2025,02
2025-02-06,60,良,228,18,71,16,4,0.5,55,天津,2025,02
2025-02-07,36,优,81,5,35,4,3,0.4,70,天津,2025,02
2025-02-08,37,优,92,9,20,13,3,0.44,65,天津,2025,02
2025-02-09,42,优,96,24,39,34,5,0.59,46,天津,2025,02
2025-02-10,91,良,306,68,101,60,11,0.95,34,天津,2025,02
2025-02-11,129,轻度污染,310,98,141,75,13,1.24,23,天津,2025,02
2025-02-12,65,良,147,47,74,24,12,0.45,57,天津,2025,02
2025-02-13,111,轻度污染,309,84,127,36,11,0.67,43,天津,2025,02
2025-02-14,105,轻度污染,316,79,127,59,11,0.85,37,天津,2025,02
2025-02-15,111,轻度污染,312,84,159,61,11,0.93,39,天津,2025,02
2025-02-16,49,优,99,17,49,21,4,0.45,61,天津,2025,02
2025-02-17,36,优,46,10,23,18,5,0.48,62,天津,2025,02
2025-02-18,55,良,200,31,55,44,9,0.76,38,天津,2025,02
2025-02-19,54,良,182,25,45,43,5,0.7,36,天津,2025,02
2025-02-20,51,良,161,30,52,39,8,0.9,41,天津,2025,02
2025-02-21,50,优,178,23,41,40,7,0.68,40,天津,2025,02
2025-02-22,50,优,183,27,51,39,8,0.78,40,天津,2025,02
2025-02-23,37,优,86,10,28,15,3,0.4,63,天津,2025,02
2025-02-24,60,良,210,35,70,35,7,0.64,52,天津,2025,02
2025-02-25,63,良,155,41,76,32,6,0.6,58,天津,2025,02
2025-02-26,84,良,236,45,91,67,11,0.94,34,天津,2025,02
2025-02-27,142,轻度污染,320,109,164,76,11,1.13,56,天津,2025,02
