日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2025-01-01,106,轻度污染,231,80,147,57,15,0.85,20,沧州,2025,01
2025-01-02,52,良,85,26,44,42,6,0.51,29,沧州,2025,01
2025-01-03,66,良,147,38,61,53,8,0.71,25,沧州,2025,01
2025-01-04,132,轻度污染,252,101,141,65,13,1.1,19,沧州,2025,01
2025-01-05,140,轻度污染,290,107,166,53,9,1.01,28,沧州,2025,01
2025-01-06,33,优,17,16,33,21,4,0.27,49,沧州,2025,01
2025-01-07,51,良,89,26,52,39,7,0.45,26,沧州,2025,01
2025-01-08,48,优,107,17,48,16,3,0.18,51,沧州,2025,01
2025-01-09,39,优,74,21,38,31,5,0.29,39,沧州,2025,01
2025-01-10,59,良,223,34,56,47,7,0.47,26,沧州,2025,01
2025-01-11,76,良,260,56,84,61,12,0.86,18,沧州,2025,01
2025-01-12,59,良,138,42,63,46,10,0.58,27,沧州,2025,01
2025-01-13,86,良,200,64,99,52,14,0.74,25,沧州,2025,01
2025-01-14,77,良,193,40,104,30,8,0.43,38,沧州,2025,01
2025-01-15,41,优,60,20,41,26,6,0.4,35,沧州,2025,01
2025-01-16,59,良,148,36,68,39,8,0.54,28,沧州,2025,01
2025-01-17,61,良,114,44,72,44,16,0.72,31,沧州,2025,01
2025-01-18,124,轻度污染,308,94,132,59,18,1.09,26,沧州,2025,01
2025-01-19,95,良,220,71,102,56,13,0.92,30,沧州,2025,01
2025-01-20,79,良,151,58,88,53,17,0.94,30,沧州,2025,01
2025-01-21,105,轻度污染,198,79,114,54,16,0.98,28,沧州,2025,01
2025-01-22,45,优,34,27,45,28,5,0.37,40,沧州,2025,01
2025-01-23,51,良,63,35,52,39,5,0.48,27,沧州,2025,01
2025-01-24,72,良,160,53,68,41,6,0.58,27,沧州,2025,01
2025-01-25,84,良,242,62,80,25,6,0.65,52,沧州,2025,01
2025-01-26,78,良,249,51,107,14,4,0.49,59,沧州,2025,01
2025-01-27,34,优,33,14,29,5,4,0.3,62,沧州,2025,01
2025-01-28,39,优,26,27,39,7,6,0.37,63,沧州,2025,01
2025-01-29,300,重度污染,326,297,325,28,50,0.97,57,沧州,2025,01
2025-01-30,54,良,102,38,54,8,6,0.45,60,沧州,2025,01
2025-01-31,51,良,120,36,51,11,5,0.72,49,沧州,2025,01
2025-02-01,58,良,173,41,56,14,6,0.66,49,沧州,2025,02
2025-02-02,66,良,206,48,66,14,4,0.61,51,沧州,2025,02
2025-02-03,40,优,130,15,32,6,4,0.4,71,沧州,2025,02
2025-02-04,37,优,63,15,26,9,5,0.35,66,沧州,2025,02
2025-02-05,43,优,130,15,43,9,5,0.3,64,沧州,2025,02
2025-02-06,77,良,284,27,104,12,6,0.37,57,沧州,2025,02
2025-02-07,36,优,83,13,35,5,4,0.26,67,沧州,2025,02
2025-02-08,35,优,51,15,27,15,5,0.33,59,沧州,2025,02
2025-02-09,51,良,189,33,52,35,8,0.56,44,沧州,2025,02
2025-02-10,86,良,297,64,96,39,18,0.78,45,沧州,2025,02
2025-02-11,121,轻度污染,301,92,125,51,19,0.89,34,沧州,2025,02
2025-02-12,68,良,171,49,75,25,7,0.46,54,沧州,2025,02
2025-02-13,81,良,259,60,99,21,10,0.52,56,沧州,2025,02
2025-02-14,88,良,275,65,106,33,13,0.68,56,沧州,2025,02
2025-02-15,101,轻度污染,286,76,132,46,12,0.78,46,沧州,2025,02
2025-02-16,60,良,173,32,71,25,5,0.33,53,沧州,2025,02
2025-02-17,39,优,76,20,39,19,6,0.34,58,沧州,2025,02
2025-02-18,51,良,163,32,52,32,10,0.44,46,沧州,2025,02
2025-02-19,54,良,174,38,58,40,6,0.46,42,沧州,2025,02
2025-02-20,62,良,241,45,65,38,11,0.53,41,沧州,2025,02
2025-02-21,52,良,186,35,53,38,8,0.58,40,沧州,2025,02
2025-02-22,60,良,233,43,68,43,10,0.73,36,沧州,2025,02
2025-02-23,45,优,153,20,45,21,4,0.33,58,沧州,2025,02
2025-02-24,56,良,189,31,63,23,6,0.46,63,沧州,2025,02
2025-02-25,69,良,193,50,86,24,8,0.47,63,沧州,2025,02
2025-02-26,89,良,253,66,109,53,14,0.69,54,沧州,2025,02
2025-02-27,126,轻度污染,303,96,132,36,11,0.68,87,沧州,2025,02
2025-02-28,177,中度污染,319,134,168,48,10,0.92,76,沧州,2025,02
2025-03-01,174,中度污染,318,132,163,41,11,0.98,77,沧州,2025,03
2025-03-02,86,良,311,39,123,16,6,0.44,70,沧州,2025,03
2025-03-03,54,良,282,21,57,23,8,0.59,64,沧州,2025,03
2025-03-04,50,优,225,30,51,22,8,0.46,76,沧州,2025,03
2025-03-05,78,良,282,57,83,35,9,0.63,62,沧州,2025,03
2025-03-06,56,良,204,40,61,38,6,0.5,56,沧州,2025,03
2025-03-07,90,良,313,67,91,27,10,0.63,79,沧州,2025,03
2025-03-08,112,轻度污染,321,85,106,31,6,0.61,69,沧州,2025,03
2025-03-09,110,轻度污染,292,83,105,27,7,0.61,99,沧州,2025,03
2025-03-10,105,轻度污染,286,79,104,17,6,0.6,106,沧州,2025,03
2025-03-11,115,轻度污染,267,87,116,21,7,0.57,92,沧州,2025,03
2025-03-12,125,轻度污染,280,95,180,33,5,0.66,58,沧州,2025,03
2025-03-13,104,轻度污染,286,60,157,33,9,0.53,71,沧州,2025,03
2025-03-14,67,良,279,42,84,31,5,0.41,50,沧州,2025,03
2025-03-15,43,优,152,23,43,14,4,0.29,78,沧州,2025,03
2025-03-16,43,优,131,21,35,19,3,0.31,69,沧州,2025,03
2025-03-17,48,优,151,19,48,16,4,0.29,75,沧州,2025,03
2025-03-18,44,优,64,18,33,17,4,0.33,74,沧州,2025,03
2025-03-19,54,良,153,29,57,23,5,0.4,73,沧州,2025,03
2025-03-20,54,良,111,25,57,28,6,0.41,64,沧州,2025,03
2025-03-21,56,良,109,26,62,33,6,0.38,61,沧州,2025,03
2025-03-22,60,良,86,24,70,22,6,0.35,76,沧州,2025,03
2025-03-23,101,轻度污染,260,45,152,29,8,0.42,67,沧州,2025,03
2025-03-24,102,轻度污染,244,35,153,18,7,0.34,73,沧州,2025,03
2025-03-25,62,良,78,21,75,21,8,0.31,74,沧州,2025,03
2025-03-26,94,良,195,48,139,30,8,0.48,61,沧州,2025,03
2025-03-27,80,良,154,29,110,18,4,0.24,66,沧州,2025,03
2025-03-28,54,良,107,30,59,24,6,0.3,57,沧州,2025,03
2025-03-29,40,优,85,18,38,21,5,0.27,65,沧州,2025,03
2025-03-30,57,良,209,34,64,26,6,0.36,70,沧州,2025,03
2025-03-31,74,良,275,47,97,22,7,0.43,82,沧州,2025,03
2025-04-01,66,良,215,36,82,16,4,0.35,80,沧州,2025,04
2025-04-02,46,优,42,19,32,17,3,0.25,77,沧州,2025,04
2025-04-03,54,良,51,34,58,24,8,0.42,85,沧州,2025,04
2025-04-04,78,良,223,52,106,22,7,0.44,87,沧州,2025,04
2025-04-05,46,优,37,14,38,13,3,0.23,80,沧州,2025,04
2025-04-06,68,良,167,38,87,25,9,0.44,92,沧州,2025,04
2025-04-07,82,良,236,56,115,38,8,0.51,79,沧州,2025,04
2025-04-08,70,良,143,41,91,30,6,0.45,78,沧州,2025,04
2025-04-09,68,良,156,36,55,21,3,0.25,97,沧州,2025,04
2025-04-10,72,良,184,50,78,21,5,0.3,108,沧州,2025,04
2025-04-11,87,良,243,63,124,20,8,0.48,100,沧州,2025,04
2025-04-12,185,中度污染,246,54,320,7,2,0.19,83,沧州,2025,04
2025-04-13,63,良,104,17,76,10,3,0.19,80,沧州,2025,04
2025-04-14,61,良,129,24,63,15,4,0.24,99,沧州,2025,04
2025-04-15,64,良,142,25,58,22,6,0.27,93,沧州,2025,04
2025-04-16,78,良,150,48,101,30,8,0.46,93,沧州,2025,04
2025-04-17,79,良,182,54,108,28,8,0.55,97,沧州,2025,04
2025-04-18,64,良,133,31,65,18,5,0.39,86,沧州,2025,04
2025-04-19,46,优,125,29,39,19,4,0.35,71,沧州,2025,04
2025-04-20,77,良,228,46,74,29,10,0.43,104,沧州,2025,04
2025-04-21,71,良,252,47,70,25,8,0.43,81,沧州,2025,04
2025-04-22,65,良,245,42,80,21,4,0.42,73,沧州,2025,04
2025-04-23,74,良,241,38,98,19,7,0.38,98,沧州,2025,04
2025-04-24,56,良,177,16,52,15,3,0.23,84,沧州,2025,04
2025-04-25,66,良,235,28,77,24,6,0.36,96,沧州,2025,04
2025-04-26,86,良,273,34,96,16,5,0.33,120,沧州,2025,04
2025-04-27,61,良,208,25,70,15,4,0.23,86,沧州,2025,04
2025-04-28,63,良,233,30,66,26,7,0.34,88,沧州,2025,04
2025-04-29,76,良,204,37,80,24,8,0.38,102,沧州,2025,04
2025-04-30,92,良,244,35,89,24,7,0.38,104,沧州,2025,04
2025-05-01,56,良,169,27,62,23,6,0.35,81,沧州,2025,05
2025-05-02,68,良,167,32,72,22,6,0.42,91,沧州,2025,05
2025-05-03,53,良,108,18,43,14,2,0.22,85,沧州,2025,05
2025-05-04,64,良,160,22,47,16,4,0.3,106,沧州,2025,05
2025-05-05,62,良,186,41,74,16,3,0.31,95,沧州,2025,05
2025-05-06,55,良,145,32,50,14,4,0.38,93,沧州,2025,05
2025-05-07,61,良,144,41,72,22,7,0.5,89,沧州,2025,05
2025-05-08,70,良,244,46,90,28,6,0.56,80,沧州,2025,05
2025-05-09,45,优,70,25,43,17,3,0.35,75,沧州,2025,05
2025-05-10,56,良,205,20,33,17,3,0.29,91,沧州,2025,05
2025-05-11,78,良,314,30,57,20,6,0.41,111,沧州,2025,05
2025-05-12,85,良,230,29,68,19,8,0.4,117,沧州,2025,05
2025-05-13,95,良,246,33,70,14,4,0.39,128,沧州,2025,05
2025-05-14,70,良,153,29,58,17,2,0.36,98,沧州,2025,05
2025-05-15,60,良,141,18,34,16,3,0.25,93,沧州,2025,05
2025-05-16,82,良,239,56,85,21,5,0.58,117,沧州,2025,05
2025-05-17,70,良,201,31,85,12,2,0.33,100,沧州,2025,05
2025-05-18,78,良,254,29,76,19,4,0.42,116,沧州,2025,05
2025-05-19,107,轻度污染,300,39,109,20,5,0.54,139,沧州,2025,05
2025-05-20,97,良,267,41,94,17,5,0.43,125,沧州,2025,05
2025-05-21,75,良,228,35,78,16,4,0.37,111,沧州,2025,05
2025-05-22,71,良,224,52,73,25,5,0.44,96,沧州,2025,05
2025-05-23,69,良,271,50,63,19,3,0.39,82,沧州,2025,05
2025-05-24,57,良,154,32,51,19,3,0.33,91,沧州,2025,05
2025-05-25,81,良,246,24,49,19,3,0.33,118,沧州,2025,05
2025-05-26,91,良,250,37,65,30,4,0.41,115,沧州,2025,05
2025-05-27,102,轻度污染,264,34,58,21,3,0.38,140,沧州,2025,05
2025-05-28,128,轻度污染,312,40,65,20,3,0.43,168,沧州,2025,05
2025-05-29,127,轻度污染,300,43,70,23,4,0.42,158,沧州,2025,05
2025-05-30,124,轻度污染,289,39,72,18,4,0.44,162,沧州,2025,05
2025-05-31,105,轻度污染,293,36,67,21,5,0.43,138,沧州,2025,05
2025-06-01,105,轻度污染,315,46,73,21,6,0.55,132,沧州,2025,06
2025-06-02,99,良,310,34,63,16,4,0.36,124,沧州,2025,06
2025-06-03,61,良,209,10,36,17,3,0.21,88,沧州,2025,06
2025-06-04,61,良,179,13,36,26,3,0.25,86,沧州,2025,06
2025-06-05,113,轻度污染,293,23,65,22,9,0.35,138,沧州,2025,06
2025-06-06,147,轻度污染,324,35,94,18,6,0.46,172,沧州,2025,06
2025-06-07,115,轻度污染,302,38,81,20,5,0.47,127,沧州,2025,06
2025-06-08,114,轻度污染,303,30,61,17,4,0.45,142,沧州,2025,06
2025-06-09,135,轻度污染,315,36,82,16,4,0.47,146,沧州,2025,06
2025-06-10,77,良,265,20,38,15,2,0.34,106,沧州,2025,06
2025-06-11,105,轻度污染,286,27,67,22,4,0.37,135,沧州,2025,06
2025-06-12,129,轻度污染,308,33,93,19,3,0.4,157,沧州,2025,06
2025-06-13,120,轻度污染,303,43,89,22,4,0.46,131,沧州,2025,06
2025-06-14,86,良,287,47,67,18,3,0.46,83,沧州,2025,06
2025-06-15,80,良,225,12,32,13,3,0.21,115,沧州,2025,06
2025-06-16,58,良,166,12,30,19,3,0.23,83,沧州,2025,06
2025-06-17,92,良,264,19,47,23,3,0.35,119,沧州,2025,06
2025-06-18,96,良,285,24,54,19,6,0.34,124,沧州,2025,06
2025-06-19,63,良,245,29,21,10,2,0.23,96,沧州,2025,06
2025-06-20,79,良,312,25,34,12,2,0.37,115,沧州,2025,06
2025-06-21,94,良,305,24,44,17,4,0.39,135,沧州,2025,06
2025-06-22,126,轻度污染,325,26,46,17,4,0.39,157,沧州,2025,06
2025-06-23,109,轻度污染,300,23,48,21,4,0.35,144,沧州,2025,06
2025-06-24,124,轻度污染,316,27,45,21,3,0.37,155,沧州,2025,06
2025-06-25,156,中度污染,327,40,66,33,3,0.46,164,沧州,2025,06
2025-06-26,106,轻度污染,313,30,54,23,3,0.45,128,沧州,2025,06
2025-06-27,88,良,286,36,52,16,2,0.43,126,沧州,2025,06
2025-06-28,83,良,287,49,66,20,2,0.55,108,沧州,2025,06
2025-06-29,78,良,286,40,49,13,3,0.48,100,沧州,2025,06
2025-06-30,59,良,248,22,32,12,3,0.38,85,沧州,2025,06
2025-07-01,45,优,179,16,26,11,3,0.28,68,沧州,2025,07
2025-07-02,39,优,125,17,26,11,3,0.29,56,沧州,2025,07
2025-07-03,44,优,160,11,20,12,2,0.28,58,沧州,2025,07
2025-07-04,54,良,173,20,34,17,2,0.48,87,沧州,2025,07
2025-07-05,82,良,276,18,32,9,3,0.43,99,沧州,2025,07
2025-07-06,66,良,198,8,23,9,2,0.36,96,沧州,2025,07
2025-07-07,71,良,217,13,28,14,2,0.31,96,沧州,2025,07
2025-07-08,72,良,261,16,33,10,2,0.26,98,沧州,2025,07
2025-07-09,51,良,210,21,42,9,2,0.27,78,沧州,2025,07
2025-07-10,62,良,273,38,61,11,4,0.36,92,沧州,2025,07
2025-07-11,77,良,311,33,55,11,2,0.39,102,沧州,2025,07
2025-07-12,83,良,310,26,48,13,2,0.33,118,沧州,2025,07
