日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2026-01-01,40,优,139,20,40,21,2,0.57,27,承德,2026,01
2026-01-02,39,优,116,21,39,25,10,0.68,24,承德,2026,01
2026-01-03,58,良,151,33,65,35,12,1.13,13,承德,2026,01
2026-01-04,58,良,147,32,65,33,6,0.95,18,承德,2026,01
2026-01-05,40,优,93,20,40,25,3,0.51,31,承德,2026,01
2026-01-06,42,优,107,17,42,19,3,0.53,41,承德,2026,01
2026-01-07,32,优,17,16,32,19,3,0.41,40,承德,2026,01
2026-01-08,53,良,139,29,56,34,6,0.8,18,承德,2026,01
2026-01-09,68,良,188,42,85,33,4,0.78,21,承德,2026,01
2026-01-10,32,优,8,8,26,3,2,0.2,60,承德,2026,01
2026-01-11,30,优,18,10,21,11,6,0.4,48,承德,2026,01
2026-01-12,52,良,70,20,53,20,6,0.6,35,承德,2026,01
2026-01-13,36,优,45,14,25,16,4,0.41,47,承德,2026,01
2026-01-14,54,良,77,33,59,33,7,0.9,16,承德,2026,01
2026-01-15,80,良,160,59,102,38,6,1.31,13,承德,2026,01
