日期,AQI指数,质量等级,当天AQI排名,PM2.5,PM10,No2,So2,Co,O3,城市,年份,月份
2026-01-01,60,良,254,42,69,43,9,0.88,19,邢台,2026,01
2026-01-02,92,良,299,69,97,39,9,1.02,26,邢台,2026,01
2026-01-03,173,中度污染,335,131,151,51,8,1.42,17,邢台,2026,01
2026-01-04,239,重度污染,337,189,207,54,9,1.6,16,邢台,2026,01
2026-01-05,199,中度污染,324,149,172,51,8,1.32,30,邢台,2026,01
2026-01-06,68,良,244,49,74,33,8,0.77,39,邢台,2026,01
2026-01-07,55,良,216,25,60,39,7,0.57,29,邢台,2026,01
2026-01-08,66,良,242,36,83,36,8,0.74,33,邢台,2026,01
2026-01-09,86,良,270,26,123,25,8,0.79,49,邢台,2026,01
2026-01-10,74,良,211,14,97,7,3,0.32,72,邢台,2026,01
2026-01-11,56,良,157,14,62,22,5,0.4,46,邢台,2026,01
2026-01-12,68,良,174,39,85,42,10,1.0,24,邢台,2026,01
2026-01-13,85,良,217,63,115,51,12,0.94,26,邢台,2026,01
2026-01-14,98,良,224,73,118,54,13,1.13,17,邢台,2026,01
2026-01-15,132,轻度污染,301,101,175,66,13,1.43,20,邢台,2026,01
