date,city,pm25,data_quality_flag
2015-01-01,北京市,41.0,0
2015-01-01,天津市,61.0,0
2015-01-01,石家庄市,88.0,0
2015-01-01,唐山市,41.0,0
2015-01-01,秦皇岛市,25.0,0
2015-01-01,邯郸市,82.0,0
2015-01-01,邢台市,95.0,0
2015-01-01,保定市,143.0,0
2015-01-01,张家口市,31.0,0
2015-01-01,承德市,25.0,0
2015-01-01,沧州市,52.0,0
2015-01-01,廊坊市,38.0,0
2015-01-01,衡水市,76.0,0
2015-01-02,北京市,48.0,0
2015-01-02,天津市,67.0,0
2015-01-02,石家庄市,130.0,0
2015-01-02,唐山市,61.0,0
2015-01-02,秦皇岛市,43.0,0
2015-01-02,邯郸市,141.0,0
2015-01-02,邢台市,140.0,0
2015-01-02,保定市,180.0,0
2015-01-02,张家口市,28.0,0
2015-01-02,承德市,32.0,0
2015-01-02,沧州市,69.0,0
2015-01-02,廊坊市,54.0,0
2015-01-02,衡水市,104.0,0
2015-01-03,北京市,148.0,0
2015-01-03,天津市,179.0,0
2015-01-03,石家庄市,224.0,0
2015-01-03,唐山市,137.0,0
2015-01-03,秦皇岛市,112.0,0
2015-01-03,邯郸市,154.0,0
2015-01-03,邢台市,268.0,0
2015-01-03,保定市,305.0,0
2015-01-03,张家口市,58.0,0
2015-01-03,承德市,66.0,0
2015-01-03,沧州市,132.0,0
2015-01-03,廊坊市,155.0,0
2015-01-03,衡水市,164.0,0
2015-01-04,北京市,173.0,0
2015-01-04,天津市,314.0,0
2015-01-04,石家庄市,391.0,0
2015-01-04,唐山市,176.0,0
2015-01-04,秦皇岛市,82.0,0
2015-01-04,邯郸市,374.0,0
2015-01-04,邢台市,464.0,0
2015-01-04,保定市,441.0,0
2015-01-04,张家口市,77.0,0
2015-01-04,承德市,107.0,0
2015-01-04,沧州市,269.0,0
2015-01-04,廊坊市,240.0,0
2015-01-04,衡水市,314.0,0
2015-01-05,北京市,106.0,0
2015-01-05,天津市,116.0,0
2015-01-05,石家庄市,286.0,0
2015-01-05,唐山市,110.0,0
2015-01-05,秦皇岛市,83.0,0
2015-01-05,邯郸市,340.0,0
2015-01-05,邢台市,422.0,0
2015-01-05,保定市,265.0,0
2015-01-05,张家口市,41.0,0
2015-01-05,承德市,65.0,0
2015-01-05,沧州市,183.0,0
2015-01-05,廊坊市,100.0,0
2015-01-05,衡水市,361.0,0
2015-01-06,北京市,34.0,0
2015-01-06,天津市,29.0,0
2015-01-06,石家庄市,52.0,0
2015-01-06,唐山市,32.0,0
2015-01-06,秦皇岛市,31.0,0
2015-01-06,邯郸市,36.0,0
2015-01-06,邢台市,64.0,0
2015-01-06,保定市,64.0,0
2015-01-06,张家口市,23.0,0
2015-01-06,承德市,18.0,0
2015-01-06,沧州市,30.0,0
2015-01-06,廊坊市,28.0,0
2015-01-06,衡水市,35.0,0
2015-01-07,北京市,61.0,0
2015-01-07,天津市,76.0,0
2015-01-07,石家庄市,139.0,0
2015-01-07,唐山市,84.0,0
2015-01-07,秦皇岛市,38.0,0
2015-01-07,邯郸市,81.0,0
2015-01-07,邢台市,129.0,0
2015-01-07,保定市,178.0,0
2015-01-07,张家口市,30.0,0
2015-01-07,承德市,34.0,0
2015-01-07,沧州市,94.0,0
2015-01-07,廊坊市,92.0,0
2015-01-07,衡水市,85.0,0
2015-01-08,北京市,124.0,0
